weight,pass_floor_streak,avg_day,min_day,worst_day
212.057,True,762.7122,707.1781,-999.9095
212.058,False,762.7123,707.1783,-999.91655
212.059,False,762.7124,707.1785,-999.92375
212.06,False,762.7124,707.1787,-999.93095
212.061,False,762.7125,707.1789,-999.93815
212.062,False,762.7126,707.1791,-999.94535
212.063,False,762.7127,707.1793,-999.95255
212.064,False,762.7127,707.1795,-999.95975
212.065,False,762.7128,707.1796,-999.96695
212.066,False,762.7129,707.1798,-999.97415
212.067,False,762.713,707.18,-999.98135
212.068,False,762.713,707.1802,-999.98855
212.069,False,762.7131,707.1804,-999.99575
212.07,False,762.7132,707.1806,-1000.00295
212.071,False,762.7133,707.1808,-1000.01015
212.072,False,762.7133,707.181,-1000.01735
212.073,False,762.7134,707.1811,-1000.02455
212.074,False,762.7135,707.1813,-1000.03175
212.075,False,762.7136,707.1815,-1000.03895
212.076,False,762.7136,707.1817,-1000.04615
212.077,False,762.7137,707.1819,-1000.05335
212.078,False,762.7138,707.1821,-1000.06055
212.079,False,762.7139,707.1823,-1000.06775
212.08,False,762.7139,707.1825,-1000.07495
212.081,False,762.714,707.1826,-1000.08215
212.082,False,762.7141,707.1828,-1000.08935
212.083,False,762.7142,707.183,-1000.09655
212.084,False,762.7142,707.1832,-1000.10375
212.085,False,762.7143,707.1834,-1000.11095
212.086,False,762.7144,707.1836,-1000.11815
212.087,False,762.7145,707.1838,-1000.12535
212.088,False,762.7145,707.184,-1000.13255
212.089,False,762.7146,707.1841,-1000.13975
212.09,False,762.7147,707.1843,-1000.14695
212.091,False,762.7148,707.1845,-1000.15415
212.092,False,762.7148,707.1847,-1000.16135
212.093,False,762.7149,707.1849,-1000.16855
212.094,False,762.715,707.1851,-1000.17575
212.095,False,762.7151,707.1853,-1000.18295
212.096,False,762.7151,707.1855,-1000.19015
212.097,False,762.7152,707.1856,-1000.19735
212.098,False,762.7153,707.1858,-1000.20455
212.099,False,762.7154,707.186,-1000.21175
212.1,False,762.7154,707.1862,-1000.21895
212.101,False,762.7155,707.1864,-1000.22615
212.102,False,762.7156,707.1866,-1000.23335
212.103,False,762.7157,707.1868,-1000.24055
212.104,False,762.7157,707.187,-1000.24775
212.105,False,762.7158,707.1871,-1000.25495
212.106,False,762.7159,707.1873,-1000.26215
212.107,False,762.716,707.1875,-1000.26935
212.108,False,762.716,707.1877,-1000.27655
212.109,False,762.7161,707.1879,-1000.28375
212.11,False,762.7162,707.1881,-1000.29095
212.111,False,762.7163,707.1883,-1000.29815
212.112,False,762.7163,707.1885,-1000.30535
212.113,False,762.7164,707.1886,-1000.31255
212.114,False,762.7165,707.1888,-1000.31975
212.115,False,762.7165,707.189,-1000.32695
212.116,False,762.7166,707.1892,-1000.33415
212.117,False,762.7167,707.1894,-1000.34135
212.118,False,762.7168,707.1896,-1000.34855
212.119,False,762.7168,707.1898,-1000.35575
212.12,False,762.7169,707.19,-1000.36295
212.121,False,762.717,707.1901,-1000.37015
212.122,False,762.7171,707.1903,-1000.37735
212.123,False,762.7171,707.1905,-1000.38455
212.124,False,762.7172,707.1907,-1000.39175
212.125,False,762.7173,707.1909,-1000.39895
212.126,False,762.7174,707.1911,-1000.40615
212.127,False,762.7174,707.1913,-1000.41335
212.128,False,762.7175,707.1915,-1000.42055
212.129,False,762.7176,707.1916,-1000.42775
212.13,False,762.7177,707.1918,-1000.43495
212.131,False,762.7177,707.192,-1000.44215
212.132,False,762.7178,707.1922,-1000.44935
212.133,False,762.7179,707.1924,-1000.45655
212.134,False,762.718,707.1926,-1000.46375
212.135,False,762.718,707.1928,-1000.47095
212.136,False,762.7181,707.193,-1000.47815
212.137,False,762.7182,707.1931,-1000.48535
212.138,False,762.7183,707.1933,-1000.49255
212.139,False,762.7183,707.1935,-1000.49975
212.14,False,762.7184,707.1937,-1000.50695
212.141,False,762.7185,707.1939,-1000.51415
212.142,False,762.7186,707.1941,-1000.52135
212.143,False,762.7186,707.1943,-1000.52855
212.144,False,762.7187,707.1945,-1000.53575
212.145,False,762.7188,707.1946,-1000.54295
212.146,False,762.7189,707.1948,-1000.55015
212.147,False,762.7189,707.195,-1000.55735
212.148,False,762.719,707.1952,-1000.56455
212.149,False,762.7191,707.1954,-1000.57175
212.15,False,762.7192,707.1956,-1000.57895
212.151,False,762.7192,707.1958,-1000.58615
212.152,False,762.7193,707.196,-1000.59335
212.153,False,762.7194,707.1961,-1000.60055
212.154,False,762.7195,707.1963,-1000.60775
212.155,False,762.7195,707.1965,-1000.61495
212.156,False,762.7196,707.1967,-1000.62215
212.157,False,762.7197,707.1969,-1000.62935
212.158,False,762.7198,707.1971,-1000.63655
212.159,False,762.7198,707.1973,-1000.64375
212.16,False,762.7199,707.1975,-1000.65095
212.161,False,762.72,707.1976,-1000.65815
212.162,False,762.7201,707.1978,-1000.66535
212.163,False,762.7201,707.198,-1000.67255
212.164,False,762.7202,707.1982,-1000.67975
212.165,False,762.7203,707.1984,-1000.68695
212.166,False,762.7204,707.1986,-1000.69415
212.167,False,762.7204,707.1988,-1000.70135
212.168,False,762.7205,707.199,-1000.70855
212.169,False,762.7206,707.1991,-1000.71575
212.17,False,762.7207,707.1993,-1000.72295
212.171,False,762.7207,707.1995,-1000.73015
212.172,False,762.7208,707.1997,-1000.73735
212.173,False,762.7209,707.1999,-1000.74455
212.174,False,762.721,707.2001,-1000.75175
212.175,False,762.721,707.2003,-1000.75895
212.176,False,762.7211,707.2005,-1000.76615
212.177,False,762.7212,707.2006,-1000.77335
212.178,False,762.7213,707.2008,-1000.78055
212.179,False,762.7213,707.201,-1000.78775
212.18,False,762.7214,707.2012,-1000.79495
212.181,False,762.7215,707.2014,-1000.80215
212.182,False,762.7216,707.2016,-1000.80935
212.183,False,762.7216,707.2018,-1000.81655
212.184,False,762.7217,707.202,-1000.82375
212.185,False,762.7218,707.2021,-1000.83095
212.186,False,762.7218,707.2023,-1000.83815
212.187,False,762.7219,707.2025,-1000.84535
212.188,False,762.722,707.2027,-1000.85255
212.189,False,762.7221,707.2029,-1000.85975
212.19,False,762.7221,707.2031,-1000.86695
212.191,False,762.7222,707.2033,-1000.87415
212.192,False,762.7223,707.2035,-1000.88135
212.193,False,762.7224,707.2036,-1000.88855
212.194,False,762.7224,707.2038,-1000.89575
212.195,False,762.7225,707.204,-1000.90295
212.196,False,762.7226,707.2042,-1000.91015
212.197,False,762.7227,707.2044,-1000.91735
212.198,False,762.7227,707.2046,-1000.92455
212.199,False,762.7228,707.2048,-1000.93175
212.2,False,762.7229,707.205,-1000.93895
212.201,False,762.723,707.2051,-1000.94615
212.202,False,762.723,707.2053,-1000.95335
212.203,False,762.7231,707.2055,-1000.96055
212.204,False,762.7232,707.2057,-1000.96775
212.205,False,762.7233,707.2059,-1000.97495
212.206,False,762.7233,707.2061,-1000.98215
212.207,False,762.7234,707.2063,-1000.98935
212.208,False,762.7235,707.2065,-1000.99655
212.209,False,762.7236,707.2066,-1001.00375
212.21,False,762.7236,707.2068,-1001.01095
212.211,False,762.7237,707.207,-1001.01815
212.212,False,762.7238,707.2072,-1001.02535
212.213,False,762.7239,707.2074,-1001.03255
212.214,False,762.7239,707.2076,-1001.03975
212.215,False,762.724,707.2078,-1001.04695
212.216,False,762.7241,707.208,-1001.05415
212.217,False,762.7242,707.2081,-1001.06135
212.218,False,762.7242,707.2083,-1001.06855
