weight,valid,avg_day,min_day,worst_day,streak
180.0,True,6131.5778,5689.8971,-999.9999,3
180.001,True,6131.578,5689.8972,-999.9999,3
180.002,True,6131.5782,5689.8974,-999.9999,3
180.003,True,6131.5784,5689.8975,-999.9999,3
180.004,True,6131.5786,5689.8977,-999.9999,3
180.005,True,6131.5788,5689.8978,-999.9999,3
180.006,True,6131.579,5689.898,-999.9999,3
180.007,True,6131.5792,5689.8982,-999.9999,3
180.008,True,6131.5794,5689.8983,-999.9999,3
180.009,True,6131.5796,5689.8985,-999.9999,3
180.01,True,6131.5798,5689.8986,-999.9999,3
180.011,True,6131.58,5689.8988,-999.9999,3
180.012,True,6131.5802,5689.8989,-999.9999,3
180.013,True,6131.5804,5689.8991,-999.9999,3
180.014,True,6131.5806,5689.8992,-999.9999,3
180.015,True,6131.5808,5689.8994,-999.9999,3
180.016,True,6131.581,5689.8996,-999.9999,3
180.017,True,6131.5812,5689.8997,-999.9999,3
180.018,True,6131.5814,5689.8999,-999.9999,3
180.019,True,6131.5816,5689.9,-999.9999,3
180.02,True,6131.5817,5689.9002,-999.9999,3
180.021,True,6131.5819,5689.9003,-999.9999,3
180.022,True,6131.5821,5689.9005,-999.9999,3
180.023,True,6131.5823,5689.9007,-999.9999,3
180.024,True,6131.5825,5689.9008,-999.9999,3
180.025,True,6131.5827,5689.901,-999.9999,3
180.026,True,6131.5829,5689.9011,-999.9999,3
180.027,True,6131.5831,5689.9013,-999.9999,3
180.028,True,6131.5833,5689.9014,-999.9999,3
180.029,True,6131.5835,5689.9016,-999.9999,3
180.03,True,6131.5837,5689.9018,-999.9999,3
180.031,True,6131.5839,5689.9019,-999.9999,3
180.032,True,6131.5841,5689.9021,-999.9999,3
180.033,True,6131.5843,5689.9022,-999.9999,3
180.034,True,6131.5845,5689.9024,-999.9999,3
180.035,True,6131.5847,5689.9025,-999.9999,3
180.036,True,6131.5849,5689.9027,-999.9999,3
180.037,True,6131.5851,5689.9028,-999.9999,3
180.038,True,6131.5853,5689.903,-999.9999,3
180.039,True,6131.5854,5689.9032,-999.9999,3
180.04,True,6131.5856,5689.9033,-999.9999,3
180.041,True,6131.5858,5689.9035,-999.9999,3
180.042,True,6131.586,5689.9036,-999.9999,3
180.043,True,6131.5862,5689.9038,-999.9999,3
180.044,True,6131.5864,5689.9039,-999.9999,3
180.045,True,6131.5866,5689.9041,-999.9999,3
180.046,True,6131.5868,5689.9043,-999.9999,3
180.047,True,6131.587,5689.9044,-999.9999,3
180.048,True,6131.5872,5689.9046,-999.9999,3
180.049,True,6131.5874,5689.9047,-999.9999,3
180.05,True,6131.5876,5689.9049,-999.9999,3
180.051,True,6131.5878,5689.905,-999.9999,3
180.052,True,6131.588,5689.9052,-999.9999,3
180.053,True,6131.5882,5689.9054,-999.9999,3
180.054,True,6131.5884,5689.9055,-999.9999,3
180.055,True,6131.5886,5689.9057,-999.9999,3
180.056,True,6131.5888,5689.9058,-999.9999,3
180.057,True,6131.589,5689.906,-999.9999,3
180.058,True,6131.5891,5689.9061,-999.9999,3
180.059,True,6131.5893,5689.9063,-999.9999,3
180.06,True,6131.5895,5689.9064,-999.9999,3
180.061,True,6131.5897,5689.9066,-999.9999,3
180.062,True,6131.5899,5689.9068,-999.9999,3
180.063,True,6131.5901,5689.9069,-999.9999,3
180.064,True,6131.5903,5689.9071,-999.9999,3
180.065,True,6131.5905,5689.9072,-999.9999,3
180.066,True,6131.5907,5689.9074,-999.9999,3
180.067,True,6131.5909,5689.9075,-999.9999,3
180.068,True,6131.5911,5689.9077,-999.9999,3
180.069,True,6131.5913,5689.9079,-999.9999,3
180.07,True,6131.5915,5689.908,-999.9999,3
180.071,True,6131.5917,5689.9082,-999.9999,3
180.072,True,6131.5919,5689.9083,-999.9999,3
180.073,True,6131.5921,5689.9085,-999.9999,3
180.074,True,6131.5923,5689.9086,-999.9999,3
180.075,True,6131.5925,5689.9088,-999.9999,3
180.076,True,6131.5927,5689.909,-999.9999,3
180.077,True,6131.5928,5689.9091,-999.9999,3
180.078,True,6131.593,5689.9093,-999.9999,3
180.079,True,6131.5932,5689.9094,-999.9999,3
180.08,True,6131.5934,5689.9096,-999.9999,3
180.081,True,6131.5936,5689.9097,-999.9999,3
180.082,True,6131.5938,5689.9099,-999.9999,3
180.083,True,6131.594,5689.91,-999.9999,3
180.084,True,6131.5942,5689.9102,-999.9999,3
180.085,True,6131.5944,5689.9104,-999.9999,3
180.086,True,6131.5946,5689.9105,-999.9999,3
180.087,True,6131.5948,5689.9107,-999.9999,3
180.088,True,6131.595,5689.9108,-999.9999,3
180.089,True,6131.5952,5689.911,-999.9999,3
180.09,True,6131.5954,5689.9111,-999.9999,3
180.091,True,6131.5956,5689.9113,-999.9999,3
180.092,True,6131.5958,5689.9115,-999.9999,3
