weight,pass_floor_streak,avg_day,min_day,worst_day
156.917,True,808.8552,735.8204,-999.9095
156.918,False,808.8552,735.8204,-999.9095
156.919,False,808.8553,735.8204,-999.9095
156.92,False,808.8553,735.8204,-999.9095
156.921,False,808.8553,735.8205,-999.9095
156.922,False,808.8553,735.8205,-999.9095
156.923,False,808.8553,735.8205,-999.9095
156.924,False,808.8554,735.8205,-999.9095
156.925,False,808.8554,735.8205,-999.9095
156.926,False,808.8554,735.8206,-999.9095
156.927,False,808.8554,735.8206,-999.9095
156.928,False,808.8554,735.8206,-999.9095
156.929,False,808.8555,735.8206,-999.9095
156.93,False,808.8555,735.8207,-999.9095
156.931,False,808.8555,735.8207,-999.9095
156.932,False,808.8555,735.8207,-999.9095
156.933,False,808.8556,735.8207,-999.9095
156.934,False,808.8556,735.8207,-999.9095
156.935,False,808.8556,735.8208,-999.9095
156.936,False,808.8556,735.8208,-999.9095
156.937,False,808.8556,735.8208,-999.9095
156.938,False,808.8557,735.8208,-999.9095
156.939,False,808.8557,735.8208,-999.9095
156.94,False,808.8557,735.8209,-999.9095
156.941,False,808.8557,735.8209,-999.9095
156.942,False,808.8557,735.8209,-999.9095
156.943,False,808.8558,735.8209,-999.9095
156.944,False,808.8558,735.821,-999.9095
156.945,False,808.8558,735.821,-999.9095
156.946,False,808.8558,735.821,-999.9095
156.947,False,808.8558,735.821,-999.9095
156.948,False,808.8559,735.821,-999.9095
156.949,False,808.8559,735.8211,-999.9095
156.95,False,808.8559,735.8211,-999.9095
156.951,False,808.8559,735.8211,-999.9095
156.952,False,808.8559,735.8211,-999.9095
156.953,False,808.856,735.8212,-999.9095
156.954,False,808.856,735.8212,-999.9095
156.955,False,808.856,735.8212,-999.9095
156.956,False,808.856,735.8212,-999.9095
156.957,False,808.8561,735.8212,-999.9095
156.958,False,808.8561,735.8213,-999.9095
156.959,False,808.8561,735.8213,-999.9095
156.96,False,808.8561,735.8213,-999.9095
156.961,False,808.8561,735.8213,-999.9095
156.962,False,808.8562,735.8214,-999.9095
156.963,False,808.8562,735.8214,-999.9095
156.964,False,808.8562,735.8214,-999.9095
156.965,False,808.8562,735.8214,-999.9095
156.966,False,808.8562,735.8214,-999.9095
156.967,False,808.8563,735.8215,-999.9095
156.968,False,808.8563,735.8215,-999.9095
156.969,False,808.8563,735.8215,-999.9095
156.97,False,808.8563,735.8215,-999.9095
156.971,False,808.8563,735.8216,-999.9095
156.972,False,808.8564,735.8216,-999.9095
156.973,False,808.8564,735.8216,-999.9095
156.974,False,808.8564,735.8216,-999.9095
156.975,False,808.8564,735.8216,-999.9095
156.976,False,808.8565,735.8217,-999.9095
156.977,False,808.8565,735.8217,-999.9095
156.978,False,808.8565,735.8217,-999.9095
156.979,False,808.8565,735.8217,-999.9095
156.98,False,808.8565,735.8218,-999.9095
156.981,False,808.8566,735.8218,-999.9095
156.982,False,808.8566,735.8218,-999.9095
156.983,False,808.8566,735.8218,-999.9095
156.984,False,808.8566,735.8218,-999.9095
156.985,False,808.8566,735.8219,-999.9095
156.986,False,808.8567,735.8219,-999.9095
156.987,False,808.8567,735.8219,-999.9095
156.988,False,808.8567,735.8219,-999.9095
156.989,False,808.8567,735.8219,-999.9095
156.99,False,808.8567,735.822,-999.9095
156.991,False,808.8568,735.822,-999.9095
156.992,False,808.8568,735.822,-999.9095
156.993,False,808.8568,735.822,-999.9095
156.994,False,808.8568,735.8221,-999.9095
156.995,False,808.8568,735.8221,-999.9095
156.996,False,808.8569,735.8221,-999.9095
156.997,False,808.8569,735.8221,-999.9095
156.998,False,808.8569,735.8221,-999.9095
156.999,False,808.8569,735.8222,-999.9095
157.0,False,808.857,735.8222,-999.9095
157.001,False,808.857,735.8222,-999.9095
157.002,False,808.857,735.8222,-999.9095
157.003,False,808.857,735.8223,-999.9095
157.004,False,808.857,735.8223,-999.9095
157.005,False,808.8571,735.8223,-999.9095
157.006,False,808.8571,735.8223,-999.9095
157.007,False,808.8571,735.8223,-999.9095
157.008,False,808.8571,735.8224,-999.9095
157.009,False,808.8571,735.8224,-999.9095
157.01,False,808.8572,735.8224,-999.9095
157.011,False,808.8572,735.8224,-999.9095
157.012,False,808.8572,735.8225,-999.9095
157.013,False,808.8572,735.8225,-999.9095
157.014,False,808.8572,735.8225,-999.9095
157.015,False,808.8573,735.8225,-999.9095
157.016,False,808.8573,735.8225,-999.9095
157.017,False,808.8573,735.8226,-999.9095
157.018,False,808.8573,735.8226,-999.9095
157.019,False,808.8574,735.8226,-999.9095
157.02,False,808.8574,735.8226,-999.9095
157.021,False,808.8574,735.8227,-999.9095
157.022,False,808.8574,735.8227,-999.9095
157.023,False,808.8574,735.8227,-999.9095
157.024,False,808.8575,735.8227,-999.9095
157.025,False,808.8575,735.8227,-999.9095
157.026,False,808.8575,735.8228,-999.9095
157.027,False,808.8575,735.8228,-999.9095
157.028,False,808.8575,735.8228,-999.9095
157.029,False,808.8576,735.8228,-999.9095
157.03,False,808.8576,735.8229,-999.9095
157.031,False,808.8576,735.8229,-999.9095
157.032,False,808.8576,735.8229,-999.9095
157.033,False,808.8576,735.8229,-999.9095
157.034,False,808.8577,735.8229,-999.9095
157.035,False,808.8577,735.823,-999.9095
157.036,False,808.8577,735.823,-999.9095
157.037,False,808.8577,735.823,-999.9095
157.038,False,808.8577,735.823,-999.9095
157.039,False,808.8578,735.823,-999.9095
157.04,False,808.8578,735.8231,-999.9095
157.041,False,808.8578,735.8231,-999.9095
157.042,False,808.8578,735.8231,-999.9095
157.043,False,808.8579,735.8231,-999.9095
157.044,False,808.8579,735.8232,-999.9095
157.045,False,808.8579,735.8232,-999.9095
157.046,False,808.8579,735.8232,-999.9095
157.047,False,808.8579,735.8232,-999.9095
157.048,False,808.858,735.8232,-999.9095
157.049,False,808.858,735.8233,-999.9095
157.05,False,808.858,735.8233,-999.9095
157.051,False,808.858,735.8233,-999.9095
157.052,False,808.858,735.8233,-999.9095
157.053,False,808.8581,735.8234,-999.9095
157.054,False,808.8581,735.8234,-999.9095
157.055,False,808.8581,735.8234,-999.9095
157.056,False,808.8581,735.8234,-999.9095
