date,portfolio_pnl
2023-06-09,-1017.63
2023-06-12,-64.04
2023-06-13,-13667.43
2023-06-14,1865.35
2023-06-15,4010.92
2023-06-16,-8743.47
2023-06-19,-4725.57
2023-06-20,8992.31
2023-06-21,8898.69
2023-06-22,345.3
2023-06-23,-528.4
2023-06-26,7532.38
2023-06-27,-4252.01
2023-06-28,-678.7
2023-06-29,-7289.41
2023-06-30,4522.87
2023-07-03,-3792.84
2023-07-04,3091.63
2023-07-05,4245.25
2023-07-06,15652.93
2023-07-07,2918.53
2023-07-10,-3486.15
2023-07-11,-4075.58
2023-07-12,-1271.15
2023-07-13,29572.8
2023-07-14,2760.86
2023-07-17,-1290.62
2023-07-18,2939.29
2023-07-19,-5883.32
2023-07-20,-8483.43
2023-07-21,2308.96
2023-07-24,-2519.92
2023-07-25,16988.48
2023-07-26,-8397.16
2023-07-27,4102.35
2023-07-28,714.44
2023-07-31,-9316.04
2023-08-01,-9233.05
2023-08-02,2664.08
2023-08-03,-3883.19
2023-08-04,-9698.68
2023-08-07,-877.52
2023-08-08,-8789.33
2023-08-09,2275.82
2023-08-10,1463.76
2023-08-11,553.3
2023-08-14,8569.24
2023-08-15,-3116.66
2023-08-16,3662.12
2023-08-17,-3401.97
2023-08-18,-7488.44
2023-08-21,-22394.52
2023-08-22,7257.14
2023-08-23,-995.67
2023-08-24,-3323.66
2023-08-25,-2056.73
2023-08-28,2007.45
2023-08-29,2239.52
2023-08-30,3502.38
2023-08-31,3611.08
2023-09-01,-1017.1
2023-09-04,-454.8
2023-09-05,504.31
2023-09-06,-3096.12
2023-09-07,-1330.32
2023-09-08,2357.39
2023-09-11,-5553.62
2023-09-12,4962.49
2023-09-13,489.7
2023-09-14,5436.19
2023-09-15,-2702.26
2023-09-18,-5321.86
2023-09-19,-2921.71
2023-09-20,-1710.74
2023-09-21,3679.71
2023-09-22,-1614.41
2023-09-25,135.44
2023-09-26,-722.95
2023-09-27,-2051.0
2023-09-28,-1573.55
2023-09-29,1398.16
2023-10-02,6076.47
2023-10-03,-4286.67
2023-10-04,7167.07
2023-10-05,-8101.06
2023-10-06,-629.86
2023-10-09,10162.97
2023-10-10,-5227.05
2023-10-11,-236.49
2023-10-12,-95.42
2023-10-13,824.45
2023-10-16,-1418.59
2023-10-17,1516.58
2023-10-18,2344.67
2023-10-19,3751.2
2023-10-20,299.01
2023-10-23,-2196.03
2023-10-24,-3593.61
2023-10-25,6656.01
2023-10-26,3914.69
2023-10-27,-3744.45
2023-10-28,-10875.23
2023-10-30,7640.58
2023-10-31,2261.02
2023-11-01,-598.27
2023-11-02,-2426.5
2023-11-03,-1476.55
2023-11-06,-10987.82
2023-11-07,1533.16
2023-11-08,15768.96
2023-11-09,-7762.27
2023-11-10,-862.75
2023-11-11,-2483.46
2023-11-13,-3092.18
2023-11-14,-1342.12
2023-11-15,2013.15
2023-11-16,-2482.05
2023-11-17,1361.36
2023-11-20,1908.67
2023-11-21,-2976.46
2023-11-22,-3857.58
2023-11-23,309.38
2023-11-24,-5712.69
2023-11-27,-1713.2
2023-11-28,-3530.52
2023-11-29,1591.78
2023-11-30,1486.52
2023-12-01,1298.84
2023-12-04,30284.44
2023-12-05,127.01
2023-12-06,-5324.96
2023-12-07,11188.09
2023-12-08,5520.53
2023-12-11,-4706.96
2023-12-12,-292.78
2023-12-13,-5097.34
2023-12-14,4358.11
2023-12-15,2626.82
2023-12-18,-3451.13
2023-12-19,-2799.01
2023-12-20,1920.25
2023-12-21,-8265.16
2023-12-22,-199.67
2023-12-26,11523.06
2023-12-27,-639.69
2023-12-28,-7301.1
2023-12-29,5193.34
2024-01-02,13446.54
2024-01-03,-2235.1
2024-01-04,-7119.37
2024-01-17,-610.01
2024-01-18,-4269.58
2024-01-19,-4001.25
2024-01-22,9592.25
2024-01-23,-12278.99
2024-01-24,7364.5
2024-01-25,-4137.44
2024-01-26,3128.12
2024-01-29,-7887.59
2024-01-30,-3249.74
2024-01-31,-365.7
2024-02-01,12292.09
2024-02-02,1854.99
2024-02-05,6561.88
2024-02-06,-4743.65
2024-02-07,434.13
2024-02-08,24339.17
2024-02-09,-3968.25
2024-02-12,602.6
2024-02-13,-1240.36
2024-02-14,8222.73
2024-02-15,-1582.54
2024-02-16,3902.51
2024-02-19,588.77
2024-02-20,3936.69
2024-02-21,-3759.55
2024-02-22,4092.77
2024-02-23,-4663.0
2024-02-26,-2838.27
2024-02-27,-2062.32
2024-02-28,2398.0
2024-02-29,10.36
2024-03-01,-26094.03
2024-03-04,1137.67
2024-03-05,-4690.72
2024-03-06,-580.73
2024-03-07,-5673.76
2024-03-08,-10740.38
2024-03-11,5686.23
2024-03-12,5553.94
2024-03-13,-6613.97
2024-03-14,2460.88
2024-03-15,3759.1
2024-03-18,-2213.17
2024-03-19,3893.99
2024-03-20,2283.75
2024-03-21,28883.01
2024-03-22,-30797.59
2024-03-25,3798.44
2024-03-26,-4406.76
2024-03-27,9334.74
2024-03-28,-2383.46
2024-04-01,-3068.51
2024-04-02,-28094.15
2024-04-03,16053.11
2024-04-04,-545.38
2024-04-05,-4143.84
2024-04-08,-32661.36
2024-04-09,12867.97
2024-04-10,-21754.34
2024-04-11,-684.51
2024-04-12,11892.2
2024-04-15,15577.27
2024-04-16,26180.15
2024-04-17,-7770.9
2024-04-18,-33186.35
2024-04-19,7264.08
2024-04-22,-13209.33
2024-04-23,7187.45
2024-04-24,-9076.25
2024-04-25,4242.48
2024-04-26,-9987.54
2024-04-29,39972.93
2024-04-30,-8800.89
2024-05-01,-11498.68
2024-05-02,-10755.73
2024-05-03,24244.87
2024-05-06,2608.53
2024-05-07,-3219.86
2024-05-08,-15917.63
2024-05-09,11179.69
2024-05-10,4647.62
2024-05-13,22869.04
2024-05-14,7315.65
2024-05-15,3976.41
2024-05-16,6771.94
2024-05-17,-1775.89
2024-05-20,-525.17
2024-05-21,-2359.21
2024-05-22,-5280.69
2024-05-23,-4500.98
2024-05-24,4351.77
2024-05-27,7989.78
2024-05-28,-3415.72
2024-05-29,23599.18
2024-05-30,-12822.13
2024-05-31,432.04
2024-06-03,1693.81
2024-06-04,-1883.17
2024-06-05,-1884.59
2024-06-06,-1182.39
2024-06-07,9813.76
2024-06-10,-3120.86
2024-06-11,-14239.83
2024-06-12,-13809.8
2024-06-13,-25478.89
2024-06-14,930.14
2024-06-17,743.3
2024-06-18,21874.27
2024-06-19,6754.93
2024-06-20,-4215.45
2024-06-21,10719.76
2024-06-24,8938.59
2024-06-25,10577.44
2024-06-26,15562.99
2024-06-27,-762.53
2024-06-28,-6861.35
2024-07-01,-4631.59
