weight,pass_floor_streak,avg_day,min_day,worst_day
437.129,True,1477.7093,1406.5464,-999.90965
437.13,False,1477.7094,1406.5465,-999.91142
437.131,False,1477.7094,1406.5466,-999.9155
437.132,False,1477.7095,1406.5467,-999.91958
437.133,False,1477.7096,1406.5467,-999.92366
437.134,False,1477.7096,1406.5468,-999.92774
437.135,False,1477.7097,1406.5469,-999.93182
437.136,False,1477.7098,1406.5469,-999.9359
437.137,False,1477.7098,1406.547,-999.93998
437.138,False,1477.7099,1406.5471,-999.94406
437.139,False,1477.71,1406.5471,-999.94814
437.14,False,1477.71,1406.5472,-999.95222
437.141,False,1477.7101,1406.5473,-999.9563
437.142,False,1477.7102,1406.5474,-999.96038
437.143,False,1477.7102,1406.5474,-999.96446
437.144,False,1477.7103,1406.5475,-999.96854
437.145,False,1477.7104,1406.5476,-999.97262
437.146,False,1477.7104,1406.5476,-999.9767
437.147,False,1477.7105,1406.5477,-999.98078
437.148,False,1477.7106,1406.5478,-999.98486
437.149,False,1477.7106,1406.5478,-999.98894
437.15,False,1477.7107,1406.5479,-999.99302
437.151,False,1477.7108,1406.548,-999.9971
437.152,False,1477.7108,1406.5481,-1000.00118
437.153,False,1477.7109,1406.5481,-1000.00526
437.154,False,1477.711,1406.5482,-1000.00934
437.155,False,1477.711,1406.5483,-1000.01342
437.156,False,1477.7111,1406.5483,-1000.0175
437.157,False,1477.7112,1406.5484,-1000.02158
437.158,False,1477.7112,1406.5485,-1000.02566
437.159,False,1477.7113,1406.5485,-1000.02974
437.16,False,1477.7114,1406.5486,-1000.03382
437.161,False,1477.7114,1406.5487,-1000.0379
437.162,False,1477.7115,1406.5488,-1000.04198
437.163,False,1477.7116,1406.5488,-1000.04606
437.164,False,1477.7116,1406.5489,-1000.05014
437.165,False,1477.7117,1406.549,-1000.05422
437.166,False,1477.7118,1406.549,-1000.0583
437.167,False,1477.7118,1406.5491,-1000.06238
437.168,False,1477.7119,1406.5492,-1000.06646
437.169,False,1477.712,1406.5492,-1000.07054
437.17,False,1477.712,1406.5493,-1000.07462
437.171,False,1477.7121,1406.5494,-1000.0787
437.172,False,1477.7121,1406.5495,-1000.08278
437.173,False,1477.7122,1406.5495,-1000.08686
437.174,False,1477.7123,1406.5496,-1000.09094
437.175,False,1477.7123,1406.5497,-1000.09502
437.176,False,1477.7124,1406.5497,-1000.0991
437.177,False,1477.7125,1406.5498,-1000.10318
437.178,False,1477.7125,1406.5499,-1000.10726
437.179,False,1477.7126,1406.5499,-1000.11134
437.18,False,1477.7127,1406.55,-1000.11542
437.181,False,1477.7127,1406.5501,-1000.1195
437.182,False,1477.7128,1406.5502,-1000.12358
437.183,False,1477.7129,1406.5502,-1000.12766
437.184,False,1477.7129,1406.5503,-1000.13174
437.185,False,1477.713,1406.5504,-1000.13582
437.186,False,1477.7131,1406.5504,-1000.1399
437.187,False,1477.7131,1406.5505,-1000.14398
437.188,False,1477.7132,1406.5506,-1000.14806
437.189,False,1477.7133,1406.5506,-1000.15214
437.19,False,1477.7133,1406.5507,-1000.15622
437.191,False,1477.7134,1406.5508,-1000.1603
437.192,False,1477.7135,1406.5509,-1000.16438
437.193,False,1477.7135,1406.5509,-1000.16846
437.194,False,1477.7136,1406.551,-1000.17254
437.195,False,1477.7137,1406.5511,-1000.17662
437.196,False,1477.7137,1406.5511,-1000.1807
437.197,False,1477.7138,1406.5512,-1000.18478
437.198,False,1477.7139,1406.5513,-1000.18886
437.199,False,1477.7139,1406.5513,-1000.19294
437.2,False,1477.714,1406.5514,-1000.19702
437.201,False,1477.7141,1406.5515,-1000.2011
437.202,False,1477.7141,1406.5516,-1000.20518
437.203,False,1477.7142,1406.5516,-1000.20926
437.204,False,1477.7143,1406.5517,-1000.21334
437.205,False,1477.7143,1406.5518,-1000.21742
437.206,False,1477.7144,1406.5518,-1000.2215
437.207,False,1477.7145,1406.5519,-1000.22558
437.208,False,1477.7145,1406.552,-1000.22966
437.209,False,1477.7146,1406.552,-1000.23374
437.21,False,1477.7147,1406.5521,-1000.23782
437.211,False,1477.7147,1406.5522,-1000.2419
437.212,False,1477.7148,1406.5523,-1000.24598
437.213,False,1477.7148,1406.5523,-1000.25006
437.214,False,1477.7149,1406.5524,-1000.25414
437.215,False,1477.715,1406.5525,-1000.25822
437.216,False,1477.715,1406.5525,-1000.2623
437.217,False,1477.7151,1406.5526,-1000.26638
437.218,False,1477.7152,1406.5527,-1000.27046
437.219,False,1477.7152,1406.5527,-1000.27454
437.22,False,1477.7153,1406.5528,-1000.27862
437.221,False,1477.7154,1406.5529,-1000.2827
437.222,False,1477.7154,1406.553,-1000.28678
437.223,False,1477.7155,1406.553,-1000.29086
437.224,False,1477.7156,1406.5531,-1000.29494
437.225,False,1477.7156,1406.5532,-1000.29902
437.226,False,1477.7157,1406.5532,-1000.3031
437.227,False,1477.7158,1406.5533,-1000.30718
437.228,False,1477.7158,1406.5534,-1000.31126
437.229,False,1477.7159,1406.5534,-1000.31534
437.23,False,1477.716,1406.5535,-1000.31942
437.231,False,1477.716,1406.5536,-1000.3235
437.232,False,1477.7161,1406.5537,-1000.32758
437.233,False,1477.7162,1406.5537,-1000.33166
437.234,False,1477.7162,1406.5538,-1000.33574
437.235,False,1477.7163,1406.5539,-1000.33982
437.236,False,1477.7164,1406.5539,-1000.3439
437.237,False,1477.7164,1406.554,-1000.34798
437.238,False,1477.7165,1406.5541,-1000.35206
437.239,False,1477.7166,1406.5541,-1000.35614
437.24,False,1477.7166,1406.5542,-1000.36022
437.241,False,1477.7167,1406.5543,-1000.3643
437.242,False,1477.7168,1406.5544,-1000.36838
437.243,False,1477.7168,1406.5544,-1000.37246
437.244,False,1477.7169,1406.5545,-1000.37654
437.245,False,1477.717,1406.5546,-1000.38062
437.246,False,1477.717,1406.5546,-1000.3847
437.247,False,1477.7171,1406.5547,-1000.38878
437.248,False,1477.7172,1406.5548,-1000.39286
437.249,False,1477.7172,1406.5548,-1000.39694
437.25,False,1477.7173,1406.5549,-1000.40102
437.251,False,1477.7174,1406.555,-1000.4051
437.252,False,1477.7174,1406.5551,-1000.40918
437.253,False,1477.7175,1406.5551,-1000.41326
437.254,False,1477.7175,1406.5552,-1000.41734
437.255,False,1477.7176,1406.5553,-1000.42142
437.256,False,1477.7177,1406.5553,-1000.4255
437.257,False,1477.7177,1406.5554,-1000.42958
437.258,False,1477.7178,1406.5555,-1000.43366
437.259,False,1477.7179,1406.5555,-1000.43774
437.26,False,1477.7179,1406.5556,-1000.44182
437.261,False,1477.718,1406.5557,-1000.4459
437.262,False,1477.7181,1406.5558,-1000.44998
437.263,False,1477.7181,1406.5558,-1000.45406
437.264,False,1477.7182,1406.5559,-1000.45814
437.265,False,1477.7183,1406.556,-1000.46222
437.266,False,1477.7183,1406.556,-1000.4663
437.267,False,1477.7184,1406.5561,-1000.47038
437.268,False,1477.7185,1406.5562,-1000.47446
437.269,False,1477.7185,1406.5562,-1000.47854
437.27,False,1477.7186,1406.5563,-1000.48262
437.271,False,1477.7187,1406.5564,-1000.4867
437.272,False,1477.7187,1406.5564,-1000.49078
437.273,False,1477.7188,1406.5565,-1000.49486
437.274,False,1477.7189,1406.5566,-1000.49894
437.275,False,1477.7189,1406.5567,-1000.50302
437.276,False,1477.719,1406.5567,-1000.5071
437.277,False,1477.7191,1406.5568,-1000.51118
437.278,False,1477.7191,1406.5569,-1000.51526
437.279,False,1477.7192,1406.5569,-1000.51934
437.28,False,1477.7193,1406.557,-1000.52342
437.281,False,1477.7193,1406.5571,-1000.5275
437.282,False,1477.7194,1406.5571,-1000.53158
437.283,False,1477.7195,1406.5572,-1000.53566
437.284,False,1477.7195,1406.5573,-1000.53974
437.285,False,1477.7196,1406.5574,-1000.54382
437.286,False,1477.7197,1406.5574,-1000.5479
437.287,False,1477.7197,1406.5575,-1000.55198
437.288,False,1477.7198,1406.5576,-1000.55606
437.289,False,1477.7199,1406.5576,-1000.56014
437.29,False,1477.7199,1406.5577,-1000.56422
437.291,False,1477.72,1406.5578,-1000.5683
437.292,False,1477.7201,1406.5578,-1000.57238
437.293,False,1477.7201,1406.5579,-1000.57646
437.294,False,1477.7202,1406.558,-1000.58054
437.295,False,1477.7202,1406.5581,-1000.58462
437.296,False,1477.7203,1406.5581,-1000.5887
437.297,False,1477.7204,1406.5582,-1000.59278
