weight,pass_floor_streak,avg_day,min_day,worst_day
168.714,True,1642.8742,1573.3471,-999.90966
168.715,False,1642.8743,1573.3472,-999.912
168.716,False,1642.8744,1573.3472,-999.9188
168.717,False,1642.8744,1573.3473,-999.9256
168.718,False,1642.8745,1573.3474,-999.9324
168.719,False,1642.8746,1573.3475,-999.9392
168.72,False,1642.8746,1573.3476,-999.946
168.721,False,1642.8747,1573.3477,-999.9528
168.722,False,1642.8748,1573.3478,-999.9596
168.723,False,1642.8748,1573.3478,-999.9664
168.724,False,1642.8749,1573.3479,-999.9732
168.725,False,1642.875,1573.348,-999.98
168.726,False,1642.875,1573.3481,-999.9868
168.727,False,1642.8751,1573.3482,-999.9936
168.728,False,1642.8752,1573.3483,-1000.0004
168.729,False,1642.8752,1573.3484,-1000.0072
168.73,False,1642.8753,1573.3484,-1000.014
168.731,False,1642.8754,1573.3485,-1000.0208
168.732,False,1642.8754,1573.3486,-1000.0276
168.733,False,1642.8755,1573.3487,-1000.0344
168.734,False,1642.8756,1573.3488,-1000.0412
168.735,False,1642.8756,1573.3489,-1000.048
168.736,False,1642.8757,1573.349,-1000.0548
168.737,False,1642.8758,1573.3491,-1000.0616
168.738,False,1642.8758,1573.3491,-1000.0684
168.739,False,1642.8759,1573.3492,-1000.0752
168.74,False,1642.876,1573.3493,-1000.082
168.741,False,1642.876,1573.3494,-1000.0888
168.742,False,1642.8761,1573.3495,-1000.0956
168.743,False,1642.8762,1573.3496,-1000.1024
168.744,False,1642.8762,1573.3497,-1000.1092
168.745,False,1642.8763,1573.3497,-1000.116
168.746,False,1642.8764,1573.3498,-1000.1228
168.747,False,1642.8764,1573.3499,-1000.1296
168.748,False,1642.8765,1573.35,-1000.1364
168.749,False,1642.8765,1573.3501,-1000.1432
168.75,False,1642.8766,1573.3502,-1000.15
168.751,False,1642.8767,1573.3503,-1000.1568
168.752,False,1642.8767,1573.3503,-1000.1636
168.753,False,1642.8768,1573.3504,-1000.1704
168.754,False,1642.8769,1573.3505,-1000.1772
