weight,pass_floor_streak,avg_day,min_day,worst_day
31.539,True,1948.1453,1848.1876,-999.90946
31.54,False,1948.1469,1848.1885,-999.93977
31.541,False,1948.1484,1848.1895,-999.98084
31.542,False,1948.15,1848.1905,-1000.02191
31.543,False,1948.1515,1848.1915,-1000.06298
31.544,False,1948.153,1848.1925,-1000.10405
31.545,False,1948.1546,1848.1934,-1000.14512
31.546,False,1948.1561,1848.1944,-1000.18619
31.547,False,1948.1577,1848.1954,-1000.22726
31.548,False,1948.1592,1848.1964,-1000.26833
31.549,False,1948.1607,1848.1974,-1000.3094
31.55,False,1948.1623,1848.1983,-1000.35047
31.551,False,1948.1638,1848.1993,-1000.39154
31.552,False,1948.1653,1848.2003,-1000.43261
31.553,False,1948.1669,1848.2013,-1000.47368
31.554,False,1948.1684,1848.2023,-1000.51475
31.555,False,1948.17,1848.2032,-1000.55582
31.556,False,1948.1715,1848.2042,-1000.59689
31.557,False,1948.173,1848.2052,-1000.63796
31.558,False,1948.1746,1848.2062,-1000.67903
31.559,False,1948.1761,1848.2071,-1000.7201
31.56,False,1948.1777,1848.2081,-1000.76117
31.561,False,1948.1792,1848.2091,-1000.80224
31.562,False,1948.1807,1848.2101,-1000.84331
31.563,False,1948.1823,1848.2111,-1000.88438
31.564,False,1948.1838,1848.212,-1000.92545
31.565,False,1948.1854,1848.213,-1000.96652
31.566,False,1948.1869,1848.214,-1001.00759
31.567,False,1948.1884,1848.215,-1001.04866
31.568,False,1948.19,1848.216,-1001.08973
31.569,False,1948.1915,1848.2169,-1001.1308
31.57,False,1948.1931,1848.2179,-1001.17187
31.571,False,1948.1946,1848.2189,-1001.21294
31.572,False,1948.1961,1848.2199,-1001.25401
31.573,False,1948.1977,1848.2209,-1001.29508
31.574,False,1948.1992,1848.2218,-1001.33615
31.575,False,1948.2008,1848.2228,-1001.37722
31.576,False,1948.2023,1848.2238,-1001.41829
31.577,False,1948.2038,1848.2248,-1001.45936
31.578,False,1948.2054,1848.2257,-1001.50043
31.579,False,1948.2069,1848.2267,-1001.5415
31.58,False,1948.2085,1848.2277,-1001.58257
31.581,False,1948.21,1848.2287,-1001.62364
31.582,False,1948.2115,1848.2297,-1001.66471
31.583,False,1948.2131,1848.2306,-1001.70578
31.584,False,1948.2146,1848.2316,-1001.74685
31.585,False,1948.2162,1848.2326,-1001.78792
31.586,False,1948.2177,1848.2336,-1001.82899
31.587,False,1948.2192,1848.2346,-1001.87006
31.588,False,1948.2208,1848.2355,-1001.91113
31.589,False,1948.2223,1848.2365,-1001.9522
31.59,False,1948.2239,1848.2375,-1001.99327
31.591,False,1948.2254,1848.2385,-1002.03434
31.592,False,1948.2269,1848.2395,-1002.07541
31.593,False,1948.2285,1848.2404,-1002.11648
31.594,False,1948.23,1848.2414,-1002.15755
31.595,False,1948.2316,1848.2424,-1002.19862
31.596,False,1948.2331,1848.2434,-1002.23969
31.597,False,1948.2346,1848.2443,-1002.28076
31.598,False,1948.2362,1848.2453,-1002.32183
31.599,False,1948.2377,1848.2463,-1002.3629
31.6,False,1948.2393,1848.2473,-1002.40397
31.601,False,1948.2408,1848.2483,-1002.44504
31.602,False,1948.2423,1848.2492,-1002.48611
31.603,False,1948.2439,1848.2502,-1002.52718
31.604,False,1948.2454,1848.2512,-1002.56825
31.605,False,1948.247,1848.2522,-1002.60932
31.606,False,1948.2485,1848.2532,-1002.65039
31.607,False,1948.25,1848.2541,-1002.69146
31.608,False,1948.2516,1848.2551,-1002.73253
31.609,False,1948.2531,1848.2561,-1002.7736
31.61,False,1948.2547,1848.2571,-1002.81467
31.611,False,1948.2562,1848.2581,-1002.85574
31.612,False,1948.2577,1848.259,-1002.89681
31.613,False,1948.2593,1848.26,-1002.93788
31.614,False,1948.2608,1848.261,-1002.97895
31.615,False,1948.2624,1848.262,-1003.02002
31.616,False,1948.2639,1848.2629,-1003.06109
31.617,False,1948.2654,1848.2639,-1003.10216
31.618,False,1948.267,1848.2649,-1003.14323
31.619,False,1948.2685,1848.2659,-1003.1843
31.62,False,1948.2701,1848.2669,-1003.22537
31.621,False,1948.2716,1848.2678,-1003.26644
31.622,False,1948.2731,1848.2688,-1003.30751
31.623,False,1948.2747,1848.2698,-1003.34858
31.624,False,1948.2762,1848.2708,-1003.38965
31.625,False,1948.2778,1848.2718,-1003.43072
31.626,False,1948.2793,1848.2727,-1003.47179
31.627,False,1948.2808,1848.2737,-1003.51286
31.628,False,1948.2824,1848.2747,-1003.55393
31.629,False,1948.2839,1848.2757,-1003.595
31.63,False,1948.2855,1848.2767,-1003.63607
31.631,False,1948.287,1848.2776,-1003.67714
31.632,False,1948.2885,1848.2786,-1003.71821
31.633,False,1948.2901,1848.2796,-1003.75928
31.634,False,1948.2916,1848.2806,-1003.80035
31.635,False,1948.2932,1848.2815,-1003.84142
31.636,False,1948.2947,1848.2825,-1003.88249
31.637,False,1948.2962,1848.2835,-1003.92356
31.638,False,1948.2978,1848.2845,-1003.96463
31.639,False,1948.2993,1848.2855,-1004.0057
31.64,False,1948.3009,1848.2864,-1004.04677
31.641,False,1948.3024,1848.2874,-1004.08784
31.642,False,1948.3039,1848.2884,-1004.12891
31.643,False,1948.3055,1848.2894,-1004.16998
31.644,False,1948.307,1848.2904,-1004.21105
31.645,False,1948.3086,1848.2913,-1004.25212
31.646,False,1948.3101,1848.2923,-1004.29319
31.647,False,1948.3116,1848.2933,-1004.33426
31.648,False,1948.3132,1848.2943,-1004.37533
31.649,False,1948.3147,1848.2953,-1004.4164
31.65,False,1948.3163,1848.2962,-1004.45747
31.651,False,1948.3178,1848.2972,-1004.49854
31.652,False,1948.3193,1848.2982,-1004.53961
31.653,False,1948.3209,1848.2992,-1004.58068
31.654,False,1948.3224,1848.3002,-1004.62175
31.655,False,1948.324,1848.3011,-1004.66282
31.656,False,1948.3255,1848.3021,-1004.70389
31.657,False,1948.327,1848.3031,-1004.74496
31.658,False,1948.3286,1848.3041,-1004.78603
31.659,False,1948.3301,1848.305,-1004.8271
31.66,False,1948.3317,1848.306,-1004.86817
31.661,False,1948.3332,1848.307,-1004.90924
31.662,False,1948.3347,1848.308,-1004.95031
31.663,False,1948.3363,1848.309,-1004.99138
31.664,False,1948.3378,1848.3099,-1005.03245
31.665,False,1948.3394,1848.3109,-1005.07352
31.666,False,1948.3409,1848.3119,-1005.11459
31.667,False,1948.3424,1848.3129,-1005.15566
31.668,False,1948.344,1848.3139,-1005.19673
31.669,False,1948.3455,1848.3148,-1005.2378
31.67,False,1948.3471,1848.3158,-1005.27887
31.671,False,1948.3486,1848.3168,-1005.31994
31.672,False,1948.3501,1848.3178,-1005.36101
31.673,False,1948.3517,1848.3188,-1005.40208
31.674,False,1948.3532,1848.3197,-1005.44315
31.675,False,1948.3548,1848.3207,-1005.48422
31.676,False,1948.3563,1848.3217,-1005.52529
31.677,False,1948.3578,1848.3227,-1005.56636
31.678,False,1948.3594,1848.3236,-1005.60743
31.679,False,1948.3609,1848.3246,-1005.6485
31.68,False,1948.3625,1848.3256,-1005.68957
31.681,False,1948.364,1848.3266,-1005.73064
31.682,False,1948.3655,1848.3276,-1005.77171
31.683,False,1948.3671,1848.3285,-1005.81278
31.684,False,1948.3686,1848.3295,-1005.85385
31.685,False,1948.3702,1848.3305,-1005.89492
31.686,False,1948.3717,1848.3315,-1005.93599
31.687,False,1948.3732,1848.3325,-1005.97706
31.688,False,1948.3748,1848.3334,-1006.01813
31.689,False,1948.3763,1848.3344,-1006.0592
31.69,False,1948.3779,1848.3354,-1006.10027
31.691,False,1948.3794,1848.3364,-1006.14134
31.692,False,1948.3809,1848.3374,-1006.18241
31.693,False,1948.3825,1848.3383,-1006.22348
31.694,False,1948.384,1848.3393,-1006.26455
31.695,False,1948.3856,1848.3403,-1006.30562
31.696,False,1948.3871,1848.3413,-1006.34669
31.697,False,1948.3886,1848.3422,-1006.38776
31.698,False,1948.3902,1848.3432,-1006.42883
