weight,pass_floor_streak,avg_day,min_day,worst_day
35.801,True,2145.4771,1948.231,-999.90946
35.802,False,2145.4778,1948.232,-999.93852
35.803,False,2145.4785,1948.2329,-999.99441
35.804,False,2145.4792,1948.2339,-1000.0503
35.805,False,2145.4799,1948.2349,-1000.10619
35.806,False,2145.4806,1948.2359,-1000.16208
35.807,False,2145.4813,1948.2369,-1000.21797
35.808,False,2145.482,1948.2378,-1000.27386
35.809,False,2145.4827,1948.2388,-1000.32975
35.81,False,2145.4834,1948.2398,-1000.38564
35.811,False,2145.484,1948.2408,-1000.44153
35.812,False,2145.4847,1948.2417,-1000.49742
35.813,False,2145.4854,1948.2427,-1000.55331
35.814,False,2145.4861,1948.2437,-1000.6092
35.815,False,2145.4868,1948.2447,-1000.66509
35.816,False,2145.4875,1948.2457,-1000.72098
35.817,False,2145.4882,1948.2466,-1000.77687
35.818,False,2145.4889,1948.2476,-1000.83276
35.819,False,2145.4896,1948.2486,-1000.88865
35.82,False,2145.4903,1948.2496,-1000.94454
35.821,False,2145.491,1948.2506,-1001.00043
35.822,False,2145.4917,1948.2515,-1001.05632
35.823,False,2145.4924,1948.2525,-1001.11221
35.824,False,2145.4931,1948.2535,-1001.1681
35.825,False,2145.4938,1948.2545,-1001.22399
35.826,False,2145.4945,1948.2554,-1001.27988
35.827,False,2145.4952,1948.2564,-1001.33577
35.828,False,2145.4959,1948.2574,-1001.39166
35.829,False,2145.4966,1948.2584,-1001.44755
35.83,False,2145.4973,1948.2594,-1001.50344
35.831,False,2145.498,1948.2603,-1001.55933
35.832,False,2145.4987,1948.2613,-1001.61522
35.833,False,2145.4994,1948.2623,-1001.67111
35.834,False,2145.5001,1948.2633,-1001.727
35.835,False,2145.5008,1948.2643,-1001.78289
35.836,False,2145.5015,1948.2652,-1001.83878
35.837,False,2145.5022,1948.2662,-1001.89467
35.838,False,2145.5029,1948.2672,-1001.95056
35.839,False,2145.5036,1948.2682,-1002.00645
35.84,False,2145.5043,1948.2691,-1002.06234
35.841,False,2145.505,1948.2701,-1002.11823
35.842,False,2145.5057,1948.2711,-1002.17412
35.843,False,2145.5064,1948.2721,-1002.23001
35.844,False,2145.5071,1948.2731,-1002.2859
35.845,False,2145.5078,1948.274,-1002.34179
35.846,False,2145.5085,1948.275,-1002.39768
35.847,False,2145.5091,1948.276,-1002.45357
35.848,False,2145.5098,1948.277,-1002.50946
35.849,False,2145.5105,1948.278,-1002.56535
35.85,False,2145.5112,1948.2789,-1002.62124
35.851,False,2145.5119,1948.2799,-1002.67713
35.852,False,2145.5126,1948.2809,-1002.73302
35.853,False,2145.5133,1948.2819,-1002.78891
35.854,False,2145.514,1948.2828,-1002.8448
35.855,False,2145.5147,1948.2838,-1002.90069
35.856,False,2145.5154,1948.2848,-1002.95658
35.857,False,2145.5161,1948.2858,-1003.01247
35.858,False,2145.5168,1948.2868,-1003.06836
35.859,False,2145.5175,1948.2877,-1003.12425
35.86,False,2145.5182,1948.2887,-1003.18014
35.861,False,2145.5189,1948.2897,-1003.23603
35.862,False,2145.5196,1948.2907,-1003.29192
35.863,False,2145.5203,1948.2917,-1003.34781
35.864,False,2145.521,1948.2926,-1003.4037
35.865,False,2145.5217,1948.2936,-1003.45959
35.866,False,2145.5224,1948.2946,-1003.51548
35.867,False,2145.5231,1948.2956,-1003.57137
35.868,False,2145.5238,1948.2965,-1003.62726
35.869,False,2145.5245,1948.2975,-1003.68315
35.87,False,2145.5252,1948.2985,-1003.73904
35.871,False,2145.5259,1948.2995,-1003.79493
35.872,False,2145.5266,1948.3005,-1003.85082
35.873,False,2145.5273,1948.3014,-1003.90671
35.874,False,2145.528,1948.3024,-1003.9626
35.875,False,2145.5287,1948.3034,-1004.01849
35.876,False,2145.5294,1948.3044,-1004.07438
35.877,False,2145.5301,1948.3054,-1004.13027
35.878,False,2145.5308,1948.3063,-1004.18616
35.879,False,2145.5315,1948.3073,-1004.24205
35.88,False,2145.5322,1948.3083,-1004.29794
35.881,False,2145.5329,1948.3093,-1004.35383
35.882,False,2145.5336,1948.3102,-1004.40972
35.883,False,2145.5342,1948.3112,-1004.46561
35.884,False,2145.5349,1948.3122,-1004.5215
