weight,valid,avg_day,min_day,worst_day,streak
220.0,True,3382.8223,3083.2189,-1000.0,3
220.001,True,3382.8224,3083.219,-1000.0,3
220.002,True,3382.8226,3083.2191,-1000.0,3
220.003,True,3382.8227,3083.2192,-1000.0,3
220.004,True,3382.8229,3083.2193,-1000.0,3
220.005,True,3382.823,3083.2194,-1000.0,3
220.006,True,3382.8232,3083.2195,-1000.0,3
220.007,True,3382.8233,3083.2196,-1000.0,3
220.008,True,3382.8234,3083.2197,-1000.0,3
220.009,True,3382.8236,3083.2198,-1000.0,3
220.01,True,3382.8237,3083.2199,-1000.0,3
220.011,True,3382.8239,3083.22,-1000.0,3
220.012,True,3382.824,3083.2202,-1000.0,3
220.013,True,3382.8242,3083.2203,-1000.0,3
220.014,True,3382.8243,3083.2204,-1000.0,3
220.015,True,3382.8245,3083.2205,-1000.0,3
220.016,True,3382.8246,3083.2206,-1000.0,3
220.017,True,3382.8248,3083.2207,-1000.0,3
220.018,True,3382.8249,3083.2208,-1000.0,3
220.019,True,3382.8251,3083.2209,-1000.0,3
220.02,True,3382.8252,3083.221,-1000.0,3
220.021,True,3382.8253,3083.2211,-1000.0,3
220.022,True,3382.8255,3083.2212,-1000.0,3
220.023,True,3382.8256,3083.2213,-1000.0,3
220.024,True,3382.8258,3083.2214,-1000.0,3
220.025,True,3382.8259,3083.2215,-1000.0,3
220.026,True,3382.8261,3083.2216,-1000.0,3
220.027,True,3382.8262,3083.2217,-1000.0,3
220.028,True,3382.8264,3083.2218,-1000.0,3
220.029,True,3382.8265,3083.2219,-1000.0,3
220.03,True,3382.8267,3083.222,-1000.0,3
220.031,True,3382.8268,3083.2221,-1000.0,3
220.032,True,3382.827,3083.2222,-1000.0,3
220.033,True,3382.8271,3083.2223,-1000.0,3
220.034,True,3382.8272,3083.2224,-1000.0,3
220.035,True,3382.8274,3083.2225,-1000.0,3
220.036,True,3382.8275,3083.2226,-1000.0,3
220.037,True,3382.8277,3083.2227,-1000.0,3
220.038,True,3382.8278,3083.2228,-1000.0,3
220.039,True,3382.828,3083.2229,-1000.0,3
220.04,True,3382.8281,3083.223,-1000.0,3
220.041,True,3382.8283,3083.2231,-1000.0,3
220.042,True,3382.8284,3083.2232,-1000.0,3
220.043,True,3382.8286,3083.2233,-1000.0,3
220.044,True,3382.8287,3083.2234,-1000.0,3
220.045,True,3382.8289,3083.2235,-1000.0,3
220.046,True,3382.829,3083.2237,-1000.0,3
220.047,True,3382.8291,3083.2238,-1000.0,3
220.048,True,3382.8293,3083.2239,-1000.0,3
220.049,True,3382.8294,3083.224,-1000.0,3
220.05,True,3382.8296,3083.2241,-1000.0,3
220.051,True,3382.8297,3083.2242,-1000.0,3
220.052,True,3382.8299,3083.2243,-1000.0,3
220.053,True,3382.83,3083.2244,-1000.0,3
220.054,True,3382.8302,3083.2245,-1000.0,3
220.055,True,3382.8303,3083.2246,-1000.0,3
220.056,True,3382.8305,3083.2247,-1000.0,3
220.057,True,3382.8306,3083.2248,-1000.0,3
220.058,True,3382.8308,3083.2249,-1000.0,3
220.059,True,3382.8309,3083.225,-1000.0,3
220.06,True,3382.831,3083.2251,-1000.0,3
220.061,True,3382.8312,3083.2252,-1000.0,3
220.062,True,3382.8313,3083.2253,-1000.0,3
220.063,True,3382.8315,3083.2254,-1000.0,3
220.064,True,3382.8316,3083.2255,-1000.0,3
220.065,True,3382.8318,3083.2256,-1000.0,3
220.066,True,3382.8319,3083.2257,-1000.0,3
220.067,True,3382.8321,3083.2258,-1000.0,3
220.068,True,3382.8322,3083.2259,-1000.0,3
220.069,True,3382.8324,3083.226,-1000.0,3
220.07,True,3382.8325,3083.2261,-1000.0,3
220.071,True,3382.8327,3083.2262,-1000.0,3
220.072,True,3382.8328,3083.2263,-1000.0,3
220.073,True,3382.8329,3083.2264,-1000.0,3
220.074,True,3382.8331,3083.2265,-1000.0,3
220.075,True,3382.8332,3083.2266,-1000.0,3
220.076,True,3382.8334,3083.2267,-1000.0,3
220.077,True,3382.8335,3083.2268,-1000.0,3
220.078,True,3382.8337,3083.2269,-1000.0,3
220.079,True,3382.8338,3083.2271,-1000.0,3
220.08,True,3382.834,3083.2272,-1000.0,3
220.081,True,3382.8341,3083.2273,-1000.0,3
220.082,True,3382.8343,3083.2274,-1000.0,3
220.083,True,3382.8344,3083.2275,-1000.0,3
220.084,True,3382.8346,3083.2276,-1000.0,3
220.085,True,3382.8347,3083.2277,-1000.0,3
220.086,True,3382.8348,3083.2278,-1000.0,3
220.087,True,3382.835,3083.2279,-1000.0,3
220.088,True,3382.8351,3083.228,-1000.0,3
220.089,True,3382.8353,3083.2281,-1000.0,3
220.09,True,3382.8354,3083.2282,-1000.0,3
220.091,True,3382.8356,3083.2283,-1000.0,3
220.092,True,3382.8357,3083.2284,-1000.0,3
220.093,True,3382.8359,3083.2285,-1000.0,3
220.094,True,3382.836,3083.2286,-1000.0,3
220.095,True,3382.8362,3083.2287,-1000.0,3
220.096,True,3382.8363,3083.2288,-1000.0,3
220.097,True,3382.8365,3083.2289,-1000.0,3
220.098,True,3382.8366,3083.229,-1000.0,3
220.099,True,3382.8367,3083.2291,-1000.0,3
220.1,True,3382.8369,3083.2292,-1000.0,3
220.101,True,3382.837,3083.2293,-1000.0,3
220.102,True,3382.8372,3083.2294,-1000.0,3
220.103,True,3382.8373,3083.2295,-1000.0,3
220.104,True,3382.8375,3083.2296,-1000.0,3
220.105,True,3382.8376,3083.2297,-1000.0,3
220.106,True,3382.8378,3083.2298,-1000.0,3
220.107,True,3382.8379,3083.2299,-1000.0,3
220.108,True,3382.8381,3083.23,-1000.0,3
220.109,True,3382.8382,3083.2301,-1000.0,3
220.11,True,3382.8384,3083.2302,-1000.0,3
220.111,True,3382.8385,3083.2303,-1000.0,3
220.112,True,3382.8386,3083.2305,-1000.0,3
220.113,True,3382.8388,3083.2306,-1000.0,3
220.114,True,3382.8389,3083.2307,-1000.0,3
220.115,True,3382.8391,3083.2308,-1000.0,3
220.116,True,3382.8392,3083.2309,-1000.0,3
220.117,True,3382.8394,3083.231,-1000.0,3
220.118,True,3382.8395,3083.2311,-1000.0,3
220.119,True,3382.8397,3083.2312,-1000.0,3
220.12,True,3382.8398,3083.2313,-1000.0,3
220.121,True,3382.84,3083.2314,-1000.0,3
220.122,True,3382.8401,3083.2315,-1000.0,3
220.123,True,3382.8403,3083.2316,-1000.0,3
220.124,True,3382.8404,3083.2317,-1000.0,3
220.125,True,3382.8405,3083.2318,-1000.0,3
220.126,True,3382.8407,3083.2319,-1000.0,3
220.127,True,3382.8408,3083.232,-1000.0,3
220.128,True,3382.841,3083.2321,-1000.0,3
220.129,True,3382.8411,3083.2322,-1000.0,3
220.13,True,3382.8413,3083.2323,-1000.0,3
220.131,True,3382.8414,3083.2324,-1000.0,3
220.132,True,3382.8416,3083.2325,-1000.0,3
220.133,True,3382.8417,3083.2326,-1000.0,3
220.134,True,3382.8419,3083.2327,-1000.0,3
220.135,True,3382.842,3083.2328,-1000.0,3
220.136,True,3382.8422,3083.2329,-1000.0,3
220.137,True,3382.8423,3083.233,-1000.0,3
220.138,True,3382.8424,3083.2331,-1000.0,3
220.139,True,3382.8426,3083.2332,-1000.0,3
220.14,True,3382.8427,3083.2333,-1000.0,3
220.141,True,3382.8429,3083.2334,-1000.0,3
220.142,True,3382.843,3083.2335,-1000.0,3
220.143,True,3382.8432,3083.2336,-1000.0,3
220.144,True,3382.8433,3083.2337,-1000.0,3
220.145,True,3382.8435,3083.2338,-1000.0,3
220.146,True,3382.8436,3083.234,-1000.0,3
220.147,True,3382.8438,3083.2341,-1000.0,3
220.148,True,3382.8439,3083.2342,-1000.0,3
220.149,True,3382.8441,3083.2343,-1000.0,3
220.15,True,3382.8442,3083.2344,-1000.0,3
220.151,True,3382.8443,3083.2345,-1000.0,3
220.152,True,3382.8445,3083.2346,-1000.0,3
220.153,True,3382.8446,3083.2347,-1000.0,3
