label,weight,avg,min,worst,raw_counts
INVERSE_S84c6017_RD2.0-2.7_H14,600.0,12464.62,12464.62,-1000.0,550d:8
INVERSE_S84c6017_RD2.7-3.4_H9,600.0,12449.11,12449.11,-1000.0,550d:4
DIRECT_S84c6017_RD1.3-2.0_H15,600.0,12437.43,12437.43,-1000.0,550d:2
INVERSE_S84c6017_RD3.4-4.0_H22,600.0,12436.61,12436.61,-1000.0,550d:5
DIRECT_S84c6017_RD1.3-2.0_H14,600.0,12436.35,12436.35,-1000.0,550d:2
DIRECT_S84c6017_RD2.7-3.4_H22,600.0,12436.02,12436.02,-1000.0,550d:4
DIRECT_S84c6017_RD2.0-2.7_H22,600.0,12435.82,12435.82,-1000.0,550d:2
INVERSE_S84c6017_RD2.0-2.7_H20,600.0,12434.93,12434.93,-1000.0,550d:3
DIRECT_S84c6017_RD0.8-1.3_H17,600.0,12430.38,12430.38,-1000.0,550d:1
INVERSE_S84c6017_RD1.3-2.0_H20,600.0,12430.07,12430.07,-1000.0,550d:1
INVERSE_S84c6017_RD0.8-1.3_H12,600.0,12429.99,12429.99,-1000.0,550d:1
INVERSE_S84c6017_RD0.8-1.3_H8,600.0,12429.78,12429.78,-1000.0,550d:1
INVERSE_S84c6017_RD1.3-2.0_H9,600.0,12429.74,12429.74,-1000.0,550d:2
INVERSE_S84c6017_RD0.8-1.3_H11,600.0,12429.67,12429.67,-1000.0,550d:1
