bar_index,signal_time,side,entry,sl,tp,score,members,profit
2985,2025-07-22T20:50:00+07:00,BUY,3403.83,3400.65,3429.27,2.0,294;327,25.24
5444,2025-08-04T19:40:00+07:00,BUY,3368.22,3365.79,3419.5,2.0,294;327,-2.63
5459,2025-08-04T20:55:00+07:00,BUY,3367.81,3365.27,3421.41,2.0,294;327,-2.74
7371,2025-08-13T20:05:00+07:00,SELL,3362.55,3364.26,3359.47,2.0,114;311,2.88
7619,2025-08-14T17:50:00+07:00,BUY,3358.09,3354.79,3427.73,2.0,294;327,-3.5
10367,2025-08-28T17:50:00+07:00,BUY,3400.16,3399.08,3422.95,2.0,294;327,-1.28
14171,2025-09-17T17:10:00+07:00,SELL,3668.35,3669.05,3648.67,2.0,258;327,-0.9
15269,2025-09-23T17:05:00+07:00,BUY,3781.42,3776.59,3820.06,2.0,294;327,-5.03
16407,2025-09-29T20:20:00+07:00,BUY,3820.97,3819.07,3874.36,2.0,258;294,-2.1
16410,2025-09-29T20:35:00+07:00,BUY,3818.55,3813.08,3933.97,2.0,258;294,-5.67
16924,2025-10-01T17:35:00+07:00,BUY,3887.56,3884.19,3958.67,2.0,294;327,-3.57
17234,2025-10-02T20:30:00+07:00,BUY,3881.72,3879.43,3885.85,3.0,114;294,3.93
17514,2025-10-03T20:55:00+07:00,BUY,3873.84,3869.67,3961.83,2.0,294;327,-4.37
17532,2025-10-03T22:25:00+07:00,BUY,3874.91,3864.61,3893.45,5.0,114;294;327,18.34
21636,2025-10-24T21:00:00+07:00,BUY,4079.36,4072.32,4092.04,2.0,114;294,12.48
23236,2025-11-03T17:00:00+07:00,SELL,3996.85,4005.27,3911.8,2.0,311;327,-8.62
25737,2025-11-14T19:15:00+07:00,SELL,4118.48,4129.12,4033.35,2.0,311;327,84.93
29236,2025-12-03T18:25:00+07:00,SELL,4205.22,4205.87,4186.95,2.0,114;258,-0.85
31155,2025-12-12T17:20:00+07:00,BUY,4321.51,4317.73,4401.27,2.0,294;327,-3.98
31160,2025-12-12T17:45:00+07:00,BUY,4330.34,4326.52,4410.95,2.0,294;327,-4.02
31490,2025-12-15T22:15:00+07:00,SELL,4324.4,4329.13,4315.88,2.0,114;327,8.32
32025,2025-12-17T20:50:00+07:00,BUY,4338.3,4332.82,4382.15,3.0,294;327,-5.68
