bar_index,signal_time,side,entry,sl,tp,score,members,profit
3240,2026-01-23T20:45:00+07:00,BUY,4930.91,4921.98,4946.99,3.0,114;294,15.88
5980,2026-02-06T19:20:00+07:00,BUY,4878.92,4876.03,4960.13,3.0,258;294,-3.09
5982,2026-02-06T19:30:00+07:00,BUY,4883.57,4876.4,5034.86,2.0,258;294,151.09
6799,2026-02-11T18:40:00+07:00,BUY,5108.88,5100.78,5279.8,2.0,294;327,-8.3
6805,2026-02-11T19:10:00+07:00,BUY,5106.1,5098.68,5262.67,2.0,294;327,-7.62
12874,2026-03-13T20:40:00+07:00,BUY,5102.75,5095.06,5116.6,2.0,114;294,13.65
16966,2026-04-06T18:00:00+07:00,BUY,4697.51,4692.6,4801.12,2.0,294;327,-5.11
23054,2026-05-06T19:40:00+07:00,BUY,4699.63,4697.45,4760.89,2.0,258;294,-2.38
29113,2026-06-05T21:20:00+07:00,SELL,4409.95,4420.69,4324.03,2.0,311;327,85.72
35637,2026-07-09T21:20:00+07:00,BUY,4125.33,4118.11,4183.1,2.0,294;327,-7.42
