bar_index,signal_time,side,entry,sl,tp,score,members,profit
3001,2025-07-22T22:10:00+07:00,BUY,3410.43,3403.97,3422.06,3.0,114;322;327,11.43
4100,2025-07-28T22:10:00+07:00,BUY,3306.64,3304.22,3328.42,2.0,165;172,21.58
5444,2025-08-04T19:40:00+07:00,BUY,3368.22,3365.79,3394.23,2.0,322;327,-2.63
6238,2025-08-07T17:15:00+07:00,SELL,3377.8,3381.48,3338.42,2.0,322;327,-3.88
10103,2025-08-27T18:45:00+07:00,BUY,3375.9,3374.75,3386.25,2.0,165;172,-1.35
16720,2025-09-30T23:30:00+07:00,BUY,3836.64,3833.64,3869.04,2.0,172;327,32.2
17532,2025-10-03T22:25:00+07:00,BUY,3874.91,3864.61,3893.45,4.0,114;327,18.34
18156,2025-10-08T04:40:00+07:00,BUY,3984.04,3981.64,4008.04,2.0,206;218,23.8
20805,2025-10-21T20:30:00+07:00,SELL,4218.22,4230.98,4081.68,2.0,322;327,136.34
23959,2025-11-06T08:30:00+07:00,BUY,3970.2,3967.42,3995.22,2.0,165;172,24.82
25737,2025-11-14T19:15:00+07:00,SELL,4118.48,4129.12,4004.63,2.0,322;327,113.65
31490,2025-12-15T22:15:00+07:00,SELL,4324.4,4329.13,4315.88,2.0,114;327,8.32
32025,2025-12-17T20:50:00+07:00,BUY,4338.3,4332.82,4382.15,2.0,322;327,-5.68
32041,2025-12-17T22:10:00+07:00,BUY,4341.43,4337.7,4381.72,4.0,172;322;327,-3.93
36968,2026-01-14T22:35:00+07:00,BUY,4615.2,4609.18,4680.22,2.0,165;172,-6.22
