SIM_Open_Time,MT5_Open_Time,SIM_Close_Time,MT5_Close_Time,SIM_Leg,SIM_TF,MT5_TF,SIM_Type,MT5_Type,SIM_Entry,MT5_Entry,MT5_Close_Price,SIM_SL,MT5_SL,SIM_TP,MT5_TP,SIM_Lot,MT5_Volume,SIM_P&L,MT5_P&L,SIM_Balance,MT5_Balance,MT5_Comment,MT5_Position_ID,Matched,Match_Detail,SIM_Reason,MT5_Reason,Sim_point,MT5_point
,2026-09-05 00:03:57,,2026-09-09 03:49:56,,,M30,,BUY,,4431.52,4351.49,,4351.49,,4489.51,,0.06,,-480.2,,4519.8,M30-LTS_AUS2_646,3767766798,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,[sl 4351.48900],,-8003.3
,2026-09-05 03:33:57,,2026-09-14 20:08:53,,,M15,,BUY,,4429.79,4254.87,,4254.87,,4517.48,,0.07,,-1224.48,,3295.32,M15-LTS_AUS2_645,3768296266,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,[sl 4254.86800],,-17492.6
,2026-09-07 09:17:56,,2026-09-07 09:30:50,,,M15,,SELL,,4405.59,4411.45,,4411.45,,4405.59,,0.5,,-292.9,,3002.42,M15-LTS_AUS2_41,3771748250,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,[sl 4411.45000],,-585.8
,2026-09-07 10:07:48,,2026-09-10 19:38:01,,,M15,,BUY,,4406.84,4331.06,,4331.06,,4447.74,,0.07,,-530.48,,2471.94,M15-LTS_AUS2_645,3771993336,False,MT5_ONLY_CB_DESYNC,cb_desync: simulated CB (550d) ตัดทิ้ง แต่บัญชีจริง cooldown_remaining=? consec_loss=? ตอนนี้,[sl 4331.05800],,-7578.4
,2026-09-07 10:27:49,,2026-09-10 19:38:01,,,M15,,SELL,,4409.48,4331.06,,4447.74,,4331.06,,0.06,,470.54,,2942.48,M15-LTS_AUS2_644,3772064254,False,MT5_ONLY_CB_DESYNC,cb_desync: simulated CB (550d) ตัดทิ้ง แต่บัญชีจริง cooldown_remaining=? consec_loss=? ตอนนี้,[tp 4331.05800],,7842.3
,2026-09-07 13:32:49,,2026-09-14 16:19:03,,,M30,,SELL,,4395.35,4287.82,,4554.49,,4287.82,,0.35,,3763.51,,6705.99,M30-LTS_AUS2_649,3772991292,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,[tp 4287.82300],,10752.9
,2026-09-07 13:47:49,,2026-09-07 14:15:02,,,M15,,SELL,,4398.53,4402.64,,4402.64,,4387.7,,0.5,,-205.4,,6500.59,M15-LTS_AUS2_93,3773068173,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,[sl 4402.64000],,-410.8
,2026-09-07 13:47:50,,2026-09-07 14:15:02,,,M15,,SELL,,4398.51,4402.64,,4402.64,,4387.7,,0.5,,-206.45,,6294.14,M15-LTS_AUS2_140,3773068300,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,[sl 4402.64000],,-412.9
,2026-09-07 13:47:52,,2026-09-07 14:15:02,,,M15,,SELL,,4398.64,4402.64,,4402.64,,4387.7,,0.5,,-199.8,,6094.34,M15-LTS_AUS2_260,3773068375,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,[sl 4402.64000],,-399.6
,2026-09-07 13:57:49,,2026-09-14 16:19:02,,,M30,,BUY,,4392.77,4287.82,,4287.82,,4554.49,,0.22,,-2308.87,,3785.47,M30-LTS_AUS2_648,3773110719,False,MT5_ONLY_CB_DESYNC,cb_desync: simulated CB (550d) ตัดทิ้ง แต่บัญชีจริง cooldown_remaining=? consec_loss=? ตอนนี้,[sl 4287.82300],,-10494.9
,2026-09-07 18:02:49,,2026-09-07 18:02:50,,,M15,,SELL,,4390.89,4390.89,,4400.69,,4390.89,,0.5,,0.0,,3785.47,M15-LTS_AUS2_30,3774500426,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,[tp 4390.88500],,0.0
,2026-09-07 18:02:52,,2026-09-07 18:03:06,,,M15,,SELL,,4390.81,4390.81,,4400.69,,4390.81,,0.5,,0.0,,3785.47,M15-LTS_AUS2_212,3774500771,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,[tp 4390.80600],,0.0
,2026-09-07 18:02:53,,2026-09-07 18:03:06,,,M15,,SELL,,4390.78,4390.78,,4400.69,,4390.78,,0.5,,0.0,,3785.47,M15-LTS_AUS2_249,3774500828,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,[tp 4390.77800],,0.0
,2026-09-07 22:47:50,,2026-09-07 23:10:54,,,M15,,BUY,,4412.7,4416.58,,4408.15,,4416.58,,0.5,,193.95,,3979.42,M15-LTS_AUS2_245,3776153490,False,MT5_ONLY,ไม่มี SIM คู่ — backtest ไม่เจอ pattern นี้,[tp 4416.58000],,387.9
