Time (BKK),Close Time,Leg,TF,Type,Entry,Exit,Lot,P&L,Outcome
07-09-2026 09:17:56,07-09-2026 09:30:50,M15-LTS_AUS2_41,M15,SELL,4405.59,4411.45,0.5,-292.9,SL
07-09-2026 13:47:49,07-09-2026 14:15:02,M15-LTS_AUS2_93,M15,SELL,4398.53,4402.64,0.5,-205.4,SL
07-09-2026 13:47:52,07-09-2026 14:15:02,M15-LTS_AUS2_260,M15,SELL,4398.64,4402.64,0.5,-199.8,SL
07-09-2026 13:47:50,07-09-2026 14:15:02,M15-LTS_AUS2_140,M15,SELL,4398.51,4402.64,0.5,-206.45,SL
07-09-2026 18:02:49,07-09-2026 18:02:50,M15-LTS_AUS2_30,M15,SELL,4390.89,4390.89,0.5,0.0,SL
07-09-2026 18:02:52,07-09-2026 18:03:06,M15-LTS_AUS2_212,M15,SELL,4390.81,4390.81,0.5,0.0,SL
07-09-2026 18:02:53,07-09-2026 18:03:06,M15-LTS_AUS2_249,M15,SELL,4390.78,4390.78,0.5,0.0,SL
07-09-2026 22:47:50,07-09-2026 23:10:54,M15-LTS_AUS2_245,M15,BUY,4412.7,4416.58,0.5,193.95,TP
08-09-2026 08:32:49,08-09-2026 08:33:04,M15-LTS_AUS2_1,M15,BUY,4434.25,4434.25,0.11,0.0,SL
08-09-2026 09:04:41,08-09-2026 09:30:07,M15-LTS_AUS2_644,M15,BUY,4434.53,4424.1,0.06,-62.54,SL
08-09-2026 08:32:53,08-09-2026 13:01:54,M15-LTS_AUS2_644,M15,BUY,4433.98,4415.78,0.06,-109.19,SL
08-09-2026 08:42:49,08-09-2026 13:01:57,M15-LTS_AUS2_645,M15,SELL,4435.03,4415.78,0.07,134.75,TP
08-09-2026 14:04:41,08-09-2026 14:14:22,M15-LTS_AUS2_170,M15,SELL,4408.09,4403.02,0.5,253.4,TP
08-09-2026 22:41:44,08-09-2026 22:41:56,M15-LTS_AUS2_243,M15,SELL,4398.38,4398.38,0.01,0.0,SL
08-09-2026 09:04:42,09-09-2026 01:48:44,H1-LTS_AUS2_652,H1,BUY,4434.59,4374.98,0.06,-357.67,SL
08-09-2026 10:59:40,09-09-2026 01:48:44,H1-LTS_AUS2_653,H1,SELL,4438.13,4374.98,0.01,63.15,TP
08-09-2026 18:00:30,09-09-2026 01:48:58,M30-LTS_AUS2_314,M30,BUY,4395.88,4369.85,0.5,-1301.7,SL
08-09-2026 18:00:29,09-09-2026 01:48:58,M30-LTS_AUS2_298,M30,BUY,4395.88,4369.85,0.5,-1301.7,SL
08-09-2026 18:00:31,09-09-2026 01:48:58,M30-LTS_AUS2_353,M30,BUY,4396.26,4369.85,0.5,-1320.45,SL
08-09-2026 18:00:29,09-09-2026 01:48:58,M30-LTS_AUS2_284,M30,BUY,4395.88,4369.85,0.5,-1301.7,SL
08-09-2026 18:00:30,09-09-2026 01:48:58,M30-LTS_AUS2_310,M30,BUY,4395.88,4369.85,0.5,-1301.7,SL
08-09-2026 18:00:28,09-09-2026 01:48:58,M30-LTS_AUS2_231,M30,BUY,4395.86,4369.85,0.5,-1300.3,SL
08-09-2026 18:00:29,09-09-2026 01:48:58,M30-LTS_AUS2_274,M30,BUY,4396.14,4369.85,0.5,-1314.7,SL
08-09-2026 18:00:23,09-09-2026 01:48:58,M30-LTS_AUS2_12,M30,BUY,4395.9,4369.85,0.5,-1302.65,SL
08-09-2026 18:00:23,09-09-2026 01:48:58,M30-LTS_AUS2_18,M30,BUY,4395.9,4369.85,0.5,-1302.65,SL
08-09-2026 18:00:24,09-09-2026 01:48:58,M30-LTS_AUS2_55,M30,BUY,4396.21,4369.85,0.5,-1318.1,SL
