Pattern,TF,Time (BKK),Type,Limit_Price,Entry,SL,TP,be_trig,be_act,RSI,ATR,Lot,dist_sma50,dist_sma200,body,range,Bars_Waited,Reason,P&L,CloseTime (BKK),Balance,Date,Month
Naiya Doji,M15,2026-09-09 17:00,BUY,4394.26,4394.26,4390.9,4460.8,4400.98,False,43.05,15.01,0.01,-0.21,,28.98,51.86,1,SL,-3.36,2026-09-09 17:00,9941.57,2026-09-09,2026-09
Naiya Doji,M15,2026-09-09 20:30,BUY,4414.47,4414.47,4411.8,4425.96,4419.81,False,67.44,8.68,0.01,0.09,,8.07,8.8,2,SL,-2.67,2026-09-09 20:30,9900.18,2026-09-09,2026-09
Naiya Doji,M15,2026-09-09 20:30,BUY,4414.47,4414.47,4411.8,4425.96,4419.81,False,67.44,8.68,0.01,0.09,,8.07,8.8,1,SL,-2.67,2026-09-09 20:30,9897.51,2026-09-09,2026-09
Naiya Doji,M15,2026-09-09 21:00,BUY,4397.01,4397.01,4391.59,4457.33,4407.85,False,47.47,7.3,0.01,-0.13,,2.88,7.24,10,SL,-5.42,2026-09-10 02:00,9892.09,2026-09-10,2026-09
Naiya Doji,M15,2026-09-09 21:00,BUY,4397.01,4397.01,4391.59,4457.33,4407.85,False,47.47,7.3,0.01,-0.13,,2.88,7.24,9,SL,-5.42,2026-09-10 02:00,9886.67,2026-09-10,2026-09
Naiya Doji,M15,2026-09-09 21:00,BUY,4397.01,4397.01,4391.59,4457.33,4407.85,False,47.47,7.3,0.01,-0.13,,2.88,7.24,8,SL,-5.42,2026-09-10 02:00,9881.25,2026-09-10,2026-09
Naiya Doji,M15,2026-09-09 21:00,BUY,4397.01,4397.01,4391.59,4457.33,4407.85,False,47.47,7.3,0.01,-0.13,,2.88,7.24,7,SL,-5.42,2026-09-10 02:00,9875.83,2026-09-10,2026-09
Naiya Doji,M15,2026-09-09 21:00,BUY,4397.01,4397.01,4391.59,4457.33,4407.85,False,47.47,7.3,0.01,-0.13,,2.88,7.24,6,SL,-5.42,2026-09-10 02:00,9870.41,2026-09-10,2026-09
Naiya Doji,M15,2026-09-09 21:00,BUY,4397.01,4397.01,4391.59,4457.33,4407.85,False,47.47,7.3,0.01,-0.13,,2.88,7.24,5,SL,-5.42,2026-09-10 02:00,9864.99,2026-09-10,2026-09
Naiya Doji,M15,2026-09-09 21:00,BUY,4397.01,4397.01,4391.59,4438.45,4407.85,False,47.47,7.3,0.01,-0.13,,2.88,7.24,2,SL,-5.42,2026-09-10 02:00,9859.57,2026-09-10,2026-09
Naiya Doji,M15,2026-09-09 21:00,BUY,4397.01,4397.01,4391.59,4440.0,4407.85,False,47.47,7.3,0.01,-0.13,,2.88,7.24,1,SL,-5.42,2026-09-10 02:00,9854.15,2026-09-10,2026-09
Naiya Doji,M15,2026-09-10 00:45,BUY,4398.27,4398.27,4395.63,4437.5,4403.55,False,24.04,5.22,0.01,-0.12,,1.84,3.92,3,SL,-2.64,2026-09-10 01:30,9845.82,2026-09-10,2026-09
Naiya Doji,M15,2026-09-10 00:45,BUY,4398.27,4398.27,4395.63,4437.5,4403.55,False,24.04,5.22,0.01,-0.12,,1.84,3.92,2,SL,-2.64,2026-09-10 01:30,9843.18,2026-09-10,2026-09
Naiya Doji,M15,2026-09-10 00:45,BUY,4398.27,4398.27,4395.63,4437.5,4403.55,False,24.04,5.22,0.01,-0.12,,1.84,3.92,1,SL,-2.64,2026-09-10 01:30,9840.54,2026-09-10,2026-09
Naiya,M15,2026-09-10 01:15,BUY,4397.28,4397.28,4393.49,4438.83,4404.86,False,38.62,4.79,0.01,-0.18,,2.9,6.59,7,SL,-3.79,2026-09-10 01:30,9836.75,2026-09-10,2026-09
Naiya Doji,M15,2026-09-10 02:30,SELL,4400.83,4400.83,4403.1,4387.55,4396.29,False,55.72,5.14,0.01,-0.1,,8.1,10.16,4,SL,-2.27,2026-09-10 02:45,9825.12,2026-09-10,2026-09
Naiya Doji,M15,2026-09-10 02:30,SELL,4400.83,4400.83,4403.1,4387.55,4396.29,False,55.72,5.14,0.01,-0.1,,8.1,10.16,3,SL,-2.27,2026-09-10 02:45,9822.85,2026-09-10,2026-09
Naiya Doji,M15,2026-09-10 02:30,SELL,4400.83,4400.83,4403.1,4387.55,4396.29,False,55.72,5.14,0.01,-0.1,,8.1,10.16,2,SL,-2.27,2026-09-10 02:45,9820.58,2026-09-10,2026-09
Naiya Doji,M15,2026-09-10 02:30,SELL,4400.83,4400.83,4403.1,4387.55,4396.29,False,55.72,5.14,0.01,-0.1,,8.1,10.16,1,SL,-2.27,2026-09-10 02:45,9818.31,2026-09-10,2026-09
Naiya Doji,M15,2026-09-10 03:00,SELL,4417.47,4417.47,4420.55,4347.04,4411.31,False,67.33,6.25,0.01,0.17,,11.69,18.7,22,SL,-3.08,2026-09-10 04:30,9815.23,2026-09-10,2026-09
Naiya Doji,M15,2026-09-10 03:00,SELL,4417.47,4417.47,4420.55,4347.04,4411.31,False,67.33,6.25,0.01,0.17,,11.69,18.7,21,SL,-3.08,2026-09-10 04:30,9812.15,2026-09-10,2026-09
Naiya Doji,M15,2026-09-10 03:00,SELL,4417.47,4417.47,4420.55,4347.04,4411.31,False,67.33,6.25,0.01,0.17,,11.69,18.7,20,SL,-3.08,2026-09-10 04:30,9809.07,2026-09-10,2026-09
