SIM_Open_Time,MT5_Open_Time,SIM_Close_Time,MT5_Close_Time,SIM_Leg,SIM_TF,MT5_TF,SIM_Type,MT5_Type,SIM_Entry,MT5_Entry,MT5_Close_Price,SIM_SL,MT5_SL,SIM_TP,MT5_TP,SIM_Lot,MT5_Volume,SIM_P&L,MT5_P&L,SIM_Balance,MT5_Balance,MT5_Comment,MT5_Position_ID,Matched,Match_Detail,SIM_Reason,MT5_Reason,Sim_point,MT5_point
2026-09-08 20:20:00,,2026-09-08 20:25:00,,S20_18_XAUUSD,M15,,BUY,,4388.64,,,4383.59,,4397.73,,0.01,,9.09,,5009.09,,,,False,BACKTEST_ONLY,TP,,909.0,
2026-09-08 20:20:00,,2026-09-08 20:55:00,,S20_18_XAGUSD,M15,,BUY,,65.81,,,65.49,,66.39,,0.01,,29.0,,5038.09,,,,False,BACKTEST_ONLY,TP,,58.0,
2026-09-08 20:35:00,,2026-09-08 20:40:00,,S20_18_XAUUSD,M15,,SELL,,4405.03,,,4410.07,,4395.96,,0.01,,9.07,,5047.16,,,,False,BACKTEST_ONLY,TP,,907.0,
2026-09-08 20:35:00,,2026-09-08 21:00:00,,S20_18_EURUSD,M15,,SELL,,1.1617,,,1.1621,,1.1611,,0.14,,-5.32,,5041.84,,,,False,BACKTEST_ONLY,SL,,-0.0,
2026-09-08 21:35:00,,2026-09-08 23:20:00,,S20_18_USDJPY,M15,,BUY,,153.74,,,153.45,,154.26,,0.14,,47.19,,5089.03,,,,False,BACKTEST_ONLY,TP,,52.0,
2026-09-09 02:50:00,,2026-09-09 04:05:00,,S20_18_XAUUSD,M15,,BUY,,4366.96,,,4356.53,,4385.73,,0.01,,-10.43,,5078.6,,,,False,BACKTEST_ONLY,SL,,-1043.0,
2026-09-09 02:50:00,,2026-09-09 13:50:00,,S20_18_XAGUSD,M15,,BUY,,65.79,,,65.27,,66.73,,0.01,,47.0,,5125.6,,,,False,BACKTEST_ONLY,TP,,94.0,
2026-09-09 02:50:00,,2026-09-09 13:25:00,,S20_18_EURUSD,M15,,BUY,,1.1625,,,1.1619,,1.1636,,0.14,,14.84,,5140.44,,,,False,BACKTEST_ONLY,TP,,0.1,
2026-09-09 08:05:00,,2026-09-09 08:20:00,,S20_18_XAUUSD,M15,,BUY,,4347.16,,,4343.39,,4353.95,,0.01,,-3.77,,5136.67,,,,False,BACKTEST_ONLY,SL,,-377.0,
2026-09-09 08:20:00,,2026-09-09 09:20:00,,S20_18_USDJPY,M15,,BUY,,153.28,,,153.0,,153.78,,0.14,,45.52,,5182.19,,,,False,BACKTEST_ONLY,TP,,50.0,
2026-09-09 14:05:00,,2026-09-09 17:55:00,,S20_18_XAGUSD,M15,,SELL,,66.78,,,67.1,,66.2,,0.01,,29.0,,5211.19,,,,False,BACKTEST_ONLY,TP,,58.0,
2026-09-09 14:20:00,,2026-09-09 15:45:00,,S20_18_EURUSD,M15,,SELL,,1.1642,,,1.1647,,1.1634,,0.14,,-6.58,,5204.61,,,,False,BACKTEST_ONLY,SL,,-0.0,
2026-09-09 14:20:00,,2026-09-09 15:10:00,,S20_18_GBPUSD,M15,,SELL,,1.356,,,1.3565,,1.3552,,0.11,,-5.06,,5199.55,,,,False,BACKTEST_ONLY,SL,,-0.0,
2026-09-09 14:20:00,,2026-09-09 16:30:00,,S20_18_USDJPY,M15,,BUY,,153.01,,,152.69,,153.59,,0.14,,52.87,,5252.42,,,,False,BACKTEST_ONLY,TP,,58.0,
2026-09-09 19:50:00,,2026-09-09 20:05:00,,S20_18_XAUUSD,M15,,SELL,,4411.34,,,4416.51,,4402.03,,0.01,,9.31,,5261.73,,,,False,BACKTEST_ONLY,TP,,931.0,
2026-09-09 19:50:00,,2026-09-09 21:15:00,,S20_18_XAGUSD,M15,,SELL,,66.48,,,66.86,,65.8,,0.01,,-19.0,,5242.73,,,,False,BACKTEST_ONLY,SL,,-38.0,
2026-09-09 19:50:00,,2026-09-09 20:05:00,,S20_18_EURUSD,M15,,SELL,,1.1647,,,1.1651,,1.164,,0.14,,-5.6,,5237.13,,,,False,BACKTEST_ONLY,SL,,-0.0,
2026-09-09 19:50:00,,2026-09-09 20:30:00,,S20_18_GBPUSD,M15,,SELL,,1.3563,,,1.3568,,1.3554,,0.11,,10.12,,5247.25,,,,False,BACKTEST_ONLY,TP,,0.1,
2026-09-09 20:35:00,,2026-09-09 20:35:00,,S20_18_XAUUSD,M15,,BUY,,4392.34,,,4389.54,,4397.38,,0.01,,5.04,,5252.29,,,,False,BACKTEST_ONLY,TP,,504.0,
2026-09-09 21:50:00,,2026-09-09 23:00:00,,S20_18_GBPUSD,M15,,SELL,,1.356,,,1.3564,,1.3554,,0.11,,-3.96,,5248.33,,,,False,BACKTEST_ONLY,SL,,-0.0,
2026-09-09 23:20:00,,2026-09-09 23:30:00,,S20_18_XAUUSD,M15,,BUY,,4382.4,,,4372.0,,4401.12,,0.01,,18.72,,5267.05,,,,False,BACKTEST_ONLY,TP,,1872.0,
2026-09-09 23:20:00,,2026-09-10 00:35:00,,S20_18_XAGUSD,M15,,BUY,,66.77,,,66.33,,67.56,,0.01,,39.5,,5306.55,,,,False,BACKTEST_ONLY,TP,,79.0,
2026-09-09 23:20:00,,2026-09-09 23:35:00,,S20_18_EURUSD,M15,,BUY,,1.1622,,,1.1617,,1.1629,,0.14,,10.64,,5317.19,,,,False,BACKTEST_ONLY,TP,,0.1,
2026-09-09 23:20:00,,2026-09-09 23:35:00,,S20_18_GBPUSD,M15,,BUY,,1.3537,,,1.3532,,1.3548,,0.11,,11.44,,5328.63,,,,False,BACKTEST_ONLY,TP,,0.1,
2026-09-10 05:05:00,,2026-09-10 06:00:00,,S20_18_GBPUSD,M15,,BUY,,1.3536,,,1.353,,1.3548,,0.11,,12.65,,5341.28,,,,False,BACKTEST_ONLY,TP,,0.1,
2026-09-10 05:40:00,,2026-09-10 18:35:00,,S20_18_USDJPY,M15,,BUY,,153.49,,,153.23,,153.96,,0.14,,42.74,,5384.02,,,,False,BACKTEST_ONLY,TP,,47.0,
2026-09-10 08:05:00,,2026-09-10 08:15:00,,S20_18_XAUUSD,M15,,BUY,,4391.93,,,4388.72,,4397.71,,0.01,,5.78,,5389.8,,,,False,BACKTEST_ONLY,TP,,578.0,
2026-09-10 08:05:00,,2026-09-10 09:55:00,,S20_18_EURUSD,M15,,BUY,,1.1632,,,1.1628,,1.1639,,0.14,,9.52,,5399.32,,,,False,BACKTEST_ONLY,TP,,0.1,
2026-09-10 08:05:00,,2026-09-10 09:50:00,,S20_18_GBPUSD,M15,,BUY,,1.3546,,,1.3543,,1.3553,,0.11,,7.15,,5406.47,,,,False,BACKTEST_ONLY,TP,,0.1,
2026-09-10 08:50:00,,2026-09-10 09:00:00,,S20_18_XAUUSD,M15,,SELL,,4402.96,,,4405.91,,4397.65,,0.01,,-2.95,,5403.52,,,,False,BACKTEST_ONLY,SL,,-295.0,
2026-09-10 09:05:00,,2026-09-10 14:00:00,,S20_18_XAGUSD,M15,,SELL,,67.55,,,67.93,,66.87,,0.01,,-19.0,,5384.52,,,,False,BACKTEST_ONLY,SL,,-38.0,
2026-09-10 14:50:00,,2026-09-10 17:30:00,,S20_18_EURUSD,M15,,BUY,,1.1637,,,1.1634,,1.1643,,0.14,,-4.76,,5379.76,,,,False,BACKTEST_ONLY,SL,,-0.0,
2026-09-10 15:35:00,,2026-09-10 15:50:00,,S20_18_XAUUSD,M15,,BUY,,4406.32,,,4402.35,,4413.47,,0.01,,7.15,,5386.91,,,,False,BACKTEST_ONLY,TP,,715.0,
2026-09-10 15:35:00,,2026-09-10 16:40:00,,S20_18_XAGUSD,M15,,BUY,,67.16,,,66.83,,67.75,,0.01,,-16.5,,5370.41,,,,False,BACKTEST_ONLY,SL,,-33.0,
2026-09-10 19:05:00,,2026-09-10 20:20:00,,S20_18_XAGUSD,M15,,BUY,,65.67,,,65.36,,66.23,,0.01,,-15.5,,5354.91,,,,False,BACKTEST_ONLY,SL,,-31.0,
2026-09-10 20:05:00,,2026-09-10 20:15:00,,S20_18_XAUUSD,M15,,BUY,,4372.32,,,4368.31,,4379.54,,0.01,,-4.01,,5350.9,,,,False,BACKTEST_ONLY,SL,,-401.0,
2026-09-10 20:20:00,,2026-09-10 20:30:00,,S20_18_USDJPY,M15,,SELL,,154.35,,,154.62,,153.86,,0.14,,-24.45,,5326.45,,,,False,BACKTEST_ONLY,SL,,-27.0,
2026-09-10 20:30:00,,2026-09-10 20:30:00,,S20_18_GBPUSD,M15,,BUY,,1.3517,,,1.3511,,1.3527,,0.11,,-6.38,,5320.07,,,,False,BACKTEST_ONLY,SL,,-0.1,
2026-09-10 20:35:00,,2026-09-10 22:05:00,,S20_18_USDJPY,M15,,SELL,,154.54,,,154.92,,153.86,,0.14,,61.87,,5381.94,,,,False,BACKTEST_ONLY,TP,,68.0,
