SIM_Open_Time,MT5_Open_Time,SIM_Close_Time,MT5_Close_Time,SIM_Leg,SIM_TF,MT5_TF,SIM_Type,MT5_Type,SIM_Entry,MT5_Entry,MT5_Close_Price,SIM_SL,MT5_SL,SIM_TP,MT5_TP,SIM_Lot,MT5_Volume,SIM_P&L,MT5_P&L,SIM_Balance,MT5_Balance,MT5_Comment,MT5_Position_ID,Matched,Match_Detail,SIM_Reason,MT5_Reason,Sim_point,MT5_point
,2026-09-14 23:05:41,,2026-09-14 23:05:41,,,M1,,SELL,,4280.2,4280.5,,4280.5,,4276.86,,0.01,,-0.3,,4999.7,M1_S20.18,585671549,False,MT5_ONLY,No matching backtest signal found,[sl 4280.50],,-30.0
,2026-09-14 23:28:37,,2026-09-14 23:32:31,,,M15,,SELL,,4283.06,4288.94,,4288.94,,4272.42,,0.01,,-5.88,,4993.82,M15_S20.18,585680766,False,MT5_ONLY,No matching backtest signal found,[sl 4288.94],,-588.0
,2026-09-14 23:28:38,,2026-09-14 23:32:28,,,M5,,SELL,,4283.36,4287.9,,4287.9,,4275.08,,0.01,,-4.54,,4989.28,M5_S20.18,585677722,False,MT5_ONLY,No matching backtest signal found,[sl 4287.90],,-454.0
,2026-09-15 00:53:16,,2026-09-15 01:00:09,,,M1,,SELL,,4316.94,4314.67,,4318.2,,4314.67,,0.01,,2.27,,4991.55,M1_S20.18,585723064,False,MT5_ONLY,No matching backtest signal found,[tp 4314.67],,227.0
,2026-09-15 10:59:34,,2026-09-15 11:48:33,,,M15,,SELL,,4314.41,4306.45,,4318.8,,4306.45,,0.01,,7.96,,4999.51,M15_S20.18,585815579,False,MT5_ONLY,No matching backtest signal found,[tp 4306.45],,796.0
,2026-09-15 11:46:21,,2026-09-15 11:46:37,,,M1,,BUY,,4308.35,4309.35,,4307.89,,4309.35,,0.01,,1.0,,5000.51,M1_S20.18,585828975,False,MT5_ONLY,No matching backtest signal found,[tp 4309.35],,100.0
,2026-09-15 13:36:36,,2026-09-15 13:37:16,,,M1,,BUY,,4293.87,4293.02,,4293.02,,4295.51,,0.01,,-0.85,,4999.66,M1_S20.18,585859466,False,MT5_ONLY,No matching backtest signal found,[sl 4293.02],,-85.0
,2026-09-15 13:56:12,,2026-09-15 13:59:00,,,M5,,BUY,,4292.94,4291.22,,4291.22,,4296.15,,0.01,,-1.72,,4997.94,M5_S20.18,585861023,False,MT5_ONLY,No matching backtest signal found,[sl 4291.22],,-172.0
,2026-09-15 14:25:46,,2026-09-15 14:45:35,,,M15,,BUY,,4287.88,4293.58,,4284.93,,4293.58,,0.01,,5.7,,5003.64,M15_S20.18,585876754,False,MT5_ONLY,No matching backtest signal found,[tp 4293.58],,570.0
,2026-09-15 14:27:31,,2026-09-15 14:39:50,,,M5,,BUY,,4287.42,4291.22,,4285.4,,4291.22,,0.01,,3.8,,5007.44,M5_S20.18,585875162,False,MT5_ONLY,No matching backtest signal found,[tp 4291.22],,380.0
,2026-09-15 14:50:43,,2026-09-15 14:57:29,,,M1,,SELL,,4293.36,4294.72,,4294.72,,4290.6,,0.01,,-1.36,,5006.08,M1_S20.18,585883558,False,MT5_ONLY,No matching backtest signal found,[sl 4294.72],,-136.0
