Time (BKK),Close Time,Leg,TF,Type,Entry,Exit,Lot,P&L,Outcome
2026-09-14 23:04:04,2026-09-14 23:04:11,M1_S20.304,M1,BUY,4276.17,4275.57,0.01,-0.6,SL
2026-09-14 23:04:32,2026-09-14 23:04:54,M15_S20.304,M15,BUY,4274.25,4273.38,0.01,-0.87,SL
2026-09-14 23:05:40,2026-09-14 23:05:40,M5_S20.304,M5,BUY,154.627,154.609,0.14,-1.63,SL
2026-09-14 23:05:41,2026-09-14 23:05:41,M1_S20.304,M1,SELL,4280.2,4280.46,0.01,-0.26,SL
2026-09-14 23:09:35,2026-09-14 23:09:51,M1_S20.304,M1,BUY,4280.92,4280.1,0.01,-0.82,SL
2026-09-14 23:10:48,2026-09-14 23:11:24,M1_S20.304,M1,SELL,4282.97,4280.93,0.01,2.04,TP
2026-09-14 23:24:55,2026-09-14 23:25:07,M5_S20.304,M5,BUY,154.553,154.531,0.14,-1.99,SL
2026-09-14 23:28:36,2026-09-14 23:28:38,M1_S20.304,M1,SELL,4282.75,4283.41,0.01,-0.66,SL
2026-09-14 23:28:36,2026-09-14 23:28:51,M5_S20.304,M5,SELL,4282.75,4284.33,0.01,-1.58,SL
2026-09-14 23:25:07,2026-09-14 23:30:04,M5_S20.304,M5,BUY,154.537,154.559,0.14,1.99,TP
2026-09-14 23:30:51,2026-09-14 23:31:14,M1_S20.304,M1,SELL,4286.12,4284.54,0.01,1.58,TP
2026-09-14 23:30:50,2026-09-14 23:32:28,M5_S20.304,M5,SELL,4286.06,4287.8,0.01,-1.74,SL
2026-09-14 23:32:28,2026-09-14 23:32:30,M5_S20.304,M5,SELL,63.255,63.287,0.01,-1.6,SL
2026-09-14 23:30:50,2026-09-14 23:32:31,M15_S20.304,M15,SELL,4286.06,4288.77,0.01,-2.71,SL
2026-09-14 23:45:08,2026-09-14 23:45:14,M1_S20.304,M1,BUY,4293.57,4292.76,0.01,-0.81,SL
2026-09-15 00:11:45,2026-09-15 00:12:25,M1_S20.304,M1,SELL,4297.66,4296.01,0.01,1.65,TP
2026-09-15 00:15:43,2026-09-15 00:16:24,M1_S20.304,M1,SELL,4297.59,4298.13,0.01,-0.54,SL
2026-09-15 00:18:21,2026-09-15 00:18:58,M1_S20.304,M1,SELL,4298.04,4298.56,0.01,-0.52,SL
2026-09-15 00:18:22,2026-09-15 00:19:35,M1_S20.304,M1,SELL,4298.18,4298.97,0.01,-0.79,SL
2026-09-15 00:40:48,2026-09-15 00:40:49,M1_S20.304,M1,SELL,4303.76,4304.31,0.01,-0.55,SL
2026-09-15 00:51:40,2026-09-15 00:51:50,M1_S20.304,M1,SELL,4314.78,4315.33,0.01,-0.55,SL
2026-09-15 01:01:33,2026-09-15 01:02:39,M1_S20.304,M1,BUY,4312.91,4314.7,0.01,1.79,TP
2026-09-15 01:14:29,2026-09-15 01:15:04,M1_S20.304,M1,BUY,4311.74,4311.04,0.01,-0.7,SL
2026-09-15 01:18:27,2026-09-15 01:18:33,M1_S20.304,M1,BUY,4309.97,4309.3,0.01,-0.67,SL
2026-09-15 02:21:47,2026-09-15 02:22:07,M1_S20.304,M1,BUY,4310.84,4310.5,0.01,-0.34,SL
2026-09-15 03:46:22,2026-09-15 03:47:05,M1_S20.304,M1,BUY,4290.42,4290.06,0.01,-0.36,SL
2026-09-15 03:59:37,2026-09-15 04:01:52,M1_S20.304,M1,BUY,4283.14,4282.4,0.01,-0.74,SL
2026-09-15 07:32:53,2026-09-15 07:32:53,M5_S20.304,M5,SELL,154.433,154.445,0.14,-1.09,SL
2026-09-15 10:34:29,2026-09-15 10:37:59,M5_S20.304,M5,SELL,4311.28,4312.8,0.01,-1.52,SL
2026-09-15 10:58:20,2026-09-15 10:59:08,M5_S20.304,M5,BUY,154.813,154.795,0.14,-1.63,SL
