Order,Type,User_Pattern_1,User_TF_1,User_Pattern_2,User_TF_2,User_Pattern_3,User_TF_3,Bot_Found_Pattern,Match_Status,User_TF,Bot_TF,Bot_PnL,User_Time,Bot_Time,Time_Diff_Hrs,User_Entry,Bot_Entry,Price_Diff,User_SL,Bot_SL,User_TP,Bot_TP,Outcome
1,SELL,ATR,D1,,,,,Naiya,No Match,D1,M30,59112.0,2026-01-29 13:00,2026-01-29 12:00,-1.0,5590.0,5514.1,75.9,5604.0,5573.21,3058.0,5218.54,TP
2,BUY,Inst_Gap,H1,,,,,Inst_Gap,Match,H1,H1,97686.0,2026-02-06 07:00,2026-02-05 22:00,-9.0,4658.0,4658.73,0.73,4648.0,4617.46,5407.0,5278.4,TP
3,SELL,Fibo,H1,Div,H1,,,Fibo,Match,H1,H1,37038.0,2026-02-11 18:00,2026-02-11 18:00,0.0,5116.0,5085.52,30.48,5128.0,5162.47,4849.0,4900.33,TP
4,BUY,Fibo,H1,,,,,Fibo,Match,H1,H1,-14494.0,2026-02-17 21:00,2026-02-17 14:00,-7.0,4849.0,4925.92,76.92,4833.0,4853.45,5407.0,5160.76,SL
5,SELL,ATR,D1,Fibo,H1,,,Fibo,Match,D1,H1,57940.0,2026-03-02 15:00,2026-03-02 18:00,3.0,5417.0,5314.28,102.72,5435.0,5395.79,3058.0,5024.58,TP
6,SELL,Fibo,M30,FVG,D1,,,Fibo,Match,D1,M15,25160.0,2026-03-10 22:00,2026-03-10 20:15,-1.75,5238.0,5206.9,31.1,5249.0,5241.12,4405.0,5081.1,TP
7,BUY,นัยยะ,H1,,,,,Naiya Hidden,Match,H1,H1,26256.0,2026-04-07 21:00,2026-04-07 16:00,-5.0,4607.0,4610.62,3.62,4601.0,4548.68,4879.0,4747.89,TP
8,BUY,Fibo  3,M15,1,H1,,,Fibo,Match,M15,M15,27180.0,2026-04-13 05:00,2026-04-13 05:45,0.75,4644.0,4719.77,75.77,4639.0,4690.46,4879.0,4855.67,TP
9,BUY,กินไส้ + นัยยะ Doji,H1,,,,,Naiya_Sweep_Far,Match,H1,H1,16348.0,2026-04-17 08:00,2026-04-16 15:00,-17.0,4772.0,4775.0,3.0,4765.0,4744.4,4879.0,4868.84,TP
10,SELL,ATR,D1,,,,,ATR,Match,D1,M15,-4928.0,2026-04-17 20:00,2026-04-17 06:30,-13.5,4887.0,4801.2,85.8,4891.0,4825.84,3850.0,4747.03,SL
11,SELL,นัยยะ,H1,Doji,H1,,,Naiya,Match,H1,H1,-9076.0,2026-04-23 22:00,2026-04-24 13:00,15.0,4739.0,4699.45,39.55,4745.0,4744.83,4557.0,4472.56,SL
12,SELL,Fibo,M15,,,,,Fibo,Match,M15,M15,12532.0,2026-05-01 21:00,2026-05-01 22:15,1.25,4656.0,4616.3,39.7,4662.0,4635.53,4506.0,4553.64,TP
13,SELL,Doji Fibo,H1,,,,,Fibo,Match,H1,H1,21866.0,2026-05-08 21:00,2026-05-08 19:00,-2.0,4747.0,4721.55,25.45,4752.0,4777.11,4665.0,4612.22,TP
14,SELL,ATR,D1,Div,H1,,,ATR,Match,D1,H1,32548.0,2026-05-12 07:00,2026-05-12 00:00,-7.0,4769.0,4748.57,20.43,4775.0,4799.19,4100.0,4585.83,TP
15,SELL,นัยยะDoji,H1,,,,,Naiya,Match,H1,M30,25000.0,2026-05-14 14:00,2026-05-13 17:30,-20.5,4716.0,4697.44,18.56,4722.0,4722.44,4466.0,4572.44,TP
16,SELL,FVG,D1,กินไส้,H1,,,FVG,Match,D1,M30,16888.0,2026-05-19 20:00,2026-05-19 01:30,-18.5,4587.0,4584.18,2.82,4596.0,4615.57,4456.0,4499.74,TP
17,BUY,ATR,H1,,,,,Div,No Match,H1,H1,-11730.0,2026-05-20 07:00,2026-05-20 04:00,-3.0,4462.0,4464.99,2.99,4454.0,4406.34,4568.0,4617.58,SL
18,SELL,กินไส้,H1,Div,H1,,,FVG,Match,H1,H1,28480.0,2026-05-26 06:00,2026-05-26 01:00,-5.0,4578.0,4579.97,1.97,4580.0,4625.91,4368.0,4437.57,TP
19,SELL,ATR,D1,ราคาลงไป W1,H1,,,ATR,Match,D1,H1,-10368.0,2026-05-29 22:00,2026-05-29 03:00,-19.0,4590.0,4517.29,72.71,4598.0,4569.13,4093.0,4329.94,SL
20,SELL,Fibo  3,M30,1,H1,,,Fibo_S1,Match,M30,M30,15600.0,2026-06-02 14:00,2026-06-02 07:30,-6.5,4539.0,4539.0,0.0,4551.0,4546.28,4282.0,4442.28,TP
21,SELL,นัยยะ  Doji,H1,,,,,Fibo,Match,H1,H1,29368.0,2026-06-04 18:00,2026-06-04 15:00,-3.0,4514.0,4515.0,1.0,4519.0,4564.33,4282.0,4368.16,TP
22,SELL,นัยยะ,D1,FVG,D1,,,FVG,Match,D1,M30,10568.0,2026-06-09 20:00,2026-06-09 15:30,-4.5,4359.0,4351.4,7.6,4369.0,4378.12,4093.0,4298.56,TP
