bt_entry,bt_fill_ts,bt_pnl,bt_reason,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,entry_diff,live_entry,live_fill_ts,live_pnl,live_reason,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_ticket,pnl_diff,status,time_diff_min
4516.69,2026-05-29 13:15:00,-9.16,SL,2.0,3.0,6.0,0.0,1.11,4515.58,2026-05-29 14:00:04,5.87,M15_S14_SS,2.12,3.75,0.0,0.0,SELL,534424304,15.03,MISMATCH,45.07
4523.72,2026-05-29 13:45:00,-5.25,SL,2.0,3.0,6.0,0.0,2.71,4521.01,2026-05-29 14:00:09,11.649999999999999,M15_S14_SS,2.44,3.17,6.04,0.0,SELL,534425004,16.9,MISMATCH,15.15
4515.8,2026-05-29 13:00:00,3.24,EXIT_COLOR,2.0,3.0,0.0,0.0,0.1,4515.7,2026-05-29 14:15:04,5.26,M15_S14_SE,2.02,3.24,0.0,0.0,SELL,534436261,2.02,MISMATCH,75.07
4524.75,2026-05-29 14:45:00,-4.19,SL,2.0,3.0,6.0,0.0,0.45,4525.2,2026-05-29 15:45:04,0.0,OPEN,0.0,0.0,0.0,0.0,SELL,534495990,4.19,MISMATCH,60.07
4524.75,2026-05-29 14:45:00,-6.11,SL,2.0,3.0,6.0,0.0,0.76,4523.99,2026-05-29 16:00:04,12.3,M15_S14_SE,2.45,3.05,6.8,0.0,SELL,534505721,18.41,MISMATCH,75.07
4571.07,2026-05-29 22:45:00,54.33,TP,2.0,3.0,6.0,43.33,1.88,4569.19,2026-05-30 00:45:04,11.780000000000001,M15_S14_SS,2.0,3.25,6.53,0.0,SELL,534996088,-42.55,MISMATCH,120.07
4519.83,2026-06-01 12:30:00,1.84,EXIT_COLOR,2.0,3.0,0.0,0.0,3.31,4523.14,2026-06-01 10:45:02,0.0,OPEN,0.0,0.0,0.0,0.0,BUY,535267136,-1.84,MISMATCH,104.97
4513.97,2026-06-01 13:15:00,-37.32,EXIT_COLOR,0.0,0.0,0.0,0.0,0.78,4514.75,2026-06-01 13:00:02,2.83,M15_S14_BS,2.83,0.0,0.0,0.0,BUY,535329772,40.15,MISMATCH,14.97
4496.01,2026-06-01 16:45:00,-6.37,SL,2.0,3.0,6.0,0.0,2.52,4498.53,2026-06-01 15:45:03,6.07,M15_S14_BE,2.49,3.58,0.0,0.0,BUY,535420331,12.44,MISMATCH,59.95
4462.61,2026-06-03 13:15:00,-4.18,EXIT_COLOR,2.0,0.0,0.0,0.0,0.77,4463.38,2026-06-03 15:00:03,13.579999999999998,M15_S14_BS,3.55,3.56,6.47,0.0,BUY,536778652,17.76,MISMATCH,105.05
4318.8,2026-06-06 02:45:00,39.48,TP,2.0,3.0,6.0,28.48,3.45,4322.25,2026-06-06 03:00:01,0.0,OPEN,0.0,0.0,0.0,0.0,BUY,538762805,-39.48,MISMATCH,15.02
4317.44,2026-06-08 05:45:00,40.84,TP,2.0,3.0,6.0,29.84,1.13,4318.57,2026-06-08 07:00:05,12.11,M15_S14_BSSH4,2.35,3.32,6.44,0.0,BUY,539041521,-28.73,MISMATCH,75.08
,,,,,,,,,4384.72,2026-05-28 20:30:04,14.21,M15_S14_BS,3.48,3.48,7.25,0.0,BUY,533763704,,LIVE_ONLY,
,,,,,,,,,4506.28,2026-05-29 02:15:04,12.030000000000001,M15_S14_SS,2.22,3.6,6.21,0.0,SELL,534202512,,LIVE_ONLY,
,,,,,,,,,4506.31,2026-05-29 09:45:04,7.300000000000001,M15_S14_SE,3.6,3.7,0.0,0.0,SELL,534295319,,LIVE_ONLY,
