bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,close_price_diff,entry_diff,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pnl,live_reason,live_s14_family,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_ticket,live_trail_count,live_trail_path,match_quality,match_score,nearest_bt_entry,nearest_bt_entry_diff,nearest_bt_fill_ts,nearest_bt_reason,nearest_bt_time_diff_min,nearest_live_entry,nearest_live_entry_diff,nearest_live_fill_ts,nearest_live_reason,nearest_live_time_diff_min,pnl_diff,s14_family_mismatch,status,time_diff_min
4509.77,2026-05-29 08:00:00,4493.69,2026-05-29 06:00:00,,,,-16.08,SL,,,,,,SELL,,,,,-14.84,3.58,PNL_DIFF_SAME_BUCKET,4494.93,2026-05-29 06:27:35,,4497.27,M15_S3_G,2026-05-29 06:02:00,,,,9.36,[sl 4494.93],,2.34,2.34,2.34,2.34,SELL,,,,,,,,,534222531,,,LOOSE,23.58,,,,,,,,,,,25.44,False,MISMATCH,2.0
4493.67,2026-05-29 05:00:00,4500.42,2026-05-29 03:15:00,,,,6.75,S1_SWING_EXIT,,,,,,SELL,,,,,7.44,3.26,CLOSE_BUCKET_DIFF,4501.1125,2026-05-29 03:11:50,,4503.68,M15_S2_P2,2026-05-29 03:02:33,,,,10.27,[sl 4501.22],,2.26,3.09,2.46,2.46,SELL,,,,,,,,,534211757,,,LOOSE,127.76,,,,,,,,,,,3.52,False,MISMATCH,12.45
4533.08,2026-05-29 16:45:00,4515.22,2026-05-29 16:00:00,,,,-17.86,SL,,,,,,SELL,,,,,-15.18,4.79,PNL_DIFF_SAME_BUCKET,4517.897499999999,2026-05-29 16:12:49,,4520.01,M15_S1_P2,2026-05-29 15:34:14,,,,8.45,[sl 4519.20],,2.81,4.02,0.81,0.81,SELL,,,,,,,,,534482990,,,LOOSE,262.46,,,,,,,,,,,26.31,False,MISMATCH,25.77
4505.81,2026-06-01 17:30:00,4498.06,2026-06-01 16:30:00,,,,-7.75,S1_SWING_EXIT,,,,,,SELL,,,,,-9.68,1.3,CLOSE_LIFECYCLE_PD,4496.13,2026-06-01 15:55:07,,4496.76,[M5_M15]_S2,2026-06-01 15:55:05,,,,3.0,PD Zone fill che,,0.75,0.75,0.75,0.75,SELL,,,,,,,,,535430453,,,LOOSE,350.47,,,,,,,,,,,10.75,False,MISMATCH,34.92
4539.89,2026-05-29 17:30:00,4516.69,2026-05-29 14:30:00,,,,-23.2,SL,,,,,,SELL,,,,,-25.68,4.76,PNL_DIFF_SAME_BUCKET,4514.21,2026-05-29 13:59:24,,4511.93,M15_S3_R,2026-05-29 13:53:22,,,,-9.12,[sl 4514.21],,-2.28,-2.28,-2.28,-2.28,SELL,,,,,,,,,534412103,,,LOOSE,371.09,,,,,,,,,,,14.08,False,MISMATCH,36.63
4492.34,2026-05-29 06:15:00,4495.63,2026-05-29 05:15:00,,,,3.29,S1_SWING_EXIT,,,,,,SELL,,,,,6.06,3.39,CLOSE_BUCKET_DIFF,4498.4,2026-05-29 04:29:05,,4499.02,M15_S2_P2,2026-05-29 04:17:26,,,,2.48,[sl 4498.95],,2.27,0.07,0.07,0.07,SELL,,,,,,,,,534220111,,,LOOSE,579.06,,,,,,,,,,,-0.81,False,MISMATCH,57.57
4499.58,2026-05-29 02:00:00,4504.76,2026-05-29 01:30:00,,,,-5.18,S1_SWING_EXIT,,,,,,BUY,,,,,4.32,0.25,PNL_DIFF_SAME_BUCKET,4503.9,2026-05-29 02:30:24,,4504.51,M15_S1_P2,2026-05-29 02:30:21,,,,-2.44,PD Zone fill che,,-0.61,-0.61,-0.61,-0.61,BUY,,,,,,,,,534196834,,,LOOSE,603.75,,,,,,,,,,,2.74,False,MISMATCH,60.35
4525.84,2026-06-01 05:00:00,4566.69,2026-05-29 23:30:00,,,,40.85,TP,,,,,,SELL,,,,,39.03,0.03,CLOSE_BUCKET_DIFF,4564.875,2026-05-30 00:54:23,,4566.72,M15_S3_G,2026-05-30 00:31:32,,,,7.38,[sl 4565.83],,2.26,3.34,0.89,0.89,SELL,,,,,,,,,534986526,,,LOOSE,615.36,,,,,,,,,,,-33.47,False,MISMATCH,61.53
4499.29,2026-06-01 14:30:00,4518.82,2026-06-01 11:00:00,,,,19.53,TP,,,,,,SELL,,,,,19.63,0.0,CLOSE_LIFECYCLE_PD,4518.92,2026-06-01 12:01:42,,4518.82,M15_S3_G,2026-06-01 12:01:38,,,,-0.28,PD Zone fill che,,-0.07,-0.07,-0.07,-0.07,SELL,,,,,,,,,535299857,,,LOOSE,616.33,,,,,,,,,,,-19.81,False,MISMATCH,61.63
4497.05,2026-05-29 03:15:00,4499.61,2026-05-29 02:45:00,4497.05,M1,,2.56,SL,,,,,,SELL,,,1,M1 4497.05,-0.11,0.01,PNL_DIFF_SAME_BUCKET,4496.9425,2026-05-29 04:07:35,,4499.62,M15_S3_G_DOJI,2026-05-29 03:46:49,,,,10.71,[sl 4497.05],,2.03,3.54,2.57,2.57,SELL,,,,,,,,,534217418,,,LOOSE,618.18,,,,,,,,,,,8.15,False,MISMATCH,61.82
