bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,gap_reason,nearest_live_entry,nearest_live_entry_diff,nearest_live_fill_ts,nearest_live_reason,nearest_live_time_diff_min,status
4394.67,2026-05-28 15:00:00,4392.68,2026-05-28 14:30:00,,,,1.99,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4395.67,2026-05-28 16:15:00,4392.68,2026-05-28 14:30:00,,,,2.99,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4398.67,2026-05-28 16:15:00,4392.68,2026-05-28 14:30:00,,,,5.99,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4383.06,2026-05-28 18:00:00,4392.68,2026-05-28 14:30:00,,,,-9.62,S13_FLIP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4381.09,2026-05-28 18:30:00,4383.06,2026-05-28 18:00:00,,,,1.97,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4380.09,2026-05-28 19:15:00,4383.06,2026-05-28 18:00:00,,,,2.97,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4427.51,2026-05-28 19:45:00,4383.06,2026-05-28 18:00:00,,,,-44.45,SL,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4427.51,2026-05-28 19:45:00,4383.06,2026-05-28 18:00:00,,,,-44.45,SL,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4434.14,2026-05-28 20:15:00,4432.15,2026-05-28 20:00:00,,,,1.99,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4435.14,2026-05-28 21:00:00,4432.15,2026-05-28 20:00:00,,,,2.99,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4438.14,2026-05-28 21:00:00,4432.15,2026-05-28 20:00:00,,,,5.99,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4496.39,2026-05-29 10:15:00,4432.15,2026-05-28 20:00:00,,,,64.24,S13_FLIP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4514.22,2026-05-29 12:00:00,4496.39,2026-05-29 10:15:00,,,,-17.83,S13_FLIP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4514.22,2026-05-29 12:00:00,4496.39,2026-05-29 10:15:00,,,,-17.83,S13_FLIP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4514.22,2026-05-29 12:00:00,4496.39,2026-05-29 10:15:00,,,,-17.83,S13_FLIP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4514.22,2026-05-29 12:00:00,4496.39,2026-05-29 10:15:00,,,,-17.83,S13_FLIP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4516.05,2026-05-29 13:00:00,4514.22,2026-05-29 12:00:00,,,,1.83,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4517.05,2026-05-29 13:00:00,4514.22,2026-05-29 12:00:00,,,,2.83,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4520.05,2026-05-29 13:00:00,4514.22,2026-05-29 12:00:00,,,,5.83,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4514.17,2026-05-29 19:45:00,4514.22,2026-05-29 12:00:00,,,,-0.05,S13_FLIP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4533.11,2026-05-29 20:45:00,4514.17,2026-05-29 19:45:00,,,,-18.94,S13_FLIP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4533.11,2026-05-29 20:45:00,4514.17,2026-05-29 19:45:00,,,,-18.94,S13_FLIP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4533.11,2026-05-29 20:45:00,4514.17,2026-05-29 19:45:00,,,,-18.94,S13_FLIP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4533.11,2026-05-29 20:45:00,4514.17,2026-05-29 19:45:00,,,,-18.94,S13_FLIP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4535.09,2026-05-29 21:00:00,4533.11,2026-05-29 20:45:00,,,,1.98,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4536.09,2026-05-29 21:00:00,4533.11,2026-05-29 20:45:00,,,,2.98,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4539.09,2026-05-29 21:00:00,4533.11,2026-05-29 20:45:00,,,,5.98,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4554.13,2026-05-30 00:45:00,4533.11,2026-05-29 20:45:00,,,,21.02,S13_FLIP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4552.14,2026-05-30 01:45:00,4554.13,2026-05-30 00:45:00,,,,1.99,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4551.14,2026-05-30 01:45:00,4554.13,2026-05-30 00:45:00,,,,2.99,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4548.14,2026-05-30 02:45:00,4554.13,2026-05-30 00:45:00,,,,5.99,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4470.65,2026-06-01 20:15:00,4554.13,2026-05-30 00:45:00,,,,83.48,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4482.1,2026-06-02 00:15:00,4480.07,2026-06-02 00:00:00,,,,2.03,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4483.1,2026-06-02 00:30:00,4480.07,2026-06-02 00:00:00,,,,3.03,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4486.1,2026-06-02 00:30:00,4480.07,2026-06-02 00:00:00,,,,6.03,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4479.85,2026-06-02 08:45:00,4480.07,2026-06-02 00:00:00,,,,-0.22,S13_FLIP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4477.86,2026-06-02 09:00:00,4479.85,2026-06-02 08:45:00,,,,1.99,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4476.86,2026-06-02 09:00:00,4479.85,2026-06-02 08:45:00,,,,2.99,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4473.86,2026-06-02 09:00:00,4479.85,2026-06-02 08:45:00,,,,5.99,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4495.18,2026-06-02 10:30:00,4479.85,2026-06-02 08:45:00,,,,-15.33,S13_FLIP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4497.19,2026-06-02 10:45:00,4495.18,2026-06-02 10:30:00,,,,2.01,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4498.19,2026-06-02 10:45:00,4495.18,2026-06-02 10:30:00,,,,3.01,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4501.19,2026-06-02 11:00:00,4495.18,2026-06-02 10:30:00,,,,6.01,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4514.66,2026-06-02 20:00:00,4495.18,2026-06-02 10:30:00,,,,19.48,S13_FLIP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4512.22,2026-06-02 20:15:00,4514.66,2026-06-02 20:00:00,,,,2.44,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4511.22,2026-06-02 20:15:00,4514.66,2026-06-02 20:00:00,,,,3.44,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4508.22,2026-06-02 20:30:00,4514.66,2026-06-02 20:00:00,,,,6.44,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4483.45,2026-06-03 07:30:00,4514.66,2026-06-02 20:00:00,,,,31.21,S13_FLIP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4485.18,2026-06-03 07:45:00,4483.45,2026-06-03 07:30:00,,,,1.73,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4486.18,2026-06-03 07:45:00,4483.45,2026-06-03 07:30:00,,,,2.73,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4489.18,2026-06-03 07:45:00,4483.45,2026-06-03 07:30:00,,,,5.73,TP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4471.34,2026-06-03 08:15:00,4483.45,2026-06-03 07:30:00,,,,-12.11,S13_FLIP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4469.32,2026-06-03 08:30:00,4471.34,2026-06-03 08:15:00,,,,2.02,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4468.32,2026-06-03 08:30:00,4471.34,2026-06-03 08:15:00,,,,3.02,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4465.32,2026-06-03 08:30:00,4471.34,2026-06-03 08:15:00,,,,6.02,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4486.86,2026-06-03 11:15:00,4471.34,2026-06-03 08:15:00,,,,-15.52,S13_FLIP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4469.51,2026-06-03 12:00:00,4486.86,2026-06-03 11:15:00,,,,-17.35,S13_FLIP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4469.51,2026-06-03 12:00:00,4486.86,2026-06-03 11:15:00,,,,-17.35,S13_FLIP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4469.51,2026-06-03 12:00:00,4486.86,2026-06-03 11:15:00,,,,-17.35,S13_FLIP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4469.51,2026-06-03 12:00:00,4486.86,2026-06-03 11:15:00,,,,-17.35,S13_FLIP,,,,,,BUY,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4467.5,2026-06-03 12:15:00,4469.51,2026-06-03 12:00:00,,,,2.01,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4466.5,2026-06-03 12:15:00,4469.51,2026-06-03 12:00:00,,,,3.01,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4463.5,2026-06-03 12:30:00,4469.51,2026-06-03 12:00:00,,,,6.01,TP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
4463.07,2026-06-03 17:15:00,4469.51,2026-06-03 12:00:00,,,,6.44,S13_FLIP,,,,,,SELL,,,,,NO_SAME_SIDE_CANDIDATE,,,,,,BACKTEST_ONLY
