group,reason,side,count,pnl,first_ts,last_ts
live,[sl 4499.44],BUY,2,32.5,2026-06-01 15:50:03,2026-06-01 15:55:03
live,[sl 4515.83],SELL,2,22.2,2026-05-29 14:00:04,2026-05-29 14:00:09
live,Fill Trend Reche,BUY,1,-6.92,2026-06-06 04:00:01,2026-06-06 04:00:01
live,MT5_CLOSE,BUY,1,0.24,2026-06-06 00:07:46,2026-06-06 00:07:46
live,PD Zone fill che,SELL,1,1.08,2026-06-02 20:45:02,2026-06-02 20:45:02
live,SL Guard Group a,BUY,1,-25.0,2026-06-03 16:45:03,2026-06-03 16:45:03
live,[sl 4341.40],BUY,1,34.94,2026-06-08 07:00:05,2026-06-08 07:00:05
live,[sl 4398.43],BUY,1,27.92,2026-05-28 20:30:04,2026-05-28 20:30:04
live,[sl 4488.85],SELL,1,0.38,2026-06-02 11:15:01,2026-06-02 11:15:01
live,[sl 4491.90],BUY,1,-17.12,2026-06-01 16:15:02,2026-06-01 16:15:02
live,[sl 4500.32],BUY,1,9.45,2026-06-01 17:45:02,2026-06-01 17:45:02
live,[sl 4513.70],SELL,1,12.71,2026-05-29 14:30:04,2026-05-29 14:30:04
live,[sl 4514.83],SELL,1,7.0,2026-05-29 14:15:04,2026-05-29 14:15:04
live,[sl 4519.20],SELL,1,17.09,2026-05-29 16:00:04,2026-05-29 16:00:04
live,[sl 4522.04],BUY,1,-4.4,2026-06-01 10:45:02,2026-06-01 10:45:02
live,[sl 4525.07],SELL,1,0.52,2026-05-29 15:45:04,2026-05-29 15:45:04
live,[sl 4532.56],SELL,1,18.14,2026-05-29 22:00:04,2026-05-29 22:00:04
live,[sl 4535.51],SELL,1,-8.24,2026-06-02 14:30:03,2026-06-02 14:30:03
live,[sl 4536.74],SELL,1,-8.2,2026-06-02 15:04:16,2026-06-02 15:04:16
live,[sl 4565.67],SELL,1,-1.08,2026-05-30 00:55:04,2026-05-30 00:55:04
bt,SL,BUY,29,-35.05,2026-05-29 03:45:00,2026-06-08 08:30:00
bt,SL,SELL,21,92.09,2026-05-28 19:45:00,2026-06-05 18:45:00
bt,EXIT_COLOR,BUY,1,-0.2,2026-06-05 07:45:00,2026-06-05 07:45:00
bt,S14_FLIP,BUY,1,41.07,2026-05-28 19:30:00,2026-05-28 19:30:00
bt,TP,SELL,1,39.47,2026-06-05 19:15:00,2026-06-05 19:15:00
live_mismatch,SL Guard Group a,BUY,2,-0.11,,
live_mismatch,PD Zone fill che,SELL,1,-15.75,,
live_mismatch,[sl 4481.74],BUY,1,-7.25,,
live_mismatch,[sl 4493.25],BUY,1,-3.96,,
live_mismatch,[sl 4499.44],BUY,1,17.61,,
live_mismatch,[sl 4501.43],SELL,1,26.2,,
live_mismatch,[sl 4504.39],SELL,1,12.38,,
live_mismatch,[sl 4515.83],BUY,1,-4.19,,
live_mismatch,[sl 4565.83],SELL,1,11.1,,
live_gap,LIVE_SIGNAL_NOT_REPLAYED:NEAREST_ALREADY_MATCHED_OR_GREEDY,SELL,8,-12.57,2026-05-30 00:55:04,2026-06-06 04:00:01
live_gap,LIVE_SIGNAL_NOT_REPLAYED:TIME_TOO_FAR+ENTRY_TOO_FAR,SELL,8,43.08,2026-05-29 14:00:04,2026-06-02 15:04:16
live_gap,LIVE_SIGNAL_NOT_REPLAYED:ENTRY_TOO_FAR,BUY,4,81.24,2026-05-28 20:30:04,2026-06-08 07:00:05
live_gap,LIVE_SIGNAL_NOT_REPLAYED:TIME_TOO_FAR,SELL,1,0.38,2026-06-02 11:15:01,2026-06-02 11:15:01
live_gap,LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:NEAREST_ALREADY_MATCHED_OR_GREEDY,SELL,1,1.08,2026-06-02 20:45:02,2026-06-02 20:45:02
bt_gap,BT_SIGNAL_NO_LIVE_FILL:TIME_TOO_FAR+ENTRY_TOO_FAR,SELL,41,167.34,2026-05-28 19:45:00,2026-06-05 19:45:00
bt_gap,BT_SIGNAL_NO_LIVE_FILL:ENTRY_TOO_FAR,BUY,7,-20.83,2026-05-28 19:30:00,2026-06-08 08:30:00
bt_gap,BT_SIGNAL_NO_LIVE_FILL:NEAREST_ALREADY_MATCHED_OR_GREEDY,BUY,4,-23.08,2026-06-02 05:30:00,2026-06-06 02:15:00
bt_gap,BT_SIGNAL_NO_LIVE_FILL:TIME_TOO_FAR,SELL,1,13.95,2026-06-02 07:30:00,2026-06-02 07:30:00
