group,reason,side,count,pnl,first_ts,last_ts
live,SL Guard Group a,SELL,1,1.86,2026-06-03 01:50:36,2026-06-03 01:50:36
bt,SL,BUY,3,-42.87,2026-06-05 09:30:00,2026-06-05 19:15:00
bt,SL,SELL,1,-9.62,2026-06-04 16:45:00,2026-06-04 16:45:00
bt,TP,SELL,1,15.65,2026-06-01 06:15:00,2026-06-01 06:15:00
live_mismatch,[tp 4466.28],SELL,1,9.46,,
live_gap,TIME_TOO_FAR+ENTRY_TOO_FAR,SELL,1,1.86,2026-06-03 01:50:36,2026-06-03 01:50:36
bt_gap,NO_SAME_SIDE_CANDIDATE,BUY,3,-42.87,2026-06-05 09:30:00,2026-06-05 19:15:00
bt_gap,TIME_TOO_FAR+ENTRY_TOO_FAR,SELL,2,6.03,2026-06-01 06:15:00,2026-06-04 16:45:00
mismatch_gap,PNL_DIFF_SAME_BUCKET,SELL,1,9.46,2026-06-05 03:58:57,2026-06-05 03:58:57
live_entry_comment,M15_S15_POC,SELL,1,1.86,2026-06-03 01:50:36,2026-06-03 01:50:36
mismatch_entry_comment,M15_S15_VAH,SELL,1,9.46,2026-06-05 03:58:57,2026-06-05 03:58:57
