bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,close_price_diff,entry_diff,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pnl,live_reason,live_s14_family,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_ticket,live_trail_count,live_trail_path,match_quality,match_score,nearest_bt_entry,nearest_bt_entry_diff,nearest_bt_fill_ts,nearest_bt_reason,nearest_bt_time_diff_min,nearest_live_entry,nearest_live_entry_diff,nearest_live_fill_ts,nearest_live_reason,nearest_live_time_diff_min,pnl_diff,s14_family_mismatch,status,time_diff_min
4380.83,2026-05-28 17:49:00,4386.33,2026-05-28 14:30:00,,,,-5.5,SL_GUARD_CLOSE,,,,,,BUY,,,,,4.31,1.07,CLOSE_LIFECYCLE_SL_GUARD,4385.14,2026-05-28 14:06:01,,4387.4,[M15_M30]_S2,2026-05-28 14:00:26,,,,-9.04,[sl 4385.14],,-2.26,-2.26,-2.26,-2.26,BUY,,,,,,,,,533469126,,,NEAR,296.74,,,,,,,,,,,-3.54,False,MISMATCH,29.57
4517.4,2026-05-29 20:30:00,4534.52,2026-05-29 19:00:00,4517.4,M1,,17.12,SL,,,,,,SELL,,,1,M1 4517.40,13.18,0.05,PNL_DIFF_SAME_BUCKET,4530.5775,2026-05-29 20:09:35,,4534.57,M15_S2_P1,2026-05-29 19:53:58,,,,15.97,[sl 4530.65],,2.38,3.62,6.05,3.92,SELL,,,,,,,,,534643103,,,LOOSE,539.72,,,,,,,,,,,-1.15,False,MISMATCH,53.97
4506.16,2026-06-01 13:20:00,4517.53,2026-06-01 12:30:00,,,,-11.37,SL_GUARD_CLOSE,,,,,,BUY,,,,,12.93,1.85,LOOSE_MATCH_SL_GUARD,4519.092500000001,2026-06-01 13:41:42,,4515.68,[M5_M15]_S2,2026-06-01 13:32:20,,,,13.69,[sl 4517.42],,2.18,3.51,6.25,1.75,BUY,,,,,,,,,535341125,,,LOOSE,625.18,,,,,,,,,,,25.06,False,MISMATCH,62.33
,,,,,,,,,,,,,,,,,,,,,ENTRY_TOO_FAR,4420.57,2026-05-28 09:40:55,,4426.11,[M15_H1]_S2,2026-05-28 09:25:43,,,,-22.16,[sl 4420.57],,-5.54,-5.54,-5.54,-5.54,BUY,,,,,,,,,532987481,,,,,4439.84,13.73,2026-05-28 08:00:00,SL,85.72,,,,,,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:TIME_TOO_FAR+ENTRY_TOO_FAR,4389.42,2026-05-28 19:05:04,,4389.2,[M5_M15]_S2,2026-05-28 19:05:03,,,,-0.88,PD Zone fill che,,-0.22,-0.22,-0.22,-0.22,SELL,,,,,,,,,533702297,,,,,4534.52,145.32,2026-05-29 19:00:00,SL,1434.95,,,,,,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:TIME_TOO_FAR+ENTRY_TOO_FAR,4441.902499999999,2026-05-28 22:40:09,,4440.51,[M5_M15]_S2,2026-05-28 22:09:30,,,,-5.57,PD Zone fill rou,,1.94,3.42,7.27,-18.2,SELL,,,,,,,,,533235372,,,,,4534.52,94.01,2026-05-29 19:00:00,SL,1250.5,,,,,,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,4445.785,2026-05-28 22:45:14,,4440.63,M15_S2_P1,2026-05-28 22:09:30,,,,-20.619999999999997,[sl 4474.39],,2.07,3.69,7.38,-33.76,SELL,,,,,,,,,533239894,,,,,4534.52,93.89,2026-05-29 19:00:00,SL,1250.5,,,,,,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,4466.74,2026-05-28 22:49:24,,4477.57,[M1_M5_M15]_S2,2026-05-28 22:46:05,,,,43.32,[tp 4466.74],,10.83,10.83,10.83,10.83,SELL,,,,,,,,,532607893,,,,,4534.52,56.95,2026-05-29 19:00:00,SL,1213.92,,,,,,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,4501.1125,2026-05-29 03:11:50,,4503.68,M15_S2_P2,2026-05-29 03:02:33,,,,10.27,[sl 4501.22],,2.26,3.09,2.46,2.46,SELL,,,,,,,,,534211757,,,,,4534.52,30.84,2026-05-29 19:00:00,SL,957.45,,,,,,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,4498.4,2026-05-29 04:29:05,,4499.02,M15_S2_P2,2026-05-29 04:17:26,,,,2.48,[sl 4498.95],,2.27,0.07,0.07,0.07,SELL,,,,,,,,,534220111,,,,,4534.52,35.5,2026-05-29 19:00:00,SL,882.57,,,,,,,,LIVE_ONLY,
