bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pd_fallback_used,bt_pd_fib_382,bt_pd_fib_618,bt_pd_fill_h,bt_pd_fill_l,bt_pd_h,bt_pd_l,bt_pd_outside_range,bt_pd_pending_h,bt_pd_pending_l,bt_pd_pending_round2_changed,bt_pd_pending_round2_h,bt_pd_pending_round2_l,bt_pd_round2_changed,bt_pd_round2_h,bt_pd_round2_l,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,close_price_diff,entry_diff,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pnl,live_reason,live_s14_family,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_ticket,live_trail_count,live_trail_path,match_quality,match_score,nearest_bt_entry,nearest_bt_entry_diff,nearest_bt_fill_ts,nearest_bt_reason,nearest_bt_time_diff_min,nearest_live_entry,nearest_live_entry_diff,nearest_live_fill_ts,nearest_live_reason,nearest_live_time_diff_min,nearest_raw_replay_cancel_age_bars,nearest_raw_replay_cancel_bar_high,nearest_raw_replay_cancel_bar_low,nearest_raw_replay_cancel_bar_touched_entry,nearest_raw_replay_cancel_bars,nearest_raw_replay_cancel_reason,nearest_raw_replay_close_type,nearest_raw_replay_detect_time_raw,nearest_raw_replay_entry,nearest_raw_replay_entry_diff,nearest_raw_replay_entry_ts,nearest_raw_replay_final_gap_bot,nearest_raw_replay_final_gap_top,nearest_raw_replay_gap_bot,nearest_raw_replay_gap_top,nearest_raw_replay_parallel_tfs,nearest_raw_replay_pattern,nearest_raw_replay_pd_fallback_used,nearest_raw_replay_pd_fib_382,nearest_raw_replay_pd_fib_618,nearest_raw_replay_pd_h,nearest_raw_replay_pd_l,nearest_raw_replay_pd_outside_range,nearest_raw_replay_sl_guard_count,nearest_raw_replay_sl_guard_key,nearest_raw_replay_sl_guard_scope,nearest_raw_replay_sl_guard_since,nearest_raw_replay_sl_guard_swing_ref,nearest_raw_replay_sweep_scan_age_min,nearest_raw_replay_sweep_scan_expiry_min,nearest_raw_replay_sweep_scan_price,nearest_raw_replay_sweep_scan_state,nearest_raw_replay_sweep_scan_tf,nearest_raw_replay_sweep_scan_time,nearest_raw_replay_sweep_scan_ts,nearest_raw_replay_tf,nearest_raw_replay_time_diff_min,pnl_diff,s14_family_mismatch,status,time_diff_min
4389.36,2026-05-28 15:05:00,4389.13,2026-05-28 15:00:00,4389.36,M1,,False,4382.68,4387.87,4396.27,4374.28,4396.27,4374.28,False,4396.27,4374.28,,,,,,,-0.23,SL,,,,,,SELL,,,1,M1 4389.36,-1.75,2.1,PNL_DIFF_SAME_BUCKET,4387.61,2026-05-28 15:04:08,,4387.03,M1_S3_G,2026-05-28 15:00:08,,,,-2.32,[sl 4387.61],,-0.58,-0.58,-0.58,-0.58,SELL,,,,,,,,,533473762,,,NEAR,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.09,False,MISMATCH,0.13
4536.29,2026-06-01 07:34:00,4540.64,2026-06-01 07:32:00,,,,False,4540.96,4542.88,4545.99,4537.85,4545.99,4537.85,False,4545.99,4537.85,,,,,,,-4.35,SL,,,,,,BUY,,,,,7.95,4.02,CLOSE_LIFECYCLE_PD,4544.24,2026-06-01 07:31:52,,4544.66,M1_S3_G,2026-06-01 07:31:49,,,,-1.6400000000000001,PD Zone fill che,,-0.41,-0.41,-0.41,-0.41,BUY,,,,,,,,,535198727,,,LOOSE,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,False,MISMATCH,0.18
4543.24,2026-06-01 07:25:00,4540.83,2026-06-01 07:20:00,,,,False,4529.46,4535.69,4545.78,4519.37,4545.78,4519.37,False,4545.78,4519.37,,,,L,4545.78,4537.5,-2.41,PD_FILL_FAIL,,,,,,SELL,,,,,-0.41,2.32,CLOSE_LIFECYCLE_PD,4542.8275,2026-06-01 07:25:34,,4543.15,M1_S3_R,2026-06-01 07:20:34,,,,2.9699999999999998,[sl 4543.31],,2.19,0.26,0.26,0.26,SELL,,,,,,,,,535196719,,,NEAR,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38,False,MISMATCH,0.57
4487.63,2026-06-03 01:50:00,4485.97,2026-06-03 01:05:00,,,,False,4486.3,4488.89,4493.07,4482.12,4493.07,4482.12,False,4493.07,4482.12,,,,H,4490.95,4482.12,1.66,PD_FILL_FAIL,,,,,,BUY,,,,,-0.3,4.42,CLOSE_LIFECYCLE_PD,4487.33,2026-06-03 01:09:39,,4490.39,M1_S3_R_DOJI,2026-06-03 01:04:10,,,,-12.2,[sl 4487.33],,-3.05,-3.05,-3.05,-3.05,BUY,,,,,,,,,536508382,,,LOOSE,12.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.86,False,MISMATCH,0.83
4529.31,2026-05-29 19:20:00,4529.44,2026-05-29 19:12:00,4529.31,M1,,False,4532.03,4534.69,4539.01,4527.71,4539.01,4527.71,False,4539.01,4527.71,,,,L,4539.01,4527.03,-0.13,SL,,,,,,BUY,,,1,M1 4529.31,1.95,1.6,CLOSE_LIFECYCLE_PD,4531.26,2026-05-29 19:13:14,,4531.04,M30_S3_R,2026-05-29 19:13:13,,,,0.88,PD Zone fill che,,0.22,0.22,0.22,0.22,BUY,,,,,,,,,534621963,,,NEAR,13.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,False,MISMATCH,1.22
4503.1,2026-05-29 09:00:00,4501.04,2026-05-29 08:00:00,,,,False,4423.76,4459.2,4516.56,4366.4,4516.56,4366.4,False,4516.56,4366.4,H,4516.56,4366.4,L,4516.56,4489.13,-2.06,PD_FILL_FAIL,,,,,,SELL,,,,,-6.65,2.96,CLOSE_LIFECYCLE_PD,4496.4475,2026-05-29 08:44:13,,4498.08,M30_S3_G,2026-05-29 08:01:19,,,,6.529999999999999,[sl 4497.58],,2.02,3.51,0.5,0.5,SELL,,,,,,,,,534225363,,,NEAR,16.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.59,False,MISMATCH,1.32
4534.44,2026-05-29 16:45:00,4523.14,2026-05-29 16:05:00,,,,False,4516.64,4520.26,4526.14,4510.76,4526.14,4510.76,False,4526.14,4510.76,H,4526.14,4510.76,L,4526.14,4509.95,-11.3,SL,,,,,,SELL,,,,,-13.59,2.51,CLOSE_LIFECYCLE_PD,4520.85,2026-05-29 16:06:34,,4520.63,M1_S3_R,2026-05-29 16:06:30,,,,-0.88,PD Zone fill che,,-0.22,-0.22,-0.22,-0.22,SELL,,,,,,,,,534510041,,,NEAR,17.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.42,False,MISMATCH,1.5
4527.86,2026-06-01 09:30:00,4533.18,2026-06-01 09:13:00,,,,True,4529.17,4530.21,4531.9,4527.48,4531.9,4527.48,True,4531.9,4527.48,H,4533.92,4527.04,L,4531.9,4523.83,5.32,TP,,,,,,SELL,,,,,0.98,4.59,CLOSE_LIFECYCLE_PD,4528.84,2026-06-01 09:11:42,,4528.59,M1_S3_G,2026-06-01 09:11:38,,,,-0.56,PD Zone fill che,,-0.14,-0.14,-0.14,-0.14,SELL,,,,,,,,,535226422,,,LOOSE,18.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.88,False,MISMATCH,1.37
4481.08,2026-06-02 08:39:00,4488.34,2026-06-02 08:36:00,,,,False,4485.31,4488.01,4492.37,4480.95,4492.37,4480.95,False,4492.37,4480.95,,,,,,,7.26,TP,,,,,,SELL,,,,,5.89,0.86,CLOSE_LIFECYCLE_PD,4486.974999999999,2026-06-02 08:47:07,,4489.2,M1_S3_G,2026-06-02 08:38:16,,,,9.18,PD Zone fill rou,,2.35,3.17,1.83,1.83,SELL,,,,,,,,,535997418,,,EXACT,23.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,False,MISMATCH,2.27
4518.09,2026-06-02 19:52:00,4524.38,2026-06-02 19:42:00,,,,False,4526.28,4529.11,4533.69,4521.7,4533.69,4521.7,False,4533.69,4521.7,,,,L,4533.69,4523.15,-6.29,SL,,,,,,BUY,,,,,12.14,2.94,CLOSE_BUCKET_DIFF,4530.227499999999,2026-06-02 19:55:10,,4527.32,M1_S3_R,2026-06-02 19:44:23,,,,12.43,[tp 4530.49],,2.32,3.37,3.37,3.37,BUY,,,,,,,,,536295811,,,NEAR,26.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,False,MISMATCH,2.38
