group,reason,side,count,pnl,first_ts,last_ts
live,PD Zone fill che,SELL,45,-57.16,2026-05-28 10:03:33,2026-06-08 08:49:08
live,PD Zone fill che,BUY,31,-33.16,2026-05-28 20:10:16,2026-06-04 12:46:20
live,Fill Trend Reche,SELL,11,16.49,2026-06-03 09:58:15,2026-06-08 07:06:24
live,PD Zone fill rou,BUY,11,-91.29,2026-05-28 11:30:05,2026-06-01 17:06:54
live,PD Zone fill rou,SELL,11,-18.06,2026-05-28 19:12:14,2026-06-02 14:16:19
live,Fill Trend Reche,BUY,9,30.56,2026-06-03 09:02:06,2026-06-03 23:17:44
live,MT5_CLOSE,BUY,2,10.04,2026-06-02 00:14:11,2026-06-03 07:35:10
live,SL Guard Group a,SELL,2,-55.88,2026-06-04 14:33:41,2026-06-08 07:01:02
live,[sl 4517.94],BUY,2,10.97,2026-06-01 11:38:19,2026-06-01 11:56:45
live,MT5_CLOSE,SELL,1,20.74,2026-06-03 22:45:37,2026-06-03 22:45:37
live,SL Guard Group a,BUY,1,-20.43,2026-06-04 15:06:07,2026-06-04 15:06:07
live,[sl 4368.25],BUY,1,5.46,2026-05-28 13:02:45,2026-05-28 13:02:45
live,[sl 4373.14],SELL,1,0.64,2026-05-28 13:11:16,2026-05-28 13:11:16
live,[sl 4382.83],SELL,1,2.0,2026-05-28 14:52:45,2026-05-28 14:52:45
live,[sl 4383.98],BUY,1,15.05,2026-05-28 18:49:51,2026-05-28 18:49:51
live,[sl 4389.36],SELL,1,1.92,2026-05-28 16:00:15,2026-05-28 16:00:15
live,[sl 4389.78],SELL,1,5.68,2026-05-28 17:01:55,2026-05-28 17:01:55
live,[sl 4394.62],BUY,1,18.88,2026-05-28 15:41:30,2026-05-28 15:41:30
live,[sl 4396.20],BUY,1,2.99,2026-05-28 10:54:43,2026-05-28 10:54:43
live,[sl 4396.29],SELL,1,16.15,2026-05-28 18:17:48,2026-05-28 18:17:48
live,[sl 4397.61],SELL,1,-15.96,2026-05-28 17:21:04,2026-05-28 17:21:04
live,[sl 4398.11],SELL,1,-13.84,2026-05-28 18:03:37,2026-05-28 18:03:37
live,[sl 4409.35],BUY,1,6.23,2026-05-28 09:58:08,2026-05-28 09:58:08
live,[sl 4427.25],SELL,1,1.06,2026-05-28 21:45:50,2026-05-28 21:45:50
live,[sl 4443.58],BUY,1,-5.35,2026-05-28 09:03:21,2026-05-28 09:03:21
live,[sl 4444.43],BUY,1,5.79,2026-05-28 08:24:45,2026-05-28 08:24:45
live,[sl 4450.35],BUY,1,-17.52,2026-06-03 20:27:01,2026-06-03 20:27:01
live,[sl 4450.96],BUY,1,-21.6,2026-06-03 16:48:05,2026-06-03 16:48:05
live,[sl 4455.50],SELL,1,2.64,2026-06-03 16:11:08,2026-06-03 16:11:08
live,[sl 4456.91],SELL,1,15.6,2026-06-01 22:46:13,2026-06-01 22:46:13
live,[sl 4459.96],SELL,1,2.58,2026-06-01 23:00:09,2026-06-01 23:00:09
live,[sl 4462.90],SELL,1,0.64,2026-06-03 14:42:58,2026-06-03 14:42:58
live,[sl 4464.64],BUY,1,12.01,2026-06-01 21:34:05,2026-06-01 21:34:05
live,[sl 4466.84],BUY,1,-1.6,2026-06-02 00:10:25,2026-06-02 00:10:25
live,[sl 4473.43],BUY,1,-18.84,2026-06-01 21:12:31,2026-06-01 21:12:31
live,[sl 4475.34],SELL,1,2.82,2026-06-01 23:57:37,2026-06-01 23:57:37
live,[sl 4476.30],BUY,1,-3.94,2026-06-02 08:49:46,2026-06-02 08:49:46
live,[sl 4480.09],BUY,1,-8.92,2026-06-02 06:27:04,2026-06-02 06:27:04
live,[sl 4480.66],BUY,1,-9.84,2026-06-03 12:17:51,2026-06-03 12:17:51
live,[sl 4480.75],SELL,1,-11.76,2026-06-05 02:59:12,2026-06-05 02:59:12
live,[sl 4483.38],SELL,1,0.64,2026-06-02 04:27:15,2026-06-02 04:27:15
live,[sl 4484.42],BUY,1,0.64,2026-06-02 09:23:06,2026-06-02 09:23:06
live,[sl 4484.91],BUY,1,6.86,2026-06-02 07:00:39,2026-06-02 07:00:39
live,[sl 4485.45],BUY,1,-30.84,2026-06-04 22:08:33,2026-06-04 22:08:33
live,[sl 4487.33],BUY,1,-12.2,2026-06-03 01:04:10,2026-06-03 01:04:10
live,[sl 4491.68],SELL,1,-27.52,2026-06-02 08:15:30,2026-06-02 08:15:30
live,[sl 4494.16],SELL,1,3.53,2026-05-29 08:04:06,2026-05-29 08:04:06
live,[sl 4494.58],BUY,1,-6.28,2026-05-29 04:43:47,2026-05-29 04:43:47
live,[sl 4494.88],BUY,1,-9.76,2026-05-29 04:39:24,2026-05-29 04:39:24
live,[sl 4496.47],BUY,1,0.64,2026-05-29 11:35:54,2026-05-29 11:35:54
live,[sl 4497.05],SELL,1,10.71,2026-05-29 03:46:49,2026-05-29 03:46:49
live,[sl 4497.08],SELL,1,6.54,2026-06-02 11:36:30,2026-06-02 11:36:30
live,[sl 4497.20],SELL,1,2.61,2026-05-29 11:30:01,2026-05-29 11:30:01
live,[sl 4497.58],SELL,1,6.53,2026-05-29 08:01:19,2026-05-29 08:01:19
live,[sl 4497.74],BUY,1,-3.55,2026-05-29 03:35:35,2026-05-29 03:35:35
live,[sl 4498.65],SELL,1,18.23,2026-05-29 10:57:22,2026-05-29 10:57:22
live,[sl 4499.44],BUY,1,15.68,2026-06-01 15:51:23,2026-06-01 15:51:23
live,[sl 4499.52],BUY,1,-13.72,2026-06-01 20:30:30,2026-06-01 20:30:30
live,[sl 4499.81],BUY,1,3.86,2026-06-01 20:30:59,2026-06-01 20:30:59
live,[sl 4500.44],SELL,1,-11.84,2026-05-29 11:41:04,2026-05-29 11:41:04
live,[sl 4501.22],SELL,1,5.01,2026-05-29 03:05:14,2026-05-29 03:05:14
live,[sl 4501.75],SELL,1,-18.8,2026-06-01 18:00:00,2026-06-01 18:00:00
live,[sl 4501.87],BUY,1,3.57,2026-06-01 20:18:25,2026-06-01 20:18:25
live,[sl 4504.67],BUY,1,-2.34,2026-05-29 13:36:01,2026-05-29 13:36:01
live,[sl 4507.10],BUY,1,-15.12,2026-05-29 02:09:09,2026-05-29 02:09:09
live,[sl 4508.36],SELL,1,12.37,2026-06-01 19:22:52,2026-06-01 19:22:52
live,[sl 4510.24],BUY,1,2.57,2026-05-29 13:24:52,2026-05-29 13:24:52
live,[sl 4511.04],BUY,1,0.64,2026-06-01 14:17:43,2026-06-01 14:17:43
live,[sl 4514.21],SELL,1,-9.12,2026-05-29 13:53:22,2026-05-29 13:53:22
live,[sl 4514.87],BUY,1,0.64,2026-06-01 12:34:56,2026-06-01 12:34:56
live,[sl 4517.01],SELL,1,2.0,2026-06-02 13:04:06,2026-06-02 13:04:06
live,[sl 4517.73],SELL,1,-20.16,2026-06-02 12:53:02,2026-06-02 12:53:02
live,[sl 4523.66],SELL,1,3.56,2026-05-29 21:15:25,2026-05-29 21:15:25
live,[sl 4524.05],BUY,1,0.64,2026-05-29 20:20:34,2026-05-29 20:20:34
live,[sl 4526.92],SELL,1,-0.24,2026-06-02 17:48:20,2026-06-02 17:48:20
live,[sl 4528.60],BUY,1,4.43,2026-06-02 19:27:33,2026-06-02 19:27:33
live,[sl 4529.31],BUY,1,2.92,2026-05-29 20:12:22,2026-05-29 20:12:22
live,[sl 4529.53],BUY,1,7.75,2026-06-01 09:42:05,2026-06-01 09:42:05
live,[sl 4532.85],SELL,1,2.0,2026-06-01 10:13:14,2026-06-01 10:13:14
live,[sl 4533.14],SELL,1,-4.04,2026-05-29 21:21:36,2026-05-29 21:21:36
live,[sl 4534.01],SELL,1,8.15,2026-06-02 16:15:49,2026-06-02 16:15:49
live,[sl 4536.20],BUY,1,-28.32,2026-05-30 04:45:15,2026-05-30 04:45:15
live,[sl 4538.97],BUY,1,-7.2,2026-06-01 08:32:01,2026-06-01 08:32:01
live,[sl 4539.00],BUY,1,6.99,2026-06-01 08:54:25,2026-06-01 08:54:25
live,[sl 4539.29],SELL,1,-15.28,2026-06-01 06:44:45,2026-06-01 06:44:45
live,[sl 4540.44],BUY,1,4.88,2026-06-01 08:16:25,2026-06-01 08:16:25
live,[sl 4545.94],SELL,1,-18.76,2026-05-29 22:01:17,2026-05-29 22:01:17
live,[sl 4546.98],BUY,1,-28.72,2026-05-30 03:30:42,2026-05-30 03:30:42
live,[sl 4549.42],BUY,1,-12.96,2026-05-30 03:42:19,2026-05-30 03:42:19
live,[sl 4551.23],BUY,1,-29.64,2026-05-30 02:43:04,2026-05-30 02:43:04
live,[sl 4552.03],BUY,1,-17.64,2026-05-30 01:49:34,2026-05-30 01:49:34
live,[sl 4559.03],SELL,1,-36.0,2026-05-29 22:52:11,2026-05-29 22:52:11
live,[sl 4565.83],SELL,1,7.38,2026-05-30 00:31:32,2026-05-30 00:31:32
live,[sl 4567.00],SELL,1,6.76,2026-05-30 00:16:10,2026-05-30 00:16:10
live,[sl 4570.36],SELL,1,-21.28,2026-05-30 00:31:32,2026-05-30 00:31:32
live,[sl 4580.81],SELL,1,9.68,2026-05-29 23:32:56,2026-05-29 23:32:56
live,[tp 4385.56],SELL,1,14.3,2026-05-28 19:37:33,2026-05-28 19:37:33
live,[tp 4386.29],SELL,1,16.17,2026-05-28 20:16:10,2026-05-28 20:16:10
live,[tp 4387.27],SELL,1,24.13,2026-05-28 18:28:33,2026-05-28 18:28:33
live,[tp 4430.78],BUY,1,23.14,2026-05-28 21:41:10,2026-05-28 21:41:10
live,[tp 4451.42],BUY,1,16.71,2026-05-28 08:00:00,2026-05-28 08:00:00
live,[tp 4457.19],SELL,1,16.73,2026-05-28 22:13:11,2026-05-28 22:13:11
live,[tp 4464.98],BUY,1,79.16,2026-06-05 10:54:39,2026-06-05 10:54:39
live,[tp 4482.61],SELL,1,9.52,2026-06-02 04:55:46,2026-06-02 04:55:46
live,[tp 4483.73],BUY,1,9.36,2026-06-02 06:44:36,2026-06-02 06:44:36
live,[tp 4498.53],BUY,1,17.36,2026-05-29 08:58:11,2026-05-29 08:58:11
live,[tp 4507.62],BUY,1,19.66,2026-06-01 20:36:48,2026-06-01 20:36:48
live,[tp 4520.08],BUY,1,20.7,2026-05-29 14:41:03,2026-05-29 14:41:03
live,[tp 4530.49],BUY,1,12.43,2026-06-02 19:44:23,2026-06-02 19:44:23
live,[tp 4538.32],SELL,1,14.91,2026-06-01 07:57:10,2026-06-01 07:57:10
live,[tp 4538.72],SELL,1,15.72,2026-06-01 07:52:33,2026-06-01 07:52:33
live,[tp 4541.16],SELL,1,7.72,2026-05-30 04:50:36,2026-05-30 04:50:36
live,[tp 4567.15],BUY,1,16.23,2026-05-30 00:50:19,2026-05-30 00:50:19
bt,SL,BUY,61,-82.0,2026-05-28 08:58:00,2026-06-08 08:00:00
bt,PD_FILL_FAIL,SELL,33,-83.46,2026-05-28 14:16:00,2026-06-08 07:08:00
bt,PD_FILL_FAIL,BUY,29,-36.94,2026-05-28 08:36:00,2026-06-08 09:28:00
bt,TP,SELL,26,193.54,2026-05-28 15:01:00,2026-06-08 07:36:00
bt,SL,SELL,24,-91.7,2026-05-28 13:52:00,2026-06-05 18:51:00
bt,TP,BUY,19,184.18,2026-05-28 20:41:00,2026-06-06 02:41:00
bt,SL_GUARD_CLOSE,BUY,4,-12.59,2026-06-01 08:42:00,2026-06-05 23:40:00
bt,SL_GUARD_GROUP,BUY,3,-118.49,2026-05-28 08:00:00,2026-06-05 17:33:00
bt,SL_GUARD_GROUP,SELL,1,1.4,2026-05-28 15:14:00,2026-05-28 15:14:00
live_mismatch,PD Zone fill che,BUY,7,-8.64,,
live_mismatch,PD Zone fill che,SELL,3,16.49,,
live_mismatch,PD Zone fill rou,SELL,2,-8.4,,
live_mismatch,Fill Trend Reche,BUY,1,5.93,,
live_mismatch,Fill Trend Reche,SELL,1,-24.72,,
live_mismatch,PD Zone fill rou,BUY,1,-1.54,,
live_mismatch,[sl 4322.80],SELL,1,2.64,,
live_mismatch,[sl 4387.61],SELL,1,0.41,,
live_mismatch,[sl 4390.70],SELL,1,14.63,,
live_mismatch,[sl 4392.44],BUY,1,-101.97,,
live_mismatch,[sl 4483.48],BUY,1,20.88,,
live_mismatch,[sl 4494.93],SELL,1,9.22,,
live_mismatch,[sl 4499.44],BUY,1,12.07,,
live_mismatch,[sl 4504.38],BUY,1,14.31,,
live_mismatch,[sl 4509.44],BUY,1,3.53,,
live_mismatch,[sl 4513.70],SELL,1,34.38,,
live_mismatch,[sl 4523.69],BUY,1,-10.23,,
live_mismatch,[sl 4525.78],BUY,1,-10.59,,
live_mismatch,[sl 4528.60],BUY,1,13.82,,
live_mismatch,[sl 4529.92],SELL,1,11.63,,
live_mismatch,[sl 4536.28],SELL,1,-3.56,,
live_mismatch,[sl 4543.31],SELL,1,5.38,,
live_mismatch,[so -403.25%/-212.27/52.64],BUY,1,-34.28,,
live_mismatch,[tp 4318.07],SELL,1,29.48,,
live_mismatch,[tp 4384.23],SELL,1,9.31,,
live_mismatch,[tp 4533.34],BUY,1,12.79,,
live_gap,LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:ENTRY_TOO_FAR,SELL,51,-119.21,2026-05-28 11:00:31,2026-06-08 08:49:08
live_gap,ENTRY_TOO_FAR,BUY,47,-183.78,2026-05-28 08:00:00,2026-06-08 07:01:02
live_gap,NEAREST_ALREADY_MATCHED_OR_GREEDY,BUY,36,98.26,2026-05-28 15:41:30,2026-06-05 10:54:39
live_gap,LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:NEAREST_ALREADY_MATCHED_OR_GREEDY,BUY,22,-17.66,2026-05-29 00:57:33,2026-06-05 04:54:53
live_gap,REPLAY_PD_REJECTED:LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:ENTRY_TOO_FAR,SELL,16,-55.68,2026-05-28 10:56:34,2026-06-04 12:46:20
live_gap,REPLAY_PD_REJECTED:ENTRY_TOO_FAR,SELL,15,84.16,2026-05-28 14:52:45,2026-06-03 22:45:37
live_gap,LIVE_HISTORICAL_TREND_SKIP_DRIFT:ENTRY_TOO_FAR,SELL,9,16.05,2026-06-03 09:58:15,2026-06-08 07:06:24
live_gap,REPLAY_PD_REJECTED:NEAREST_ALREADY_MATCHED_OR_GREEDY,BUY,8,64.6,2026-05-28 21:41:10,2026-06-02 19:27:33
live_gap,LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:TIME_TOO_FAR+ENTRY_TOO_FAR,SELL,5,-4.48,2026-05-28 10:03:33,2026-06-04 10:31:03
live_gap,REPLAY_PD_REJECTED:LIVE_HISTORICAL_TREND_SKIP_DRIFT:ENTRY_TOO_FAR,BUY,5,7.37,2026-06-03 10:45:03,2026-06-03 17:00:50
live_gap,LIVE_HISTORICAL_TREND_SKIP_DRIFT:NEAREST_ALREADY_MATCHED_OR_GREEDY,BUY,4,11.41,2026-06-03 09:02:06,2026-06-05 01:39:14
live_gap,REPLAY_PD_REJECTED:LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:NEAREST_ALREADY_MATCHED_OR_GREEDY,SELL,4,-2.64,2026-05-29 04:02:12,2026-06-03 00:41:09
live_gap,TIME_TOO_FAR+ENTRY_TOO_FAR,SELL,2,8.36,2026-05-30 04:50:36,2026-06-03 14:42:58
live_gap,LIVE_HISTORICAL_TREND_SKIP_DRIFT:TIME_TOO_FAR,SELL,1,13.7,2026-06-03 15:43:53,2026-06-03 15:43:53
live_gap,LIVE_HISTORICAL_TREND_SKIP_DRIFT:TIME_TOO_FAR+ENTRY_TOO_FAR,SELL,1,-1.48,2026-06-03 16:20:59,2026-06-03 16:20:59
live_gap,REPLAY_PD_REJECTED:TIME_TOO_FAR+ENTRY_TOO_FAR,SELL,1,-18.8,2026-06-01 18:00:00,2026-06-01 18:00:00
live_gap,TIME_TOO_FAR,SELL,1,2.64,2026-06-03 16:11:08,2026-06-03 16:11:08
bt_gap,ENTRY_TOO_FAR,BUY,106,53.66,2026-05-28 08:00:00,2026-06-08 07:36:00
bt_gap,NEAREST_ALREADY_MATCHED_OR_GREEDY,BUY,55,-20.66,2026-05-28 12:15:00,2026-06-08 06:24:00
bt_gap,TIME_TOO_FAR+ENTRY_TOO_FAR,SELL,37,-77.75,2026-06-03 05:00:00,2026-06-08 09:28:00
bt_gap,TIME_TOO_FAR,SELL,2,-1.31,2026-06-04 18:17:00,2026-06-05 19:47:00
mismatch_gap,LIVE_CLOSE_PD_BT_NON_PD,BUY,10,-0.55,2026-05-28 12:25:53,2026-06-02 18:52:47
mismatch_gap,CLOSE_PRICE_DIFF_SAME_BUCKET,SELL,7,86.32,2026-05-28 16:14:51,2026-06-02 17:28:05
mismatch_gap,BT_CLOSE_PD_LIVE_NON_PD,SELL,6,6.35,2026-05-28 15:00:08,2026-06-06 03:27:41
mismatch_gap,CLOSE_BUCKET_DIFF,SELL,3,6.83,2026-05-30 03:57:17,2026-06-08 06:14:21
mismatch_gap,CLOSE_LIFECYCLE_SL_GUARD,BUY,3,-85.41,2026-05-28 18:41:28,2026-06-01 19:56:45
mismatch_gap,CLOSE_LIFECYCLE_PD,BUY,2,-3.79,2026-05-29 00:52:12,2026-05-29 19:31:39
mismatch_gap,LIVE_HISTORICAL_TREND_SKIP_DRIFT,SELL,2,-18.79,2026-06-03 19:20:05,2026-06-03 21:56:05
mismatch_gap,PNL_DIFF_SAME_BUCKET,SELL,2,22.01,2026-05-29 06:02:00,2026-05-29 18:07:56
trail_source_gap,- -> M1,BUY,3,9.3,2026-05-28 12:25:53,2026-05-29 19:26:21
live_entry_comment,M1_S3_G,SELL,66,-81.28,2026-05-28 10:56:34,2026-06-08 07:06:24
live_entry_comment,M1_S3_R,BUY,50,-66.29,2026-05-28 08:00:00,2026-06-04 22:08:33
live_entry_comment,M1_S3_R,SELL,22,42.57,2026-05-28 13:11:16,2026-06-08 08:49:08
live_entry_comment,M1_S3_G,BUY,21,0.7,2026-05-28 08:24:45,2026-06-03 16:17:37
live_entry_comment,M5_S3_G,SELL,10,-7.59,2026-05-28 10:15:09,2026-06-08 07:01:02
live_entry_comment,M1_S3_R_DOJI,BUY,8,38.82,2026-05-28 10:54:43,2026-06-03 01:04:10
live_entry_comment,M5_S3_G,BUY,7,-49.39,2026-05-29 03:35:35,2026-06-04 12:46:20
live_entry_comment,M5_S3_R,BUY,7,-4.36,2026-05-28 21:20:15,2026-06-05 10:54:39
live_entry_comment,M1_S3_G_DOJI,BUY,6,4.72,2026-05-29 00:57:33,2026-06-03 18:12:13
live_entry_comment,M15_S3_G,SELL,5,8.0,2026-05-28 12:44:52,2026-06-02 17:48:20
live_entry_comment,M1_S3_G_DOJI,SELL,3,10.77,2026-05-28 10:03:33,2026-05-30 00:16:10
live_entry_comment,M1_S3_R_DOJI,SELL,3,2.2,2026-05-28 18:03:37,2026-06-01 21:29:07
live_entry_comment,M30_S3_G,SELL,3,2.17,2026-05-29 08:01:19,2026-06-03 17:06:19
live_entry_comment,M30_S3_R,BUY,2,18.2,2026-05-28 15:41:30,2026-05-29 16:00:11
live_entry_comment,M5_S3_G_DOJI,BUY,2,-4.02,2026-06-03 10:45:03,2026-06-04 15:06:07
live_entry_comment,M5_S3_G_DOJI,SELL,2,-1.16,2026-05-28 16:00:15,2026-05-29 20:48:56
live_entry_comment,M5_S3_R_DOJI,BUY,2,-11.4,2026-06-01 13:59:03,2026-06-02 13:51:59
live_entry_comment,M5_S3_R_DOJI,SELL,2,-3.39,2026-05-28 18:28:33,2026-06-02 08:15:30
live_entry_comment,H12_S3_G,SELL,1,-15.72,2026-05-28 22:12:54,2026-05-28 22:12:54
live_entry_comment,H1_S3_R_DOJI,BUY,1,1.12,2026-06-02 20:52:48,2026-06-02 20:52:48
live_entry_comment,M15_S3_G,BUY,1,-5.35,2026-05-28 09:03:21,2026-05-28 09:03:21
live_entry_comment,M15_S3_G_DOJI,BUY,1,15.05,2026-05-28 18:49:51,2026-05-28 18:49:51
live_entry_comment,M15_S3_G_DOJI,SELL,1,10.71,2026-05-29 03:46:49,2026-05-29 03:46:49
live_entry_comment,M15_S3_R,BUY,1,6.86,2026-06-02 07:00:39,2026-06-02 07:00:39
live_entry_comment,M15_S3_R,SELL,1,-9.12,2026-05-29 13:53:22,2026-05-29 13:53:22
mismatch_entry_comment,M1_S3_G,SELL,9,75.0,2026-05-28 15:00:08,2026-06-08 06:14:21
mismatch_entry_comment,M1_S3_R,BUY,9,17.39,2026-05-29 00:52:12,2026-06-03 21:56:05
mismatch_entry_comment,M1_S3_G,BUY,4,-106.43,2026-05-28 13:29:19,2026-06-02 18:52:47
mismatch_entry_comment,M1_S3_R,SELL,3,-10.03,2026-05-28 19:25:58,2026-06-03 19:20:05
mismatch_entry_comment,M15_S3_G,SELL,2,20.85,2026-05-29 06:02:00,2026-06-01 09:21:36
mismatch_entry_comment,M15_S3_R,BUY,2,-19.97,2026-05-30 03:57:17,2026-06-01 19:56:45
mismatch_entry_comment,M15_S3_G,BUY,1,12.07,2026-06-01 15:46:02,2026-06-01 15:46:02
mismatch_entry_comment,M1_S3_G_DOJI,BUY,1,-1.54,2026-05-28 12:25:53,2026-05-28 12:25:53
mismatch_entry_comment,M1_S3_G_DOJI,SELL,1,14.63,2026-05-28 16:14:51,2026-05-28 16:14:51
mismatch_entry_comment,M1_S3_R_DOJI,SELL,1,-3.56,2026-06-02 14:59:14,2026-06-02 14:59:14
mismatch_entry_comment,M30_S3_R,BUY,1,0.74,2026-05-29 19:13:13,2026-05-29 19:13:13
mismatch_entry_comment,M5_S3_R,BUY,1,13.82,2026-05-29 19:26:21,2026-05-29 19:26:21
