signal,outcome,signal_time_ts,fill_time_ts,exit_time_ts,entry,tp,sl,exit_price,risk_distance,diff_usd_per_001lot,spread,lot,risk_pct_used,risk_usd,pnl_usd,equity_after
SELL,TP,1778662500,1778662500,1778664300,4702.67,4697.36,4707.98,4697.36,5.31,5.31,0.2,0.01,0.5,5.0,5.11,1005.11
SELL,TP,1778671800,1778671800,1778678100,4699.63,4689.67,4709.59,4689.67,9.96,9.96,0.2,0.01,0.5,5.03,9.76,1014.87
SELL,TP,1778682600,1778682600,1778682900,4688.68,4678.28,4699.08,4678.28,10.4,10.4,0.2,0.01,0.5,5.07,10.2,1025.07
SELL,SL,1778685600,1778685600,1778686200,4674.1,4659.33,4688.87,4688.87,14.77,-14.77,0.2,0.01,0.5,5.13,-14.97,1010.1
SELL,SL,1778691000,1778691000,1778692800,4698.46,4692.48,4704.44,4704.44,5.98,-5.98,0.2,0.01,0.5,5.05,-6.18,1003.92
BUY,TP,1778753400,1778753400,1778764800,4696.45,4706.55,4686.35,4706.55,10.1,10.1,0.2,0.01,0.5,5.02,9.9,1013.82
BUY,TP,1778754900,1778754900,1778757000,4694.89,4704.49,4685.29,4704.49,9.6,9.6,0.2,0.01,0.5,5.07,9.4,1023.22
SELL,SL,1778756700,1778756700,1778757000,4698.99,4692.83,4705.15,4705.15,6.16,-6.16,0.2,0.01,0.5,5.12,-6.36,1016.86
BUY,SL,1778758200,1778758200,1778761500,4697.54,4704.8,4690.28,4690.28,7.26,-7.26,0.2,0.01,0.5,5.08,-7.46,1009.4
SELL,SL,1778763600,1778763600,1778765700,4694.35,4680.33,4708.37,4708.37,14.02,-14.02,0.2,0.01,0.5,5.05,-14.22,995.18
BUY,TP,1779095700,1779095700,1779097800,4546.77,4556.11,4537.43,4556.11,9.34,9.34,0.2,0.01,0.5,4.98,9.14,1004.32
BUY,SL,1779101700,1779101700,1779102600,4543.31,4550.24,4536.38,4536.38,6.93,-6.93,0.2,0.01,0.5,5.02,-7.13,997.19
SELL,SL,1779104100,1779104100,1779104700,4532.83,4521.22,4544.44,4544.44,11.61,-11.61,0.2,0.01,0.5,4.99,-11.81,985.38
SELL,TP,1779105900,1779105900,1779106200,4538.32,4530.94,4545.7,4530.94,7.38,7.38,0.2,0.01,0.5,4.93,7.18,992.56
BUY,TP,1779111300,1779111300,1779115800,4562.15,4580.02,4544.28,4580.02,17.87,17.87,0.2,0.01,0.5,4.96,17.67,1010.23
BUY,SL,1779111900,1779111900,1779118200,4569.69,4586.87,4552.51,4552.51,17.18,-17.18,0.2,0.01,0.5,5.05,-17.38,992.85
BUY,TP,1779113700,1779113700,1779114600,4567.81,4579.66,4555.96,4579.66,11.85,11.85,0.2,0.01,0.5,4.96,11.65,1004.5
BUY,SL,1779115800,1779115800,1779117600,4574.37,4591.53,4557.21,4557.21,17.16,-17.16,0.2,0.01,0.5,5.02,-17.36,987.14
BUY,SL,1779120000,1779120000,1779120000,4546.68,4559.24,4534.12,4534.12,12.56,-12.56,0.2,0.01,0.5,4.94,-12.76,974.38
SELL,SL,1779121800,1779121800,1779124200,4534.64,4521.85,4547.43,4547.43,12.79,-12.79,0.2,0.01,0.5,4.87,-12.99,961.39
BUY,TP,1779279000,1779279000,1779279900,4494.71,4499.98,4489.44,4499.98,5.27,5.27,0.2,0.01,0.5,4.81,5.07,966.46
