days,date,total
550,2024-05-28,566.4992
550,2024-05-29,0.0
550,2024-05-30,0.0
550,2024-05-31,0.0
550,2024-06-03,492.608
550,2024-06-04,0.0
550,2024-06-05,222.22096
550,2024-06-06,1421.58725
550,2024-06-07,-426.89816
550,2024-06-10,688.96288
550,2024-06-11,-290.63687
550,2024-06-12,162.5174
550,2024-06-13,333.33144
550,2024-06-14,-388.88668
550,2024-06-17,-355.26114
550,2024-06-18,285.0861
550,2024-06-19,-388.88668
550,2024-06-20,0.0
550,2024-06-21,-362.57104
550,2024-06-24,-335.52441
550,2024-06-25,0.0
550,2024-06-26,0.0
550,2024-06-27,0.0
550,2024-06-28,0.0
550,2024-07-01,0.0
550,2024-07-02,-209.86544
550,2024-07-03,560.3416
550,2024-07-04,0.0
550,2024-07-05,0.0
550,2024-07-06,0.0
550,2024-07-08,-182.5976
550,2024-07-09,0.0
550,2024-07-10,655.3343
550,2024-07-11,204.6772
550,2024-07-12,-337.71738
550,2024-07-15,-404.23747
550,2024-07-16,270.4663
550,2024-07-17,-404.23747
550,2024-07-18,257.30848
550,2024-07-19,439.29522
550,2024-07-22,339.91035
550,2024-07-23,245.61264
550,2024-07-24,222.22096
550,2024-07-25,260.96343
550,2024-07-26,307.0158
550,2024-07-29,805.0252
550,2024-07-30,298.24392
550,2024-07-31,-255.11551
550,2024-08-01,302.62986
550,2024-08-02,249.99858
550,2024-08-05,337.71738
550,2024-08-06,1411.7832
550,2024-08-07,-342.10332
550,2024-08-08,-231.72383
550,2024-08-09,285.0861
550,2024-08-12,-390.34866
550,2024-08-13,347.95124
550,2024-08-14,-404.23747
550,2024-08-15,197.3673
550,2024-08-16,372.8049
550,2024-08-19,1638.2544
550,2024-08-20,163.74176
550,2024-08-21,-432.74608
550,2024-08-22,-374.26688
550,2024-08-23,286.54808
550,2024-08-26,-236.20964
550,2024-08-27,121.7404
550,2024-08-28,1436.54589
550,2024-08-29,856.67343
550,2024-08-30,314.3257
550,2024-09-02,254.38452
550,2024-09-03,0.0
550,2024-09-04,249.99858
550,2024-09-05,0.0
550,2024-09-06,729.30472
550,2024-09-09,276.31422
550,2024-09-10,277.7762
550,2024-09-11,281.43115
550,2024-09-12,241.2267
550,2024-09-13,256.57749
550,2024-09-16,-409.3544
