days,date,total
550,2024-05-28,-745.32334
550,2024-05-29,2556.33995
550,2024-05-30,-227.13665
550,2024-05-31,1382.32026
550,2024-06-03,1619.65772
550,2024-06-04,346.80555
550,2024-06-05,67.73707
550,2024-06-06,-829.86694
550,2024-06-07,-426.89816
550,2024-06-10,2551.41692
550,2024-06-11,1282.86749
550,2024-06-12,1865.27182
550,2024-06-13,1361.69681
550,2024-06-14,794.30144
550,2024-06-17,-349.683
550,2024-06-18,355.33566
550,2024-06-19,-29.33482
550,2024-06-20,8.8491
550,2024-06-21,1832.24524
550,2024-06-24,625.56247
550,2024-06-25,-553.585
550,2024-06-26,1662.88344
550,2024-06-27,2918.24208
550,2024-06-28,1217.00286
550,2024-07-01,-999.99748
550,2024-07-02,-576.25712
550,2024-07-03,3507.73324
550,2024-07-04,1238.30332
550,2024-07-05,-999.99798
550,2024-07-06,0.0
550,2024-07-08,3476.80026
550,2024-07-09,-675.94298
550,2024-07-10,2944.01288
550,2024-07-11,2386.68454
550,2024-07-12,2745.32954
550,2024-07-15,295.86701
550,2024-07-16,4448.13752
550,2024-07-17,268.08871
550,2024-07-18,2209.0483
550,2024-07-19,989.82435
550,2024-07-22,791.15229
550,2024-07-23,470.19247
550,2024-07-24,-388.87388
550,2024-07-25,3617.60072
550,2024-07-26,1585.62504
550,2024-07-29,3062.47555
550,2024-07-30,606.20747
550,2024-07-31,874.20353
550,2024-08-01,3110.56957
550,2024-08-02,520.28958
550,2024-08-05,608.6774
550,2024-08-06,-222.3088
550,2024-08-07,1838.05344
550,2024-08-08,-818.85125
550,2024-08-09,2876.86442
550,2024-08-12,-995.63976
550,2024-08-13,2422.95443
550,2024-08-14,-197.64227
550,2024-08-15,511.39998
550,2024-08-16,2756.9315
550,2024-08-19,4321.26562
550,2024-08-20,616.99316
550,2024-08-21,3311.42132
550,2024-08-22,-999.99702
550,2024-08-23,-640.63207
550,2024-08-26,955.02678
550,2024-08-27,483.14979
550,2024-08-28,3225.90955
550,2024-08-29,2578.78452
550,2024-08-30,1754.78496
