weight,valid,avg_day,min_day,worst_day,streak
1.0,True,1123.9963,1123.9963,-999.9999,3
1.001,True,1123.9965,1123.9965,-999.9999,3
1.002,True,1123.9967,1123.9967,-999.9999,3
1.003,True,1123.9969,1123.9969,-999.9999,3
1.004,True,1123.9971,1123.9971,-999.9999,3
1.005,True,1123.9973,1123.9973,-999.9999,3
1.006,True,1123.9975,1123.9975,-999.9999,3
1.007,True,1123.9977,1123.9977,-999.9999,3
1.008,True,1123.9979,1123.9979,-999.9999,3
1.009,True,1123.998,1123.998,-999.9999,3
1.01,True,1123.9982,1123.9982,-999.9999,3
1.011,True,1123.9984,1123.9984,-999.9999,3
1.012,True,1123.9986,1123.9986,-999.9999,3
1.013,True,1123.9988,1123.9988,-999.9999,3
1.014,True,1123.999,1123.999,-999.9999,3
1.015,True,1123.9992,1123.9992,-999.9999,3
1.016,True,1123.9994,1123.9994,-999.9999,3
1.017,True,1123.9996,1123.9996,-999.9999,3
1.018,True,1123.9997,1123.9997,-999.9999,3
1.019,True,1123.9999,1123.9999,-999.9999,3
1.02,True,1124.0001,1124.0001,-999.9999,3
1.021,True,1124.0003,1124.0003,-999.9999,3
1.022,True,1124.0005,1124.0005,-999.9999,3
1.023,True,1124.0007,1124.0007,-999.9999,3
1.024,True,1124.0009,1124.0009,-999.9999,3
1.025,True,1124.0011,1124.0011,-999.9999,3
1.026,True,1124.0013,1124.0013,-999.9999,3
1.027,True,1124.0014,1124.0014,-999.9999,3
1.028,True,1124.0016,1124.0016,-999.9999,3
1.029,True,1124.0018,1124.0018,-999.9999,3
1.03,True,1124.002,1124.002,-999.9999,3
1.031,True,1124.0022,1124.0022,-999.9999,3
1.032,True,1124.0024,1124.0024,-999.9999,3
1.033,True,1124.0026,1124.0026,-999.9999,3
1.034,True,1124.0028,1124.0028,-999.9999,3
1.035,True,1124.003,1124.003,-999.9999,3
1.036,True,1124.0031,1124.0031,-999.9999,3
1.037,True,1124.0033,1124.0033,-999.9999,3
1.038,True,1124.0035,1124.0035,-999.9999,3
1.039,True,1124.0037,1124.0037,-999.9999,3
1.04,True,1124.0039,1124.0039,-999.9999,3
1.041,True,1124.0041,1124.0041,-999.9999,3
1.042,True,1124.0043,1124.0043,-999.9999,3
1.043,True,1124.0045,1124.0045,-999.9999,3
1.044,True,1124.0047,1124.0047,-999.9999,3
1.045,True,1124.0048,1124.0048,-999.9999,3
1.046,True,1124.005,1124.005,-999.9999,3
1.047,True,1124.0052,1124.0052,-999.9999,3
1.048,True,1124.0054,1124.0054,-999.9999,3
1.049,True,1124.0056,1124.0056,-999.9999,3
1.05,True,1124.0058,1124.0058,-999.9999,3
1.051,True,1124.006,1124.006,-999.9999,3
1.052,True,1124.0062,1124.0062,-999.9999,3
1.053,True,1124.0064,1124.0064,-999.9999,3
1.054,True,1124.0065,1124.0065,-999.9999,3
1.055,True,1124.0067,1124.0067,-999.9999,3
1.056,True,1124.0069,1124.0069,-999.9999,3
1.057,True,1124.0071,1124.0071,-999.9999,3
1.058,True,1124.0073,1124.0073,-999.9999,3
1.059,True,1124.0075,1124.0075,-999.9999,3
1.06,True,1124.0077,1124.0077,-999.9999,3
1.061,True,1124.0079,1124.0079,-999.9999,3
1.062,True,1124.0081,1124.0081,-999.9999,3
1.063,True,1124.0082,1124.0082,-999.9999,3
1.064,True,1124.0084,1124.0084,-999.9999,3
1.065,True,1124.0086,1124.0086,-999.9999,3
1.066,True,1124.0088,1124.0088,-999.9999,3
1.067,True,1124.009,1124.009,-999.9999,3
1.068,True,1124.0092,1124.0092,-999.9999,3
1.069,True,1124.0094,1124.0094,-999.9999,3
1.07,True,1124.0096,1124.0096,-999.9999,3
1.071,True,1124.0098,1124.0098,-999.9999,3
1.072,True,1124.0099,1124.0099,-999.9999,3
1.073,True,1124.0101,1124.0101,-999.9999,3
1.074,True,1124.0103,1124.0103,-999.9999,3
1.075,True,1124.0105,1124.0105,-999.9999,3
1.076,True,1124.0107,1124.0107,-999.9999,3
1.077,True,1124.0109,1124.0109,-999.9999,3
1.078,True,1124.0111,1124.0111,-999.9999,3
1.079,True,1124.0113,1124.0113,-999.9999,3
1.08,True,1124.0115,1124.0115,-999.9999,3
1.081,True,1124.0116,1124.0116,-999.9999,3
1.082,True,1124.0118,1124.0118,-999.9999,3
1.083,True,1124.012,1124.012,-999.9999,3
1.084,True,1124.0122,1124.0122,-999.9999,3
1.085,True,1124.0124,1124.0124,-999.9999,3
1.086,True,1124.0126,1124.0126,-999.9999,3
1.087,True,1124.0128,1124.0128,-999.9999,3
1.088,True,1124.013,1124.013,-999.9999,3
1.089,True,1124.0132,1124.0132,-999.9999,3
1.09,True,1124.0133,1124.0133,-999.9999,3
1.091,True,1124.0135,1124.0135,-999.9999,3
1.092,True,1124.0137,1124.0137,-999.9999,3
1.093,True,1124.0139,1124.0139,-999.9999,3
1.094,True,1124.0141,1124.0141,-999.9999,3
1.095,True,1124.0143,1124.0143,-999.9999,3
1.096,True,1124.0145,1124.0145,-999.9999,3
1.097,True,1124.0147,1124.0147,-999.9999,3
1.098,True,1124.0149,1124.0149,-999.9999,3
1.099,True,1124.015,1124.015,-999.9999,3
1.1,True,1124.0152,1124.0152,-999.9999,3
1.101,True,1124.0154,1124.0154,-999.9999,3
1.102,True,1124.0156,1124.0156,-999.9999,3
