days,date,total
550,2024-05-28,2099.92887
550,2024-05-29,2960.00898
550,2024-05-30,-314.40406
550,2024-05-31,1684.211
550,2024-06-03,2393.86901
550,2024-06-04,-999.99677
550,2024-06-05,-542.07413
550,2024-06-06,455.67233
550,2024-06-07,-436.4192
550,2024-06-10,5185.24551
550,2024-06-11,-408.84606
550,2024-06-12,5102.56848
550,2024-06-13,1665.33488
550,2024-06-14,3978.01052
550,2024-06-17,-999.9971
550,2024-06-18,355.33566
550,2024-06-19,218.00258
550,2024-06-20,291.68811
550,2024-06-21,5297.09931
550,2024-06-24,1694.19791
550,2024-06-25,-918.25661
550,2024-06-26,4697.69352
550,2024-06-27,1528.37824
550,2024-06-28,-934.48982
550,2024-07-01,-999.9986
550,2024-07-02,-999.99316
550,2024-07-03,8991.42763
550,2024-07-04,2230.28658
550,2024-07-05,-999.99592
550,2024-07-06,0.0
550,2024-07-08,9825.90483
550,2024-07-09,-999.99854
550,2024-07-10,4130.35194
550,2024-07-11,5062.9527
550,2024-07-12,4602.02234
550,2024-07-15,-149.59195
550,2024-07-16,4595.30474
550,2024-07-17,-999.99713
550,2024-07-18,3608.85874
550,2024-07-19,290.89187
550,2024-07-22,4595.41619
550,2024-07-23,-779.55944
550,2024-07-24,-60.15764
550,2024-07-25,3200.00042
550,2024-07-26,4999.27228
550,2024-07-29,6028.96247
550,2024-07-30,-496.8172
550,2024-07-31,-999.9984
550,2024-08-01,1315.28259
550,2024-08-02,-709.19734
550,2024-08-05,608.6774
550,2024-08-06,-843.20542
550,2024-08-07,3196.48456
550,2024-08-08,-818.85125
550,2024-08-09,3812.78448
550,2024-08-12,-999.99933
550,2024-08-13,3812.63248
550,2024-08-14,-999.99587
550,2024-08-15,623.6848
550,2024-08-16,2062.08164
550,2024-08-19,5933.02272
550,2024-08-20,-604.87852
550,2024-08-21,3543.13757
550,2024-08-22,-887.262
550,2024-08-23,-999.9996
550,2024-08-26,2149.45714
550,2024-08-27,1769.30483
550,2024-08-28,1470.32802
550,2024-08-29,3923.04032
550,2024-08-30,3648.04708
550,2024-09-02,658.7211
550,2024-09-03,-29.789
550,2024-09-04,5088.0526
550,2024-09-05,258.45893
550,2024-09-06,-999.99384
550,2024-09-09,-907.08416
550,2024-09-10,3503.1473
550,2024-09-11,-958.04905
550,2024-09-12,1079.10143
550,2024-09-13,-99.64064
550,2024-09-16,4306.11093
550,2024-09-17,-999.99739
550,2024-09-18,-999.9972
550,2024-09-19,914.54876
550,2024-09-20,-812.52183
550,2024-09-23,752.52543
550,2024-09-24,3874.2278
550,2024-09-25,4299.10883
550,2024-09-26,6422.01126
550,2024-09-27,1782.61697
550,2024-09-30,2885.1026
550,2024-10-01,5811.43678
