weight,valid,avg_day,min_day,worst_day,streak
90.0,True,2022.7612,2022.7612,-999.9997,3
90.001,True,2022.7612,2022.7612,-999.9997,3
90.002,True,2022.7613,2022.7613,-999.9997,3
90.003,True,2022.7614,2022.7614,-999.9997,3
90.004,True,2022.7614,2022.7614,-999.9997,3
90.005,True,2022.7615,2022.7615,-999.9997,3
90.006,True,2022.7615,2022.7615,-999.9997,3
90.007,True,2022.7616,2022.7616,-999.9997,3
90.008,True,2022.7617,2022.7617,-999.9997,3
90.009,True,2022.7617,2022.7617,-999.9997,3
90.01,True,2022.7618,2022.7618,-999.9997,3
90.011,True,2022.7619,2022.7619,-999.9997,3
90.012,True,2022.7619,2022.7619,-999.9997,3
90.013,True,2022.762,2022.762,-999.9997,3
90.014,True,2022.762,2022.762,-999.9997,3
90.015,True,2022.7621,2022.7621,-999.9997,3
90.016,True,2022.7622,2022.7622,-999.9997,3
90.017,True,2022.7622,2022.7622,-999.9997,3
90.018,True,2022.7623,2022.7623,-999.9997,3
90.019,True,2022.7623,2022.7623,-999.9997,3
90.02,True,2022.7624,2022.7624,-999.9997,3
90.021,True,2022.7625,2022.7625,-999.9997,3
90.022,True,2022.7625,2022.7625,-999.9997,3
90.023,True,2022.7626,2022.7626,-999.9997,3
90.024,True,2022.7627,2022.7627,-999.9997,3
90.025,True,2022.7627,2022.7627,-999.9997,3
90.026,True,2022.7628,2022.7628,-999.9997,3
90.027,True,2022.7628,2022.7628,-999.9997,3
90.028,True,2022.7629,2022.7629,-999.9997,3
90.029,True,2022.763,2022.763,-999.9997,3
90.03,True,2022.763,2022.763,-999.9997,3
90.031,True,2022.7631,2022.7631,-999.9997,3
90.032,True,2022.7632,2022.7632,-999.9997,3
90.033,True,2022.7632,2022.7632,-999.9997,3
90.034,True,2022.7633,2022.7633,-999.9997,3
90.035,True,2022.7633,2022.7633,-999.9997,3
90.036,True,2022.7634,2022.7634,-999.9997,3
90.037,True,2022.7635,2022.7635,-999.9997,3
90.038,True,2022.7635,2022.7635,-999.9997,3
90.039,True,2022.7636,2022.7636,-999.9997,3
90.04,True,2022.7637,2022.7637,-999.9997,3
90.041,True,2022.7637,2022.7637,-999.9997,3
90.042,True,2022.7638,2022.7638,-999.9997,3
90.043,True,2022.7638,2022.7638,-999.9997,3
90.044,True,2022.7639,2022.7639,-999.9997,3
90.045,True,2022.764,2022.764,-999.9997,3
