close_ts,ticket,side,tf,sid,lot,lot_ok,trend_filter,trend,recheck,pd,tso,sl_guard,profit,reason
2026-05-26 00:00:10,531275856,BUY,M1,3,,,bear_weak,COUNTER,none,none,off,-,2.65,M1_S3_R
2026-05-26 00:01:54,531280057,SELL,M1,11,,,bear_weak,ok,none,none,off,ok,-3.56,[sl 4574.35]
2026-05-26 00:02:30,531280340,SELL,M1,2,,,bear_weak,ok,none,none,off,SHOULD-BLOCK,-13.16,[sl 4575.01]
2026-05-26 00:03:04,531280055,SELL,M1,1,,,bear_weak,ok,none,none,off,SHOULD-BLOCK,-11.84,[sl 4576.42]
2026-05-26 00:20:20,531291667,SELL,M1+M5,2,0.04,Y,bull_weak,COUNTER,ran,PASS,on/0p,SHOULD-BLOCK,2.00,[sl 4573.89]
2026-05-26 00:40:29,531295768,SELL,M1,2,0.04,Y,bull_weak,COUNTER,ran,none,on/1p,-,9.51,[tp 4567.65]
2026-05-26 00:40:29,531276229,BUY,M5,11,,,bull_weak,ok,ran,PASS,off,ok,-5.48,[sl 4567.41]
2026-05-26 00:40:29,531299406,SELL,M1,2,0.04,Y,sideway,ok,ran,round1_fallback_wait,on/0p,-,8.16,[tp 4567.65]
2026-05-26 00:41:30,531300841,BUY,M1,11,0.04,Y,sideway,ok,ran,round1_fallback_wait,on/0p,ok,-4.40,[sl 4566.66]
2026-05-26 00:45:25,531302566,SELL,M1,2,0.04,Y,sideway,ok,ran,round1_fallback_wait,on/0p,-,8.16,[tp 4565.16]
2026-05-26 00:53:51,531304707,SELL,M1,2,0.04,Y,sideway,ok,ran,round1_fallback_wait,on/0p,ok,0.64,[sl 4564.91]
2026-05-26 01:03:35,531280346,SELL,M5,1,,,bull_weak,COUNTER,ran,none,off,SHOULD-BLOCK,4.57,[sl 4567.55]
2026-05-26 01:03:59,531305736,BUY,M1,3,0.04,Y,sideway,ok,ran,round1_fallback_wait,on/2p,-,7.94,[tp 4568.04]
2026-05-26 01:06:49,531273756,SELL,M30,9,,,sideway,ok,none,none,off,SHOULD-BLOCK,2.95,[sl 4570.81]
2026-05-26 01:34:10,531308230,SELL,H1,1,0.04,Y,sideway,ok,ran,PASS,on/2p,-,3.04,H1_S1_P6
2026-05-26 05:02:59,531310903,SELL,M1,1,0.04,Y,bear_weak,ok,ran,PASS,on/0p,SHOULD-BLOCK,-11.04,[sl 4573.36]
2026-05-26 05:26:54,531320320,BUY,M1,1,0.04,Y,bull_weak,ok,ran,round1_fallback_wait,on/1p,ok,2.61,[sl 4574.04]
2026-05-26 05:31:30,531303727,SELL,M15,2,0.04,Y,bear_weak,ok,ran,PASS,on/2p,SHOULD-BLOCK,-0.66,[sl 4571.80]
2026-05-26 05:35:10,531320817,SELL,M1,3,0.04,Y,bull_weak,COUNTER,ran,round1_fallback_wait,on/2p,-,7.96,[tp 4570.35]
2026-05-26 05:38:30,531303729,SELL,M15,11,0.04,Y,bear_weak,ok,ran,PASS,on/0p,SHOULD-BLOCK,-3.60,[sl 4573.44]
2026-05-26 05:44:10,531320816,SELL,M1,1,0.04,Y,bull_weak,COUNTER,ran,round1_fallback_wait,on/2p,SHOULD-BLOCK,0.32,[sl 4574.17]
2026-05-26 05:54:44,531321952,SELL,M5,11,0.04,Y,sideway,ok,ran,PASS,on/0p,SHOULD-BLOCK,-8.36,[sl 4576.42]
2026-05-26 06:00:55,531322802,BUY,M1,2,0.04,Y,sideway,ok,ran,FAIL,on/4p,-,3.61,M1_S2_P1
2026-05-26 06:10:40,531324523,SELL,M1,2,0.04,Y,sideway,ok,ran,PASS,on/0p,SHOULD-BLOCK,-12.08,[sl 4578.48]
2026-05-26 06:12:30,531324955,SELL,M1,1,0.04,Y,bear_weak,ok,ran,PASS,on/0p,ok,-13.64,[sl 4579.05]
2026-05-26 06:19:28,531326496,SELL,M1,1,0.04,Y,bull_weak,COUNTER,ran,round1_fallback_wait,on/0p,ok,0.64,[sl 4578.25]
2026-05-26 06:19:28,531326497,SELL,M1,3,0.04,Y,bull_weak,COUNTER,ran,round1_fallback_wait,on/0p,ok,0.64,[sl 4578.25]
2026-05-26 06:21:20,531327041,BUY,M1,3,0.04,Y,-,ok,ran,round1_fallback_wait,on/0p,ok,-7.44,[sl 4576.84]
2026-05-26 06:28:20,531322536,BUY,M1,2,0.04,Y,bull_strong,ok,ran,round1_fallback_wait,on/0p,ok,-11.92,[sl 4567.84]
2026-05-26 06:33:19,531308812,BUY,M1,2,0.04,Y,sideway,ok,ran,round1_fallback_wait,on/0p,SHOULD-BLOCK,-13.28,[sl 4562.53]
2026-05-26 06:33:19,531324525,BUY,M30,11,0.04,Y,bull_weak,ok,ran,PASS,on/0p,ok,-22.88,[sl 4562.34]
2026-05-26 06:50:39,531344563,BUY,M1,1,0.04,Y,sideway,ok,ran,PASS,on/0p,ok,2.00,[sl 4559.24]
2026-05-26 07:01:50,531303654,SELL,M5+M15,2,0.04,Y,bear_weak,ok,ran,PASS,on/0p,-,78.16,[tp 4553.00]
2026-05-26 07:01:50,531316802,SELL,M15,9,0.04,Y,sideway,ok,none,none,on/0p,-,99.24,[tp 4553.00]
2026-05-26 07:01:50,531321951,SELL,M5,1,0.04,Y,sideway,ok,ran,PASS,on/3p,-,21.33,[tp 4553.00]
2026-05-26 07:03:00,531346763,BUY,M1,9,0.04,Y,sideway,ok,none,none,on/0p,ok,-21.48,[sl 4549.34]
2026-05-26 07:19:00,531324529,BUY,D1,11,0.04,Y,bear_weak,COUNTER,ran,PASS,on/3p,ok,-14.21,[sl 4542.68]
2026-05-26 07:19:00,531348304,BUY,M5,3,0.04,Y,-,ok,ran,round1_fallback_wait,on/0p,SHOULD-BLOCK,-61.08,[sl 4546.34]
2026-05-26 07:19:00,531348326,BUY,M5,1,0.04,Y,sideway,ok,ran,round1_fallback_wait,on/0p,SHOULD-BLOCK,-46.16,[sl 4547.22]
2026-05-26 07:19:00,531360989,BUY,M1,1,0.04,Y,bear_strong,COUNTER,ran,PASS,on/0p,ok,-22.56,[sl 4543.77]
2026-05-26 07:19:00,531362074,BUY,M1,3,0.04,Y,bear_strong,COUNTER,ran,PASS,on/0p,ok,-23.96,[sl 4545.84]
2026-05-26 07:30:45,531369742,SELL,M1,2,0.04,Y,bear_strong,ok,ran,none,on/0p,ok,-34.04,[sl 4552.12]
2026-05-26 07:37:09,531368169,BUY,M1,1,0.04,Y,bear_strong,COUNTER,ran,none,on/3p,ok,4.11,[sl 4549.61]
2026-05-26 07:44:34,531375618,BUY,M1+M5,2,0.04,Y,sideway,ok,ran,round1_fallback_wait,on/0p,ok,0.64,[sl 4548.23]
2026-05-26 07:45:24,531375619,BUY,M5,1,0.04,Y,sideway,ok,ran,round1_fallback_wait,on/1p,SHOULD-BLOCK,-1.44,[sl 4546.84]
2026-05-26 07:46:05,531377343,SELL,M1,2,0.04,Y,bear_strong,ok,ran,PASS,on/0p,ok,0.64,[sl 4548.64]
2026-05-26 07:48:30,531380442,BUY,M1,2,0.04,Y,bear_strong,COUNTER,ran,PASS,on/2p,ok,0.32,[sl 4547.08]
2026-05-26 07:52:10,531376292,SELL,M1,3,0.04,Y,-,ok,ran,PASS,on/3p,-,9.22,[tp 4541.49]
2026-05-26 07:56:35,531379944,BUY,M1,1,0.04,Y,bear_strong,COUNTER,ran,PASS,on/0p,ok,0.64,[sl 4546.16]
2026-05-26 07:59:05,531388166,SELL,M1,2,0.04,Y,sideway,ok,ran,none,on/0p,SHOULD-BLOCK,-26.16,[sl 4548.30]
2026-05-26 08:00:45,531359346,SELL,M5+M30,2,0.04,Y,sideway,ok,ran,round1_fallback_wait,on/3p,SHOULD-BLOCK,8.27,[sl 4544.53]
2026-05-26 08:04:20,531390444,BUY,M1,2,0.04,Y,sideway,ok,ran,PASS,on/1p,SHOULD-BLOCK,1.50,[sl 4545.50]
2026-05-26 08:16:05,531392564,BUY,M5,1,0.04,Y,sideway,ok,ran,PASS,on/2p,ok,2.28,[sl 4545.93]
2026-05-26 08:16:05,531401365,BUY,M1,3,0.04,Y,-,ok,ran,PASS,on/2p,ok,2.90,[sl 4545.93]
2026-05-26 08:16:05,531401367,BUY,M1,1,0.04,Y,bear_weak,COUNTER,ran,PASS,on/2p,ok,3.86,[sl 4545.93]
2026-05-26 08:32:50,531409473,SELL,M1,2,0.04,Y,sideway,ok,ran,PASS,on/3p,-,7.55,[tp 4539.50]
2026-05-26 09:16:04,531324527,BUY,D1,2,0.04,Y,bear_weak,COUNTER,ran,PASS,on/1p,-,-34.44,-
2026-05-26 09:16:10,531324528,BUY,D1,1,0.04,Y,bear_weak,COUNTER,ran,PASS,on/3p,-,-18.36,-
