[2026-09-17 17:30:56] SYMBOL_CHECK | XAUUSDm trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1789641056 | bid=4313.966 | ask=4314.226 | tick_ok=True | xau_open=True | current_symbol=XAUUSDm | startup=False
[2026-09-17 17:31:56] SYMBOL_CHECK | XAUUSDm trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1789641116 | bid=4313.144 | ask=4313.404 | tick_ok=True | xau_open=True | current_symbol=XAUUSDm | startup=False
[2026-09-17 17:32:55] SYMBOL_CHECK | XAUUSDm trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1789641176 | bid=4312.998 | ask=4313.258 | tick_ok=True | xau_open=True | current_symbol=XAUUSDm | startup=False
[2026-09-17 17:33:55] SYMBOL_CHECK | XAUUSDm trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1789641235 | bid=4313.384 | ask=4313.644 | tick_ok=True | xau_open=True | current_symbol=XAUUSDm | startup=False
[2026-09-17 17:34:56] SYMBOL_CHECK | XAUUSDm trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1789641296 | bid=4314.581 | ask=4314.841 | tick_ok=True | xau_open=True | current_symbol=XAUUSDm | startup=False
[2026-09-17 17:35:46] POSITION_CLOSED | 🛑 SL Hit | ticket=3836212051 | side=SELL | symbol=XAUUSDm | tf=M15 | pattern=- | trend_filter=- | open_price=4309.37 | close_price=4316.36 | sl=4316.36 | tp=4303.23 | profit=-349.5 | reason=[sl 4316.36000] | close_time=17:35:45 17/09/2026
[2026-09-17 17:35:46] TG_SENT | 🔴 *🛑 SL Hit* | ━━━━━━━━━━━━━━━━━ | 📊 TF: M15 | 📊 SELL XAUUSDm | 📌 เปิด: `4309.37` | 📌 ปิด: `4316.36` | 🛑 SL: `4316.36` | 🎯 TP: `4303.23` | 💬 เหตุผล: `[sl 4316.36000]` | 💸 P/L: `-349.5` USD | 🔖 Ticket: `3836212051` | 🕐 Close Time: `17:35:45 17/09/2026`
[2026-09-17 17:35:56] SYMBOL_CHECK | XAUUSDm trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1789641356 | bid=4317.496 | ask=4317.756 | tick_ok=True | xau_open=True | current_symbol=XAUUSDm | startup=False
[2026-09-17 17:36:55] SYMBOL_CHECK | XAUUSDm trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1789641416 | bid=4318.233 | ask=4318.493 | tick_ok=True | xau_open=True | current_symbol=XAUUSDm | startup=False
[2026-09-17 17:37:55] SYMBOL_CHECK | XAUUSDm trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1789641475 | bid=4317.406 | ask=4317.666 | tick_ok=True | xau_open=True | current_symbol=XAUUSDm | startup=False
[2026-09-17 17:38:56] SYMBOL_CHECK | XAUUSDm trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1789641536 | bid=4317.095 | ask=4317.355 | tick_ok=True | xau_open=True | current_symbol=XAUUSDm | startup=False
[2026-09-17 17:39:55] SYMBOL_CHECK | XAUUSDm trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1789641596 | bid=4316.591 | ask=4316.851 | tick_ok=True | xau_open=True | current_symbol=XAUUSDm | startup=False
[2026-09-17 17:40:55] SYMBOL_CHECK | XAUUSDm trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1789641656 | bid=4315.389 | ask=4315.649 | tick_ok=True | xau_open=True | current_symbol=XAUUSDm | startup=False
[2026-09-17 17:41:55] SYMBOL_CHECK | XAUUSDm trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1789641716 | bid=4314.934 | ask=4315.194 | tick_ok=True | xau_open=True | current_symbol=XAUUSDm | startup=False
[2026-09-17 17:42:55] SYMBOL_CHECK | XAUUSDm trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1789641776 | bid=4315.063 | ask=4315.323 | tick_ok=True | xau_open=True | current_symbol=XAUUSDm | startup=False
[2026-09-17 17:43:55] SYMBOL_CHECK | XAUUSDm trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1789641836 | bid=4316.678 | ask=4316.938 | tick_ok=True | xau_open=True | current_symbol=XAUUSDm | startup=False
[2026-09-17 17:44:56] SYMBOL_CHECK | XAUUSDm trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1789641896 | bid=4316.484 | ask=4316.744 | tick_ok=True | xau_open=True | current_symbol=XAUUSDm | startup=False
