[2026-07-27 17:46:42] APP_START | Bot starting | symbol=XAUUSD | scan_interval=1
[2026-07-27 17:46:43] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-27 17:46:43] SYMBOL_CHECK | XAUUSD.iux trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1785152803 | bid=4100.64 | ask=4100.86 | tick_ok=True | xau_open=True | current_symbol=BTCUSD.iux | startup=True
[2026-07-27 17:46:44] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4100.36 | sweep_bar=18:42 27-Jul-2026 | confirm_bar=18:44 27-Jul-2026
[2026-07-27 17:46:44] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M5 | ref_price=4098.39 | sweep_bar=17:50 27-Jul-2026 | confirm_bar=17:55 27-Jul-2026
[2026-07-27 17:46:44] SWEEP_ACTIVATE | SWEEP_LOW | tf=M5 | ref_price=4090.52 | sweep_bar=18:10 27-Jul-2026 | confirm_bar=18:15 27-Jul-2026
[2026-07-27 17:46:44] SWEEP_ACTIVATE | SWEEP_LOW | tf=M15 | ref_price=4023.14 | sweep_bar=13:45 24-Jul-2026 | confirm_bar=13:45 24-Jul-2026
[2026-07-27 17:46:44] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M15 | ref_price=4051.25 | sweep_bar=15:30 24-Jul-2026 | confirm_bar=15:45 24-Jul-2026
[2026-07-27 17:46:44] SWEEP_ACTIVATE | SWEEP_LOW | tf=M30 | ref_price=4040.06 | sweep_bar=10:30 24-Jul-2026 | confirm_bar=10:30 24-Jul-2026
[2026-07-27 17:46:44] SWEEP_ACTIVATE | SWEEP_LOW | tf=H1 | ref_price=4040.06 | sweep_bar=10:00 24-Jul-2026 | confirm_bar=10:00 24-Jul-2026
[2026-07-27 17:46:44] SWEEP_ACTIVATE | SWEEP_HIGH | tf=H1 | ref_price=4082.04 | sweep_bar=06:00 27-Jul-2026 | confirm_bar=06:00 27-Jul-2026
[2026-07-27 17:46:45] SWEEP_ACTIVATE | SWEEP_LOW | tf=H12 | ref_price=4021.78 | sweep_bar=19:00 13-Jul-2026 | confirm_bar=19:00 14-Jul-2026
[2026-07-27 17:46:57] SCAN_SLOW | scan cycle ใช้เวลา 14.22s > 3s | breakdown=sl_tp_hits=0.00s cancel_pending=0.00s engulf_trail_sl=0.00s opposite_order_tp=0.00s entry_candle_quality=0.00s s3_maru_pending=0.00s fvg_pending=0.00s pb_pending=0.00s s12_management=0.00s scan_all_tf=14.20s export_trend_state=0.01s
[2026-07-27 17:46:57] NEWS_FILTER_TRANSIENT | rate limited 429; keeping cached events=0
[2026-07-27 17:46:57] TG_SENT | 🟡 *XAUUSD เปิดแล้ว* → สลับกลับ XAUUSD.iux
[2026-07-27 17:46:58] TG_SENT | ⚡ *สั่งสแกนทันทีหลังสลับ symbol*  | 📈 SYMBOL: `XAUUSD.iux`
[2026-07-27 17:46:59] TG_SENT | 🚀 *Auto Scan เริ่มต้น!* | ━━━━━━━━━━━━━━━━━ | 📋 Strategy: *ไม่มี* | ⏰ Interval: *1 นาที* | 🕐 Timeframes: *M1,M5,M15,M30,H1,H4,H12,D1*
[2026-07-27 17:47:00] TG_SENT | ✅ *MT5 เชื่อมต่อสำเร็จ!* | ━━━━━━━━━━━━━━━━━ | 🤖 Bot เริ่มทำงาน | 💰 Account: `2101182459` | 📊 Balance: `302563.14` | 📈 SYMBOL: `XAUUSD.iux` | ⏰ Scan ทุก 5 วินาที | 🕒 Time Mode: `MT5->BKK +6` | 🕒 MT5 Server: `UTC+1` | 🕒 Display: `BKK` | 📋 Strategy:  | 🕐 TF: M1, M5, M15, M30, H1, H4, H12, D1 |  | ♻️ *Restore state สำเร็จ* | 🗂 Saved at: `2026-07-25 05:37:28` | 📦 pending map: `0` | 📍 position tf: `0` | 📝 entry state: `0` | 📐 trail state: `0`
[2026-07-27 17:47:42] SYMBOL_CHECK | XAUUSD.iux trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1785152863 | bid=4101.46 | ask=4101.68 | tick_ok=True | xau_open=True | current_symbol=XAUUSD.iux | startup=False
[2026-07-27 17:48:42] SYMBOL_CHECK | XAUUSD.iux trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1785152921 | bid=4102.07 | ask=4102.29 | tick_ok=True | xau_open=True | current_symbol=XAUUSD.iux | startup=False
[2026-07-27 17:49:42] SYMBOL_CHECK | XAUUSD.iux trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1785152982 | bid=4102.19 | ask=4102.41 | tick_ok=True | xau_open=True | current_symbol=XAUUSD.iux | startup=False
[2026-07-27 17:50:41] SYMBOL_CHECK | XAUUSD.iux trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1785153042 | bid=4101.91 | ask=4102.13 | tick_ok=True | xau_open=True | current_symbol=XAUUSD.iux | startup=False
[2026-07-27 17:51:42] SYMBOL_CHECK | XAUUSD.iux trade_mode=4 xau_open=True | trade_mode=4 | tick_time=1785153100 | bid=4101.66 | ask=4101.88 | tick_ok=True | xau_open=True | current_symbol=XAUUSD.iux | startup=False
[2026-07-27 17:51:43] DEMO_PORTFOLIO_SCAN | XAUUSD.iux open active=LTS_AVENGERS_HIGH_RISK
[2026-07-27 17:51:43] DEMO_PORTFOLIO_CB_TRIGGER | LTS_AVENGERS_HIGH_RISK_951 circuit breaker triggered (cooldown=10 trades)
[2026-07-27 17:51:43] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_1 skipped - hour 17 != 8
[2026-07-27 17:51:43] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_2 skipped - hour 17 != 10
[2026-07-27 17:51:43] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_4 skipped - hour 17 != 9
[2026-07-27 17:51:43] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_5 skipped - hour 17 != 11
[2026-07-27 17:51:43] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_6 skipped - risk_distance 5.32 > 4.00
