[2026-09-17 18:58:45] TG_DROP | TelegramError: httpx.ConnectError: [Errno 11001] getaddrinfo failed | text=🔴 *🛑 SL Hit* ━━━━━━━━━━━━━━━━━ 📊 TF: M15 📊 SELL XAUUSD.iux 📌 เปิด: `4279.24` 📌 ปิด: `4352.74` 🛑 SL: `4352.74` | 🎯 TP: `4...
[2026-09-17 19:00:53] TG_DROP | TelegramError: httpx.ConnectError: [Errno 11001] getaddrinfo failed | text=🔴 *🛑 SL Hit* ━━━━━━━━━━━━━━━━━ 📊 TF: H1 📊 SELL XAUUSD.iux 📌 เปิด: `4306.5` 📌 ปิด: `4353.8` 🛑 SL: `4353.8` | 🎯 TP: `4234....
[2026-09-17 19:19:15] TG_DROP | TelegramError: httpx.ConnectError: [Errno 11001] getaddrinfo failed | text=🟢 *🎯 TP Hit* ━━━━━━━━━━━━━━━━━ 📊 TF: M15 📊 BUY XAUUSD.iux 📌 เปิด: `4283.81` 📌 ปิด: `4365.3` 🛑 SL: `4132.02` | 🎯 TP: `436...
[2026-09-17 19:19:15] TG_DROP | TelegramError: httpx.ConnectError: [Errno 11001] getaddrinfo failed | text=🔴 *🛑 SL Hit* ━━━━━━━━━━━━━━━━━ 📊 TF: M15 📊 SELL XAUUSD.iux 📌 เปิด: `4288.01` 📌 ปิด: `4365.3` 🛑 SL: `4365.3` | 🎯 TP: `413...
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=582778112 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=583426052 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580363269 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580956677 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580409863 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580409864 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=586294277 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=582051594 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=587103246 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=584654870 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580981271 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=587076639 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=582042400 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580074530 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=586759460 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=584830246 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=581187623 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=581187624 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580977963 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=586997036 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=587027244 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=585955376 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580371250 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=587332403 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580096567 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=587018301 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=584336959 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=582021451 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580965964 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580158034 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=582756690 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580949332 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580411990 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=582032470 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580377444 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580928614 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580276582 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=582746216 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=584220781 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=583215214 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=584348013 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=584198512 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=587090038 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=581011072 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=587035264 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=587111040 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580436352 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=583190150 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580441991 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=581207178 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=583907466 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=579130511 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=587328657 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=582823067 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=582059164 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=584310171 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=583221148 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=584824744 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=581006509 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580917173 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=583395511 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=587356345 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580915389 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=587007677 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580969932 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580940749 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=582790351 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=580076757 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
[2026-09-18 05:01:01] PHANTOM_CLOSE_GUARD | ticket=584613589 หายจาก positions_get(symbol=SYMBOL) ชั่วขณะ แต่ยังเปิดอยู่จริง (positions_get(ticket=...) เจอ) — ข้ามรอบนี้ไม่ถือว่าปิด
