SIM_Open_Time,MT5_Open_Time,SIM_Close_Time,MT5_Close_Time,SIM_Leg,SIM_TF,MT5_TF,SIM_Type,MT5_Type,SIM_Entry,MT5_Entry,MT5_Close_Price,SIM_SL,MT5_SL,SIM_TP,MT5_TP,SIM_Lot,MT5_Volume,SIM_P&L,MT5_P&L,SIM_Balance,MT5_Balance,MT5_Comment,MT5_Position_ID,Matched,Match_Detail,SIM_Reason,MT5_Reason,Sim_point,MT5_point
,2026-09-16 19:59:47,,2026-09-16 19:59:49,,,M1,,SELL,,4348.16,4348.58,,,,,,0.01,,-0.42,,4994.56,M1_S20.301,4719914001,False,MT5_ONLY,No matching backtest signal found,[sl 4348.580],,-42.0
,2026-09-16 20:07:42,,2026-09-16 20:08:01,,,M1,,SELL,,4348.03,4347.32,,,,,,0.01,,0.71,,4993.58,M1_S20.301,4720320981,False,MT5_ONLY,No matching backtest signal found,[sl 4347.320],,71.0
,2026-09-16 20:13:04,,2026-09-16 20:13:05,,,M1,,SELL,,4353.05,4355.869,,,,,,0.01,,-2.82,,4988.98,M1_S20.301,4719824156,False,MT5_ONLY,No matching backtest signal found,[sl 4353.630],,-281.9
,2026-09-16 20:13:04,,2026-09-16 20:13:06,,,M1,,SELL,,4353.51,4354.92,,,,,,0.01,,-1.41,,4987.57,M1_S20.301,4719783495,False,MT5_ONLY,No matching backtest signal found,[sl 4353.900],,-141.0
,2026-09-16 20:56:15,,2026-09-16 20:56:54,,,M1,,BUY,,4335.21,4336.28,,,,,,0.01,,1.07,,4991.99,M1_S20.301,4720098007,False,MT5_ONLY,No matching backtest signal found,[sl 4336.28000],,107.0
,2026-09-17 01:01:16,,2026-09-17 01:01:53,,,H4,,BUY,,4324.47,4317.94,,,,,,0.01,,-6.53,,4951.12,H4_S20.301,4721758673,False,MT5_ONLY,No matching backtest signal found,[sl 4317.94000],,-653.0
,2026-09-17 07:20:29,,2026-09-17 07:20:51,,,M1,,SELL,,4286.46,4287.685,,,,,,0.01,,-1.23,,4897.41,M1_S20.301,4724884529,False,MT5_ONLY,No matching backtest signal found,[sl 4287.17000],,-122.5
,2026-09-17 09:42:19,,2026-09-17 09:42:21,,,M1,,SELL,,4286.19,4287.015,,,,,,0.01,,-0.83,,4880.39,M1_S20.301,4725672975,False,MT5_ONLY,No matching backtest signal found,[sl 4286.78000],,-82.5
,2026-09-17 09:55:06,,2026-09-17 09:55:08,,,M1,,BUY,,4274.74,4274.05,,,,,,0.01,,-0.69,,4874.89,M1_S20.301,4725766737,False,MT5_ONLY,No matching backtest signal found,[sl 4274.05000],,-69.0
,2026-09-17 12:24:18,,2026-09-17 12:24:20,,,M1,,BUY,,4285.83,4285.42,,,,,,0.01,,-0.41,,4869.28,M1_S20.301,4726376264,False,MT5_ONLY,No matching backtest signal found,[sl 4285.420],,-41.0
,2026-09-17 12:48:12,,2026-09-17 12:48:18,,,M1,,SELL,,4298.83,4299.53,,,,,,0.01,,-0.7,,4866.79,M1_S20.301,4726494301,False,MT5_ONLY,No matching backtest signal found,[sl 4299.530],,-70.0
