time,fill_time,exit_time,dir,entry,sl,tp,outcome,profit,reason
2026-03-04 20:55,2026-03-04 21:00,2026-03-04 22:00,SELL,5174.54,5193.19,5118.59,TRAIL,15.41,"Swept 5184.92 (age 49), disp 14.47/9.37ATR, confirm: FVG"
2026-03-05 12:55,2026-03-05 13:00,2026-03-05 13:20,SELL,5153.82,5168.2,5110.65,TRAIL,14.39,"Swept 5159.09 (age 1), disp 9.48/6.01ATR, confirm: FVG"
2026-03-05 20:20,2026-03-05 20:25,2026-03-05 22:10,SELL,5120.99,5163.93,4992.16,TRAIL,36.74,"Swept 5158.84 (age 33), disp 27.63/11.31ATR, confirm: FVG"
2026-03-06 03:15,2026-03-06 03:20,2026-03-06 08:55,BUY,5083.61,5063.91,5142.69,TP,58.88,"Swept 5067.29 (age 16), disp 11.90/8.33ATR, confirm: FVG"
2026-03-10 14:20,2026-03-10 14:25,2026-03-10 14:50,SELL,5165.08,5179.28,5122.48,SL,-14.4,"Swept 5174.31 (age 21), disp 9.14/5.17ATR, confirm: FVG"
2026-03-10 17:35,2026-03-10 17:40,2026-03-10 18:00,SELL,5163.37,5178.72,5117.32,SL,-15.55,"Swept 5174.31 (age 60), disp 12.25/6.11ATR, confirm: FVG"
2026-03-11 02:30,2026-03-11 02:35,2026-03-11 07:20,SELL,5192.52,5209.31,5142.16,SL,-16.99,"Swept 5205.05 (age 8), disp 14.05/9.80ATR, confirm: FVG"
2026-03-16 18:50,2026-03-16 19:10,2026-03-16 19:25,SELL,5004.78,5020.62,4957.28,SL,-16.04,"Swept 5016.48 (age 56), disp 12.40/7.14ATR, confirm: FVG"
2026-03-24 12:40,2026-03-24 12:55,2026-03-24 13:40,BUY,4350.16,4326.88,4420.02,TRAIL,26.87,"Swept 4335.18 (age 22), disp 19.92/12.63ATR, confirm: FVG"
2026-03-25 19:35,2026-03-25 19:45,2026-03-25 22:05,BUY,4544.18,4518.36,4621.61,TRAIL,15.61,"Swept 4527.90 (age 33), disp 15.78/10.65ATR, confirm: RSIx28"
2026-03-31 13:10,2026-03-31 13:15,2026-03-31 13:30,SELL,4556.52,4573.03,4506.98,SL,-16.71,"Swept 4569.40 (age 9), disp 11.45/6.54ATR, confirm: FVG"
2026-04-07 13:25,2026-04-07 13:35,2026-04-07 14:55,SELL,4639.52,4656.51,4588.56,SL,-17.19,"Swept 4651.32 (age 16), disp 14.01/5.12ATR, confirm: FVG"
2026-04-10 23:35,2026-04-10 23:40,2026-04-13 06:05,SELL,4765.68,4781.49,4718.27,TP,47.21,"Swept 4777.67 (age 29), disp 14.61/8.88ATR, confirm: FVG"
2026-04-13 16:40,2026-04-13 16:45,2026-04-13 18:40,SELL,4725.28,4736.44,4691.8,TRAIL,6.97,"Swept 4733.83 (age 13), disp 8.85/5.23ATR, confirm: FVG"
2026-04-21 08:25,2026-04-21 08:40,2026-04-21 10:40,SELL,4822.49,4830.22,4799.3,TRAIL,15.2,"Swept 4827.58 (age 1), disp 5.70/3.11ATR, confirm: FVG"
