date,trades,net_profit
2025-10-16,1,6.23
2025-10-17,1,5.62
2025-10-20,1,4.51
2025-10-24,1,-5.85
2025-10-25,1,-8.47
2025-10-31,1,-5.5
2025-11-04,1,4.11
2025-11-07,1,3.1
2025-11-08,1,3.31
2025-11-10,1,-4.86
2025-11-13,1,5.1
2025-11-17,2,14.32
2025-11-20,1,6.3
2025-11-21,1,-7.55
2025-11-26,1,0.85
2025-12-05,1,1.25
2025-12-08,2,6.43
2025-12-10,1,1.26
2025-12-20,1,3.38
2025-12-30,1,-6.19
2026-01-03,1,5.97
2026-01-06,1,3.95
2026-01-07,2,-1.9899999999999998
2026-01-12,1,-5.94
2026-01-15,1,-5.9
2026-01-17,1,6.02
2026-01-27,2,-3.8
2026-01-28,1,4.15
2026-01-30,2,0.9599999999999973
2026-02-04,1,-10.59
2026-02-07,1,8.35
2026-02-09,1,10.0
2026-02-10,1,5.66
2026-02-11,1,4.95
2026-02-12,1,4.88
2026-02-25,2,-1.6000000000000005
2026-03-04,1,-9.98
2026-03-05,1,-5.5
2026-03-06,1,9.21
2026-03-07,1,6.15
2026-03-09,2,-1.2699999999999996
2026-03-10,1,-6.54
2026-03-12,1,2.67
2026-03-18,1,3.28
2026-03-23,1,-17.41
2026-03-26,1,7.99
2026-03-27,1,-9.97
2026-04-01,1,-7.59
2026-04-02,2,3.5700000000000003
2026-04-13,1,4.47
2026-04-15,1,5.24
2026-04-16,2,0.6200000000000001
2026-04-21,1,3.85
2026-04-23,1,4.08
2026-04-27,1,2.36
2026-05-06,1,-4.59
2026-05-07,1,3.31
2026-05-08,1,4.05
2026-05-19,1,6.07
2026-05-21,1,-5.09
2026-05-28,2,8.08
2026-06-05,2,7.34
2026-06-06,1,-7.82
2026-06-15,1,3.35
2026-06-16,2,6.52
2026-06-17,2,4.58
2026-06-26,1,6.28
2026-07-02,1,4.24
2026-07-08,1,2.9
2026-07-09,1,-7.09
2026-07-11,1,-3.57
