time,exit_time,dir,entry,sl,tp,outcome,profit,reason
2025-10-16 01:10,2025-10-16 01:15,BUY,4185.31,4178.11,4191.74,TP,6.23,"Lower edge reject, RSI7 28, z -2.45"
2025-10-17 13:30,2025-10-17 13:35,BUY,4354.49,4339.75,4360.31,TP,5.62,"Lower edge reject, RSI7 30, z -1.87"
2025-10-20 17:50,2025-10-20 18:00,SELL,4262.91,4267.66,4258.2,TP,4.51,"Upper edge reject, RSI7 76, z 1.57"
2025-10-24 03:20,2025-10-24 03:35,BUY,4129.27,4123.62,4134.3,SL,-5.85,"Lower edge reject, RSI7 24, z -2.37"
2025-10-25 01:30,2025-10-25 01:40,BUY,4120.49,4112.22,4126.22,SL,-8.47,"Lower edge reject, RSI7 26, z -1.99"
2025-10-31 19:15,2025-10-31 19:20,SELL,4013.0,4018.3,4008.57,SL,-5.5,"Upper edge reject, RSI7 71, z 1.92"
2025-11-04 17:00,2025-11-04 17:10,BUY,3988.99,3984.48,3993.3,TP,4.11,"Lower edge reject, RSI7 30, z -2.03"
2025-11-07 16:15,2025-11-07 16:30,SELL,4011.82,4015.68,4008.52,TP,3.1,"Upper edge reject, RSI7 68, z 1.98"
2025-11-08 03:25,2025-11-08 03:35,BUY,3998.29,3992.95,4001.8,TP,3.31,"Lower edge reject, RSI7 32, z -1.97"
2025-11-10 19:00,2025-11-10 19:15,SELL,4085.31,4089.97,4082.13,SL,-4.86,"Upper edge reject, RSI7 73, z 1.92"
2025-11-13 17:55,2025-11-13 18:05,BUY,4225.53,4220.08,4230.83,TP,5.1,"Lower edge reject, RSI7 26, z -2.10"
2025-11-17 06:15,2025-11-17 07:00,SELL,4097.36,4106.85,4090.25,TP,6.91,"Upper edge reject, RSI7 71, z 1.80"
2025-11-17 08:35,2025-11-17 08:50,SELL,4101.28,4108.51,4093.67,TP,7.41,"Upper edge reject, RSI7 71, z 2.44"
2025-11-20 18:00,2025-11-20 18:35,BUY,4055.18,4049.1,4061.68,TP,6.3,"Lower edge reject, RSI7 26, z -2.43"
