date,trades,net_profit
2026-03-04,1,-9.97
2026-03-05,1,-6.24
2026-03-06,1,9.29
2026-03-07,1,6.25
2026-03-09,2,-1.3899999999999988
2026-03-10,1,-6.56
2026-03-12,1,2.71
2026-03-18,1,3.32
2026-03-23,1,-17.49
2026-03-26,1,7.97
2026-03-27,1,-10.06
2026-04-01,1,-7.55
2026-04-02,2,3.4899999999999984
2026-04-13,1,4.46
2026-04-15,1,5.23
2026-04-16,2,0.6200000000000001
2026-04-21,1,3.86
2026-04-23,1,4.12
2026-04-27,1,2.4
2026-05-06,1,-4.58
2026-05-07,1,3.32
2026-05-08,1,3.9
2026-05-19,1,5.77
2026-05-21,1,-4.88
2026-05-28,2,8.17
2026-06-05,2,7.359999999999999
2026-06-06,1,-7.87
2026-06-15,1,3.37
2026-06-16,2,6.58
2026-06-17,2,4.52
2026-06-26,1,6.33
2026-07-02,1,4.25
2026-07-08,1,2.99
2026-07-09,1,-7.08
