days,date,base,leg,cap_w,stress_day_at_W,pass_floor_-999.91
90,2026-05-20,336.22447,4.92,271.572,-158.54549,True
90,2026-06-29,290.66235,4.89,263.9207,-201.09072,True
120,2026-01-19,-65.93966,4.2,222.3739,-488.30426,True
120,2026-05-20,355.35447,4.92,275.4603,-139.41549,True
120,2026-06-29,368.98675,4.89,279.938,-122.76632,True
150,2025-12-01,310.69739,4.5,291.2461,-141.83611,True
150,2025-12-02,1310.52142,4.62,500.0934,845.92036,True
150,2025-12-08,237.43814,4.47,276.8117,-212.07847,True
150,2025-12-09,495.46832,4.98,300.2768,-5.33542,True
150,2025-12-16,902.19901,4.2,452.8831,479.83441,True
150,2025-12-17,1842.26102,4.95,574.176,1344.47417,True
150,2026-01-19,-54.3836,4.2,225.1253,-476.7482,True
150,2026-05-20,495.51667,4.92,303.9485,0.74671,True
150,2026-06-29,374.36364,4.89,281.0376,-117.38943,True
180,2025-09-30,394.10814,4.35,320.4639,-43.34091,True
180,2025-10-06,-468.93645,5.28,100.5632,-999.90909,True
180,2025-10-08,1266.19599,4.68,484.2107,795.56115,True
180,2025-12-01,-99.12891,4.5,200.1736,-551.66241,True
180,2025-12-02,1366.75142,4.62,512.2644,902.15036,True
180,2025-12-08,221.38084,4.47,273.2194,-228.13577,True
180,2025-12-09,445.93687,4.98,290.3307,-54.86687,True
180,2025-12-16,1081.35301,4.2,495.5388,658.98841,True
180,2025-12-17,1913.57853,4.95,588.5835,1415.79168,True
180,2026-01-19,95.8364,4.2,260.892,-326.5282,True
180,2026-05-20,604.54667,4.92,326.1091,109.77671,True
180,2026-06-29,468.64364,4.89,300.3177,-23.10943,True
