time,fill_time,exit_time,dir,entry,sl,tp,outcome,profit,reason
2026-02-24 19:00,2026-02-25 08:00,2026-02-28 03:00,SELL,5188.38,5261.66,4968.54,SL,-73.48,"CHoCH down: close 5150.77 < HL 5156.65 after HH 5249.74, disp 21.95/23.84ATR"
2026-03-27 21:00,2026-03-30 07:00,2026-04-02 00:00,BUY,4449.52,4336.19,4789.49,TP,339.77,"CHoCH up: close 4509.78 > LH 4475.02 after LL 4351.19, disp 77.95/30.00ATR"
2026-04-02 13:00,2026-04-02 22:00,2026-04-08 07:00,SELL,4672.63,4819.93,4230.76,SL,-147.5,"CHoCH down: close 4594.37 < HL 4667.08 after HH 4800.33, disp 78.20/39.20ATR"
2026-04-07 16:00,2026-04-07 18:00,2026-04-08 06:00,BUY,4657.73,4605.17,4815.42,TP,157.49,"CHoCH up: close 4682.94 > LH 4667.88 after LL 4616.61, disp 36.86/22.88ATR"
2026-04-20 07:00,2026-04-20 09:00,2026-04-29 21:00,SELL,4806.24,4903.32,4514.99,TP,291.05,"CHoCH down: close 4755.10 < HL 4778.73 after HH 4889.68, disp 24.27/27.29ATR"
2026-04-29 15:00,2026-04-30 14:00,2026-04-30 16:00,SELL,4584.0,4617.03,4484.92,SL,-33.23,"CHoCH down: close 4567.87 < HL 4576.17 after HH 4610.32, disp 16.68/13.42ATR"
2026-05-04 23:00,2026-05-05 20:00,2026-05-06 15:00,SELL,4574.18,4671.63,4281.8,SL,-97.65,"CHoCH down: close 4521.45 < HL 4526.14 after HH 4660.20, disp 40.08/22.87ATR"
2026-05-13 03:00,2026-05-13 17:00,2026-05-15 08:00,BUY,4686.3,4628.24,4860.47,SL,-58.26,"CHoCH up: close 4715.69 > LH 4711.55 after LL 4638.35, disp 19.71/20.21ATR"
2026-05-20 22:00,2026-05-21 21:00,2026-05-27 19:00,BUY,4501.7,4442.2,4680.17,SL,-59.7,"CHoCH up: close 4531.26 > LH 4508.98 after LL 4453.46, disp 48.18/22.51ATR"
2026-06-02 12:00,2026-06-02 22:00,2026-06-03 17:00,BUY,4491.01,4440.06,4643.86,SL,-51.15,"CHoCH up: close 4517.48 > LH 4512.92 after LL 4447.82, disp 18.10/15.52ATR"
2026-06-04 19:00,2026-06-04 22:00,2026-06-05 20:00,BUY,4478.35,4413.86,4671.85,SL,-64.69,"CHoCH up: close 4511.70 > LH 4484.03 after LL 4423.95, disp 38.01/20.19ATR"
2026-07-07 20:00,2026-07-07 22:00,2026-07-08 03:00,BUY,4151.19,4109.04,4277.63,SL,-42.35,"CHoCH up: close 4172.33 > LH 4168.48 after LL 4116.69, disp 15.60/15.30ATR"
