time,fill_time,exit_time,dir,entry,sl,tp,outcome,profit,reason
2025-03-10 23:00,2025-03-11 15:00,2025-03-12 23:00,SELL,2907.77,2937.06,2819.89,SL,-29.49,"CHoCH down: close 2885.28 < HL 2902.07 after HH 2930.25, disp 19.23/13.61ATR"
2025-04-03 15:00,2025-04-03 19:00,2025-04-07 03:00,SELL,3122.27,3160.75,3006.8,TP,115.27,"CHoCH down: close 3095.57 < HL 3100.90 after HH 3148.96, disp 32.24/23.59ATR"
2025-07-15 23:00,2025-07-16 23:00,2025-07-21 19:00,SELL,3351.87,3383.02,3258.42,SL,-31.35,"CHoCH down: close 3328.81 < HL 3340.99 after HH 3374.93, disp 19.14/16.18ATR"
2025-08-20 19:00,2025-08-21 15:00,2025-08-28 07:00,BUY,3329.26,3305.96,3399.13,TP,69.67,"CHoCH up: close 3346.95 > LH 3345.28 after LL 3311.56, disp 20.31/11.19ATR"
2025-10-09 23:00,2025-10-10 23:00,2025-10-13 11:00,SELL,4008.22,4075.3,3807.0,SL,-67.28,"CHoCH down: close 3957.21 < HL 4001.34 after HH 4059.23, disp 66.97/32.13ATR"
2025-11-17 23:00,2025-11-19 19:00,2025-12-11 23:00,SELL,4128.13,4267.45,3710.17,SL,-139.52,"CHoCH down: close 4011.14 < HL 4032.17 after HH 4245.12, disp 53.20/44.66ATR"
2025-12-05 19:00,2025-12-05 23:00,2025-12-12 19:00,BUY,4209.34,4163.87,4345.74,TP,136.2,"CHoCH up: close 4243.70 > LH 4241.52 after LL 4174.97, disp 20.16/22.20ATR"
2025-12-08 19:00,2025-12-09 23:00,2025-12-11 23:00,SELL,4221.09,4270.2,4073.73,SL,-49.31,"CHoCH down: close 4182.86 < HL 4192.02 after HH 4259.31, disp 25.58/21.79ATR"
2026-02-12 23:00,2026-02-13 23:00,2026-02-23 03:00,SELL,5032.35,5148.05,4685.26,SL,-115.9,"CHoCH down: close 4945.38 < HL 5019.32 after HH 5119.33, disp 114.95/57.45ATR"
2026-02-27 19:00,2026-03-03 15:00,2026-03-03 15:00,BUY,5184.97,5111.56,5405.19,SL,-73.61,"CHoCH up: close 5239.36 > LH 5200.80 after LL 5130.57, disp 53.69/38.03ATR"
2026-04-17 19:00,2026-04-20 03:00,2026-04-20 07:00,BUY,4820.47,4750.37,5030.76,SL,-70.3,"CHoCH up: close 4873.22 > LH 4838.34 after LL 4767.72, disp 85.79/34.69ATR"
2026-04-30 15:00,2026-05-01 15:00,2026-05-18 07:00,BUY,4574.93,4490.18,4829.2,SL,-84.95,"CHoCH up: close 4639.74 > LH 4610.32 after LL 4510.13, disp 50.20/39.90ATR"
2026-05-04 23:00,2026-05-06 07:00,2026-05-06 15:00,SELL,4588.26,4679.43,4314.75,SL,-91.37,"CHoCH down: close 4516.32 < HL 4560.28 after HH 4660.20, disp 45.21/38.46ATR"
