time,fill_time,exit_time,dir,entry,sl,tp,outcome,profit,reason
2025-02-25 19:00,2025-02-26 07:00,2025-03-13 19:00,SELL,2925.0,2963.99,2808.04,SL,-39.19,"CHoCH down: close 2905.88 < HL 2921.27 after HH 2956.20, disp 32.80/15.58ATR"
2025-03-10 23:00,2025-03-11 11:00,2025-03-12 23:00,SELL,2902.37,2937.06,2798.31,SL,-34.89,"CHoCH down: close 2885.28 < HL 2902.07 after HH 2930.25, disp 19.23/13.61ATR"
2025-04-03 15:00,2025-04-03 19:00,2025-04-07 07:00,SELL,3115.86,3160.75,2981.17,TP,134.49,"CHoCH down: close 3095.57 < HL 3100.90 after HH 3148.96, disp 32.24/23.59ATR"
2025-04-23 19:00,2025-04-24 07:00,2025-09-02 23:00,SELL,3363.88,3522.92,2886.78,SL,-159.24,"CHoCH down: close 3280.40 < HL 3283.95 after HH 3500.09, disp 44.26/45.65ATR"
2025-05-27 11:00,2025-05-28 15:00,2025-06-02 19:00,SELL,3323.2,3375.66,3165.85,SL,-52.66,"CHoCH down: close 3297.04 < HL 3323.38 after HH 3365.89, disp 44.23/19.53ATR"
2025-07-15 23:00,2025-07-16 23:00,2025-07-21 19:00,SELL,3346.34,3383.02,3236.28,SL,-36.88,"CHoCH down: close 3328.81 < HL 3340.99 after HH 3374.93, disp 19.14/16.18ATR"
2025-08-20 19:00,2025-08-21 15:00,2025-08-28 23:00,BUY,3333.5,3305.96,3416.12,TP,82.42,"CHoCH up: close 3346.95 > LH 3345.28 after LL 3311.56, disp 20.31/11.19ATR"
2025-10-09 23:00,2025-10-10 15:00,2025-10-13 11:00,SELL,3995.98,4075.3,3758.03,SL,-79.52,"CHoCH down: close 3957.21 < HL 4001.34 after HH 4059.23, disp 66.97/32.13ATR"
2025-11-17 23:00,2025-11-19 15:00,2025-12-11 23:00,SELL,4100.05,4267.45,3597.86,SL,-167.6,"CHoCH down: close 4011.14 < HL 4032.17 after HH 4245.12, disp 53.20/44.66ATR"
2025-12-05 19:00,2025-12-05 23:00,2025-12-22 07:00,BUY,4217.58,4163.87,4378.73,TP,160.95,"CHoCH up: close 4243.70 > LH 4241.52 after LL 4174.97, disp 20.16/22.20ATR"
2025-12-08 19:00,2025-12-09 15:00,2025-12-11 23:00,SELL,4211.91,4270.2,4037.03,SL,-58.49,"CHoCH down: close 4182.86 < HL 4192.02 after HH 4259.31, disp 25.58/21.79ATR"
2026-02-12 23:00,2026-02-13 19:00,2026-02-23 03:00,SELL,5011.48,5148.05,4601.76,SL,-136.77,"CHoCH down: close 4945.38 < HL 5019.32 after HH 5119.33, disp 114.95/57.45ATR"
2026-02-27 19:00,2026-03-03 15:00,2026-03-03 15:00,BUY,5198.02,5111.56,5457.41,SL,-86.66,"CHoCH up: close 5239.36 > LH 5200.80 after LL 5130.57, disp 53.69/38.03ATR"
2026-04-17 19:00,2026-04-18 03:00,2026-04-20 07:00,BUY,4833.13,4750.37,5081.4,SL,-82.96,"CHoCH up: close 4873.22 > LH 4838.34 after LL 4767.72, disp 85.79/34.69ATR"
2026-04-30 15:00,2026-05-01 15:00,2026-05-18 07:00,BUY,4590.49,4490.18,4891.42,SL,-100.51,"CHoCH up: close 4639.74 > LH 4610.32 after LL 4510.13, disp 50.20/39.90ATR"
2026-05-04 23:00,2026-05-05 19:00,2026-05-06 15:00,SELL,4570.99,4679.43,4245.68,SL,-108.64,"CHoCH down: close 4516.32 < HL 4560.28 after HH 4660.20, disp 45.21/38.46ATR"
