label,days,date,total,base_s87,overlay,weight
S103,90,2026-03-17,-987.1136,-987.1136,0.0,0.0
S103,120,2026-03-17,-999.9079,-999.9079,0.0,0.0
S103,150,2026-03-09,-986.2586,-986.2586,0.0,0.0
S103,180,2026-01-16,-999.907,-999.907,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3.2,90,2026-03-17,-969.0656,-987.1136,18.048,3.2
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3.2,120,2026-03-17,-981.8599,-999.9079,18.048,3.2
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3.2,150,2026-03-09,-965.9706,-986.2586,20.288,3.2
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3.2,180,2026-06-17,-999.9678,-962.2718,-37.696,3.2
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3.19,90,2026-03-17,-969.122,-987.1136,17.9916,3.19
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3.19,120,2026-03-17,-981.9163,-999.9079,17.9916,3.19
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3.19,150,2026-03-09,-966.034,-986.2586,20.2246,3.19
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3.19,180,2025-11-04,-999.9067,-999.9067,0.0,3.19
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3.18,90,2026-03-17,-969.1784,-987.1136,17.9352,3.18
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3.18,120,2026-03-17,-981.9727,-999.9079,17.9352,3.18
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3.18,150,2026-03-09,-966.0974,-986.2586,20.1612,3.18
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3.18,180,2025-11-04,-999.9067,-999.9067,0.0,3.18
