label,days,date,total,base_s87,overlay,weight
S103,90,2026-03-17,-987.1136,-987.1136,0.0,0.0
S103,120,2026-03-17,-999.9079,-999.9079,0.0,0.0
S103,150,2026-03-09,-986.2586,-986.2586,0.0,0.0
S103,180,2026-01-16,-999.907,-999.907,0.0,0.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3,90,2026-03-17,-970.1936,-987.1136,16.92,3.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3,120,2026-03-17,-982.9879,-999.9079,16.92,3.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3,150,2026-03-09,-967.2386,-986.2586,19.02,3.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x3,180,2025-11-04,-999.9067,-999.9067,0.0,3.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x2.5,90,2026-03-17,-973.0136,-987.1136,14.1,2.5
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x2.5,120,2026-03-17,-985.8079,-999.9079,14.1,2.5
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x2.5,150,2026-03-09,-970.4086,-986.2586,15.85,2.5
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x2.5,180,2025-11-04,-999.9067,-999.9067,0.0,2.5
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x2,90,2026-03-17,-975.8336,-987.1136,11.28,2.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x2,120,2026-03-17,-988.6279,-999.9079,11.28,2.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x2,150,2026-03-09,-973.5786,-986.2586,12.68,2.0
INV_S84_M15_lb48_rw0.25_wb0.8_eat0.06_fail0.03_op1_mb0.06_mr0.35_rr_follow_sl0.2_rr0.9_Frdmin2.7_rd3.4x2,180,2025-11-04,-999.9067,-999.9067,0.0,2.0
