time,exit_time,dir,entry,sl,tp,outcome,profit,reason
2026-03-09 05:10,2026-03-09 05:30,BUY,5134.62,5106.46,5161.32,TP,26.5,Spike down 11.2xATR then stall (body 1.14)
2026-03-10 05:05,2026-03-10 05:25,BUY,5122.61,5117.47,5132.84,TP,10.03,Spike down 4.0xATR then stall (body 4.24)
2026-03-16 06:25,2026-03-16 06:55,BUY,4973.8,4964.13,4991.56,TP,17.56,Spike down 4.0xATR then stall (body 4.59)
2026-03-16 08:15,2026-03-16 08:40,BUY,4987.63,4980.82,5003.63,TP,15.8,Spike down 3.2xATR then stall (body 15.39)
2026-03-17 20:55,2026-03-17 21:30,BUY,5008.01,5003.61,5017.56,SL,-4.6,Spike down 3.2xATR then stall (body 3.85)
2026-03-20 12:35,2026-03-20 12:45,BUY,4704.99,4700.29,4714.03,SL,-4.9,Spike down 3.7xATR then stall (body 10.41)
2026-03-21 01:25,2026-03-21 01:40,BUY,4540.26,4533.69,4555.97,SL,-6.77,Spike down 3.2xATR then stall (body 7.74)
2026-04-07 09:05,2026-04-07 09:35,SELL,4659.42,4667.77,4642.73,TP,16.49,Spike up 8.2xATR then stall (body 17.04)
2026-04-08 03:20,2026-04-08 03:45,SELL,4700.74,4705.22,4688.32,SL,-4.68,Spike up 3.9xATR then stall (body 1.09)
2026-04-13 06:10,2026-04-13 06:20,BUY,4668.27,4664.1,4676.64,SL,-4.37,Spike down 4.4xATR then stall (body 9.84)
2026-04-15 06:20,2026-04-15 06:30,BUY,4838.08,4834.9,4842.87,TP,4.59,Spike down 3.0xATR then stall (body 5.24)
2026-04-21 06:05,2026-04-21 06:35,BUY,4826.08,4818.56,4830.29,TP,4.01,Spike down 3.3xATR then stall (body 5.06)
2026-05-11 06:10,2026-05-11 06:25,SELL,4690.93,4695.76,4686.43,SL,-5.03,Spike up 4.0xATR then stall (body 0.89)
2026-05-19 13:25,2026-05-19 13:30,BUY,4533.3,4529.46,4539.07,TP,5.57,Spike down 3.3xATR then stall (body 3.08)
2026-05-21 06:10,2026-05-21 06:20,BUY,4538.64,4537.14,4542.28,SL,-1.7,Spike down 3.1xATR then stall (body 0.53)
2026-05-21 08:20,2026-05-21 09:00,SELL,4546.93,4554.74,4540.49,TP,6.24,Spike up 3.3xATR then stall (body 4.93)
2026-05-25 06:10,2026-05-25 06:30,SELL,4557.34,4558.84,4553.55,SL,-1.7,Spike up 3.1xATR then stall (body 0.52)
2026-06-04 03:05,2026-06-04 03:15,SELL,4449.84,4451.34,4445.91,SL,-1.7,Spike up 3.0xATR then stall (body 1.38)
2026-06-04 06:05,2026-06-04 06:10,BUY,4430.77,4428.89,4435.41,TP,4.44,Spike down 3.3xATR then stall (body 3.20)
2026-06-04 19:30,2026-06-04 19:45,SELL,4491.16,4494.17,4484.56,SL,-3.21,Spike up 3.1xATR then stall (body 4.43)
2026-06-16 23:55,2026-06-17 00:10,SELL,4341.41,4344.9,4334.58,SL,-3.69,Spike up 3.2xATR then stall (body 2.79)
2026-06-23 13:00,2026-06-23 14:10,BUY,4125.64,4112.9,4135.55,SL,-12.94,Spike down 5.7xATR then stall (body 16.40)
2026-07-09 14:05,2026-07-09 14:25,SELL,4097.26,4101.51,4088.11,SL,-4.45,Spike up 3.6xATR then stall (body 3.85)
2026-07-09 20:10,2026-07-09 20:35,SELL,4118.97,4121.49,4112.1,SL,-2.72,Spike up 3.4xATR then stall (body 2.74)
