date,trades,net_profit
2024-06-05,3,-19.59
2024-06-13,3,11.370000000000001
2024-06-18,2,-8.459999999999999
2024-06-19,2,8.77
2024-06-21,4,30.759999999999998
2024-06-25,2,-11.18
2024-07-02,5,24.98
2024-07-04,1,4.35
2024-07-09,3,-0.46999999999999975
2024-07-18,1,-3.94
2024-07-22,1,-5.74
2024-07-23,2,24.52
2024-07-24,1,-3.88
2024-07-29,2,-10.88
2024-08-01,1,12.69
2024-08-02,1,30.47
2024-08-06,1,-8.91
2024-08-08,2,-12.879999999999999
2024-08-09,1,-6.96
2024-08-14,2,-17.6
2024-08-15,2,-11.149999999999999
2024-08-20,1,8.41
2024-08-21,1,-4.94
2024-08-22,2,-12.940000000000001
2024-08-27,1,8.11
2024-08-29,2,-16.43
2024-08-30,3,-19.81
2024-09-03,1,4.38
2024-09-06,1,2.81
2024-09-09,2,3.6900000000000004
2024-09-23,4,17.82
2024-10-01,1,-5.99
2024-10-07,2,6.0200000000000005
2024-10-08,3,16.0
2024-10-11,2,-16.01
2024-10-17,1,-7.31
2024-10-18,1,-5.05
2024-10-22,1,-7.32
2024-10-23,2,-17.380000000000003
2024-10-30,1,13.34
2024-10-31,1,-4.67
2024-11-01,4,4.829999999999998
2024-11-04,5,11.490000000000002
2024-11-08,1,-10.06
2024-11-12,2,-17.0
2024-11-13,3,24.55
2024-11-15,3,-24.12
2024-11-20,1,-6.72
2024-11-29,2,-13.6
2024-12-03,1,15.03
2024-12-04,1,12.33
2024-12-05,3,-15.25
2024-12-18,1,-3.47
2024-12-26,2,-1.6999999999999997
2024-12-27,1,6.65
2024-12-30,1,-3.59
2025-01-08,4,-14.889999999999999
2025-01-10,2,3.42
2025-01-14,3,-14.4
2025-01-17,1,-2.95
2025-01-27,2,-15.5
2025-01-28,1,6.41
2025-01-29,2,-6.57
2025-01-30,1,-4.26
2025-01-31,1,5.44
2025-02-04,2,23.380000000000003
2025-02-07,1,9.7
2025-02-14,4,2.549999999999999
2025-02-21,1,14.17
2025-02-24,2,15.57
2025-03-05,2,34.78
2025-03-10,1,-5.83
2025-03-12,4,36.58
2025-03-13,1,11.34
2025-03-19,1,17.2
2025-03-24,1,-5.22
2025-04-04,1,-21.4
2025-04-07,1,-27.73
2025-04-11,2,-20.32
2025-04-15,1,12.56
2025-04-17,1,-9.69
2025-04-24,1,-10.91
2025-04-29,2,-20.01
2025-05-02,1,17.32
2025-06-05,1,-7.64
2025-06-06,3,-21.72
2025-06-09,1,-6.87
2025-06-17,1,-11.36
2025-06-25,3,-11.42
2025-07-02,2,-24.82
2025-07-08,1,-5.75
2025-07-10,7,52.87
2025-07-11,1,-5.41
2025-07-14,1,-10.04
2025-07-16,3,1.9100000000000001
2025-07-18,1,6.95
2025-07-24,2,-15.829999999999998
2025-07-28,2,-11.41
2025-08-08,2,32.31
2025-08-12,5,-4.729999999999997
2025-08-13,1,-4.07
2025-08-15,1,-6.24
2025-08-20,1,-4.54
2025-08-21,3,-5.640000000000001
2025-08-22,2,5.989999999999999
2025-08-25,1,-4.41
2025-08-29,1,-4.91
2025-09-02,1,30.58
2025-09-03,1,-5.52
2025-09-09,1,-13.02
2025-09-11,1,24.42
2025-09-16,1,-7.35
2025-09-17,1,-6.34
2025-09-18,2,33.81
2025-09-19,1,-5.57
2025-09-25,2,23.119999999999997
2025-09-26,2,-13.74
