time,exit_time,dir,entry,sl,tp,outcome,profit,ml_prob
2025-10-17 15:20,2025-10-17 15:30,BUY,4346.03,4331.23,4360.83,SL,-15.0,0.62
2025-10-17 16:10,2025-10-17 19:30,BUY,4334.06,4314.53,4353.59,SL,-19.73,0.792
2025-10-17 17:00,2025-10-17 18:30,BUY,4344.96,4330.42,4359.5,SL,-14.74,0.651
2025-10-17 18:35,2025-10-17 18:45,SELL,4323.81,4332.47,4315.15,SL,-8.86,0.609
2025-10-17 19:25,2025-10-17 19:30,BUY,4321.77,4308.33,4335.21,SL,-13.64,0.656
2025-10-17 20:15,2025-10-17 21:35,BUY,4308.2,4289.03,4327.37,SL,-19.37,0.798
2025-10-17 21:05,2025-10-17 21:30,BUY,4307.21,4291.06,4323.36,SL,-16.35,0.694
2025-10-17 21:55,2025-10-17 22:00,BUY,4273.64,4252.59,4294.69,SL,-21.25,0.693
2025-10-17 22:45,2025-10-18 00:25,BUY,4254.07,4223.69,4284.45,SL,-30.58,0.742
2025-10-17 23:35,2025-10-18 00:00,BUY,4254.19,4234.93,4273.45,SL,-19.46,0.755
2025-10-18 00:25,2025-10-18 01:00,BUY,4216.46,4200.26,4232.66,SL,-16.4,0.643
2025-10-18 01:15,2025-10-18 01:40,BUY,4203.79,4184.49,4223.09,TP,19.1,0.798
2025-10-18 02:05,2025-10-18 03:15,BUY,4236.81,4219.62,4254.0,SL,-17.39,0.66
2025-10-18 02:55,2025-10-18 03:10,BUY,4235.45,4223.89,4247.01,SL,-11.76,0.751
2025-10-18 03:45,2025-10-18 04:00,BUY,4221.78,4210.68,4232.88,TP,10.9,0.734
2025-10-20 07:00,2025-10-20 07:10,BUY,4254.88,4243.19,4266.57,SL,-11.89,0.68
2025-10-20 07:50,2025-10-20 08:10,BUY,4242.63,4233.4,4251.86,SL,-9.43,0.643
2025-10-20 08:40,2025-10-20 09:10,BUY,4241.1,4228.44,4253.76,TP,12.46,0.668
2025-10-20 09:30,2025-10-20 13:50,BUY,4259.2,4244.3,4274.1,SL,-15.1,0.69
2025-10-20 10:20,2025-10-20 10:55,BUY,4264.22,4254.3,4274.14,SL,-10.12,0.696
2025-10-20 11:15,2025-10-20 11:30,BUY,4260.08,4252.05,4268.11,SL,-8.23,0.605
2025-10-20 12:05,2025-10-20 13:20,BUY,4262.27,4254.39,4270.15,SL,-8.08,0.627
2025-10-20 13:25,2025-10-20 13:35,BUY,4256.96,4250.83,4263.09,SL,-6.33,0.602
2025-10-20 14:15,2025-10-20 14:25,BUY,4238.17,4226.81,4249.53,SL,-11.56,0.772
2025-10-20 15:05,2025-10-20 15:20,BUY,4247.94,4236.44,4259.44,TP,11.3,0.616
2025-10-20 15:55,2025-10-20 16:30,BUY,4255.19,4246.9,4263.48,TP,8.09,0.771
2025-10-20 18:05,2025-10-20 18:10,SELL,4247.11,4253.23,4240.99,SL,-6.32,0.606
2025-10-20 19:55,2025-10-20 20:15,BUY,4279.26,4272.39,4286.13,TP,6.67,0.619
2025-10-20 21:40,2025-10-20 22:00,BUY,4308.17,4294.62,4321.72,SL,-13.75,0.603
2025-10-20 22:55,2025-10-20 23:10,BUY,4332.55,4319.0,4346.1,TP,13.35,0.605
2025-10-20 23:45,2025-10-21 01:15,BUY,4349.93,4340.73,4359.13,SL,-9.4,0.702
2025-10-21 00:35,2025-10-21 02:25,BUY,4343.81,4336.38,4351.24,TP,7.23,0.645
