time,exit_time,dir,entry,sl,tp,outcome,profit,ml_prob
2025-12-19 11:55,2025-12-19 12:10,SELL,4322.95,4325.99,4319.91,TP,2.84,0.555
2026-01-02 11:05,2026-01-02 12:50,BUY,4376.05,4370.7,4381.4,TP,5.15,0.554
2026-01-12 07:15,2026-01-12 07:30,SELL,4563.72,4572.95,4554.49,SL,-9.43,0.558
2026-01-20 11:55,2026-01-20 12:05,BUY,4695.28,4690.42,4700.14,TP,4.66,0.562
2026-01-20 12:45,2026-01-20 12:55,BUY,4707.52,4700.5,4714.54,TP,6.82,0.559
2026-01-21 08:50,2026-01-21 09:10,SELL,4844.0,4858.67,4829.33,TP,14.47,0.574
2026-01-27 02:50,2026-01-27 03:05,BUY,5017.29,4990.93,5043.65,TP,26.16,0.558
2026-01-28 03:45,2026-01-28 03:55,SELL,5160.6,5178.6,5142.6,SL,-18.2,0.55
2026-01-31 03:55,2026-02-02 06:10,BUY,4849.05,4802.32,4895.78,SL,-46.93,0.552
2026-02-20 03:45,2026-02-20 04:20,BUY,5002.79,4997.62,5007.96,SL,-5.37,0.564
2026-03-20 22:10,2026-03-20 22:25,SELL,4575.84,4604.57,4547.11,TP,28.53,0.557
2026-03-21 01:50,2026-03-21 01:55,BUY,4502.6,4482.66,4522.54,SL,-20.14,0.562
2026-03-23 08:55,2026-03-23 10:40,SELL,4387.44,4430.52,4344.36,TP,42.88,0.556
2026-03-23 16:40,2026-03-23 17:00,SELL,4225.79,4260.75,4190.83,SL,-35.16,0.556
2026-03-23 19:40,2026-03-23 19:55,SELL,4441.48,4488.99,4393.97,SL,-47.71,0.555
2026-03-23 21:30,2026-03-23 22:00,SELL,4493.17,4529.52,4456.82,TP,36.15,0.55
2026-03-26 02:05,2026-03-26 02:10,BUY,4503.53,4488.55,4518.51,SL,-15.18,0.551
2026-03-27 02:50,2026-03-27 03:05,BUY,4364.29,4352.9,4375.68,SL,-11.59,0.551
2026-04-16 08:10,2026-04-16 08:25,BUY,4829.82,4824.87,4834.77,SL,-5.15,0.559
2026-04-16 21:10,2026-04-16 21:45,SELL,4817.65,4825.2,4810.1,TP,7.35,0.553
2026-04-17 21:05,2026-04-17 21:10,SELL,4862.86,4876.31,4849.41,SL,-13.65,0.556
2026-05-02 02:10,2026-05-02 02:20,BUY,4615.84,4609.32,4622.36,TP,6.32,0.553
2026-05-04 11:00,2026-05-04 11:50,SELL,4605.32,4614.17,4596.47,SL,-9.05,0.551
2026-05-12 18:25,2026-05-12 18:30,SELL,4700.2,4707.88,4692.52,TP,7.48,0.552
2026-05-13 03:45,2026-05-13 03:55,BUY,4709.89,4704.21,4715.57,TP,5.48,0.556
2026-05-19 18:20,2026-05-19 18:40,SELL,4540.84,4547.64,4534.04,TP,6.6,0.551
2026-05-19 20:45,2026-05-19 21:00,SELL,4539.5,4548.5,4530.5,TP,8.8,0.555
2026-05-22 10:05,2026-05-22 13:40,SELL,4525.98,4534.09,4517.87,SL,-8.31,0.554
2026-05-25 10:10,2026-05-25 13:30,SELL,4562.13,4571.0,4553.26,TP,8.67,0.556
2026-05-25 11:05,2026-05-25 13:20,SELL,4563.2,4569.72,4556.68,TP,6.32,0.557
2026-05-25 13:15,2026-05-25 13:20,SELL,4562.98,4566.64,4559.32,TP,3.46,0.551
2026-05-26 14:35,2026-05-26 15:10,SELL,4531.66,4537.43,4525.89,TP,5.57,0.554
2026-05-28 17:55,2026-05-28 18:05,SELL,4393.64,4399.83,4387.45,SL,-6.39,0.551
2026-05-29 16:35,2026-05-29 17:05,SELL,4515.06,4521.45,4508.67,SL,-6.59,0.552
2026-06-01 13:55,2026-06-01 14:15,SELL,4518.25,4525.49,4511.01,TP,7.04,0.557
2026-06-02 07:30,2026-06-02 07:35,SELL,4484.75,4488.52,4480.98,TP,3.57,0.553
2026-06-02 09:20,2026-06-02 09:45,SELL,4483.23,4493.17,4473.29,TP,9.74,0.556
2026-06-02 13:15,2026-06-02 13:30,BUY,4518.96,4513.82,4524.1,TP,4.94,0.551
2026-06-02 22:10,2026-06-02 22:15,SELL,4504.23,4513.13,4495.33,TP,8.7,0.555
2026-06-04 17:00,2026-06-04 17:50,SELL,4467.16,4474.68,4459.64,SL,-7.72,0.551
2026-06-09 12:10,2026-06-09 12:30,SELL,4332.31,4339.22,4325.4,TP,6.71,0.552
2026-06-09 17:15,2026-06-09 18:55,SELL,4330.01,4336.75,4323.27,SL,-6.94,0.562
2026-06-09 18:45,2026-06-09 18:50,SELL,4330.71,4336.5,4324.92,SL,-5.99,0.553
2026-06-10 18:25,2026-06-10 18:45,SELL,4164.91,4175.42,4154.4,SL,-10.71,0.553
2026-06-10 19:15,2026-06-10 19:45,SELL,4164.83,4176.01,4153.65,TP,10.98,0.554
2026-06-15 18:30,2026-06-15 19:30,SELL,4339.3,4344.28,4334.32,SL,-5.18,0.555
2026-06-15 19:20,2026-06-15 19:30,SELL,4337.86,4342.18,4333.54,SL,-4.52,0.576
2026-06-15 23:55,2026-06-16 00:15,SELL,4356.27,4363.53,4349.01,TP,7.06,0.553
2026-06-16 18:25,2026-06-16 18:55,SELL,4344.3,4348.95,4339.65,SL,-4.85,0.551
2026-06-17 15:10,2026-06-17 16:15,SELL,4327.33,4332.96,4321.7,TP,5.43,0.557
2026-06-22 20:15,2026-06-22 20:40,SELL,4207.74,4213.37,4202.11,TP,5.43,0.557
2026-06-23 02:35,2026-06-23 02:45,SELL,4186.89,4191.39,4182.39,SL,-4.7,0.553
2026-06-23 07:55,2026-06-23 08:00,SELL,4187.75,4191.07,4184.43,SL,-3.52,0.56
2026-06-24 17:30,2026-06-24 18:00,SELL,4070.54,4078.07,4063.01,TP,7.33,0.557
2026-06-25 15:45,2026-06-25 15:55,SELL,3977.44,3987.32,3967.56,SL,-10.08,0.554
2026-06-29 10:05,2026-06-29 11:20,SELL,4061.96,4073.53,4050.39,SL,-11.77,0.554
2026-06-30 00:25,2026-06-30 01:05,SELL,4023.73,4029.85,4017.61,SL,-6.32,0.557
2026-06-30 01:50,2026-06-30 02:45,SELL,4021.28,4026.48,4016.08,TP,5.0,0.55
2026-06-30 07:35,2026-06-30 08:00,SELL,4018.13,4023.12,4013.14,TP,4.79,0.55
