date,trades,win,loss,net_profit,win_rate
2025-10-31,6,3,3,5.06,50.0
2025-11-03,1,1,0,21.47,100.0
2025-11-04,1,0,1,-29.36,0.0
2025-11-07,1,0,1,-6.97,0.0
2025-11-10,5,5,0,60.12,100.0
2025-11-11,4,1,3,-22.6,25.0
2025-11-14,2,2,0,138.04,100.0
2025-11-17,1,1,0,15.32,100.0
2025-11-19,1,0,1,-11.35,0.0
2025-11-20,4,2,2,3.18,50.0
2025-11-26,2,1,1,3.04,50.0
2025-12-01,4,2,2,4.61,50.0
2025-12-11,1,0,1,-6.07,0.0
2025-12-24,4,0,4,-34.74,0.0
2025-12-26,2,0,2,-15.8,0.0
2025-12-31,2,1,1,-3.27,50.0
2026-01-05,7,3,4,17.58,42.86
2026-01-06,2,2,0,29.62,100.0
2026-01-21,4,2,2,18.64,50.0
2026-01-26,1,0,1,-17.5,0.0
2026-02-02,2,1,1,92.8,50.0
2026-02-09,1,0,1,-19.7,0.0
2026-02-11,1,1,0,26.91,100.0
2026-02-12,3,0,3,-30.94,0.0
2026-02-20,1,0,1,-15.38,0.0
2026-02-23,1,1,0,39.12,100.0
2026-02-24,1,1,0,22.24,100.0
2026-03-10,1,1,0,20.27,100.0
2026-03-11,1,0,1,-10.67,0.0
2026-03-13,1,0,1,-16.01,0.0
2026-03-16,1,0,1,-27.66,0.0
2026-03-20,1,0,1,-21.23,0.0
2026-03-21,1,1,0,39.38,100.0
2026-03-23,2,1,1,20.22,50.0
2026-04-01,2,2,0,63.13,100.0
2026-04-02,3,1,2,-3.77,33.33
2026-04-08,1,1,0,26.44,100.0
2026-04-21,1,0,1,-9.07,0.0
2026-04-22,3,3,0,43.4,100.0
2026-04-24,2,0,2,-22.23,0.0
2026-04-29,1,0,1,-5.68,0.0
2026-04-30,2,1,1,9.53,50.0
2026-05-08,1,0,1,-17.71,0.0
2026-05-13,2,0,2,-34.79,0.0
2026-05-18,1,1,0,19.17,100.0
2026-05-19,1,0,1,-12.29,0.0
2026-05-26,4,0,4,-26.88,0.0
2026-05-27,4,3,1,127.3,75.0
2026-05-28,1,0,1,-24.69,0.0
2026-06-02,1,0,1,-15.13,0.0
2026-06-17,1,0,1,-13.55,0.0
2026-06-24,2,2,0,82.61,100.0
2026-06-25,1,0,1,-35.65,0.0
2026-07-02,6,4,2,47.8,66.67
2026-07-03,1,0,1,-5.56,0.0
