time,exit_time,dir,entry,sl,tp,outcome,profit,reason
2024-06-04 02:45,2024-06-04 15:55,BUY,2334.47,2332.97,2337.73,SL,-1.7,"Mega void 3.26 (3.1ATR, age 69) limit at deep edge 2334.47"
2024-06-04 03:35,2024-06-04 15:55,BUY,2334.47,2332.97,2337.73,SL,-1.7,"Mega void 3.26 (3.7ATR, age 79) limit at deep edge 2334.47"
2024-06-04 06:30,2024-06-04 15:55,BUY,2334.47,2332.97,2337.73,SL,-1.7,"Mega void 3.26 (5.1ATR, age 89) limit at deep edge 2334.47"
2024-06-04 07:20,2024-06-04 15:55,BUY,2334.47,2332.97,2337.73,SL,-1.7,"Mega void 3.26 (4.9ATR, age 99) limit at deep edge 2334.47"
2024-06-05 02:10,2024-06-05 12:00,SELL,2336.72,2338.22,2333.72,SL,-1.7,"Mega void 3.00 (3.1ATR, age 68) limit at deep edge 2336.72"
2024-06-05 03:00,2024-06-05 12:00,SELL,2336.72,2338.22,2333.72,SL,-1.7,"Mega void 3.00 (3.5ATR, age 78) limit at deep edge 2336.72"
2024-06-05 03:50,2024-06-05 12:00,SELL,2336.72,2338.22,2333.72,SL,-1.7,"Mega void 3.00 (4.4ATR, age 88) limit at deep edge 2336.72"
2024-06-05 06:45,2024-06-05 12:00,SELL,2336.72,2338.22,2333.72,SL,-1.7,"Mega void 3.00 (4.7ATR, age 98) limit at deep edge 2336.72"
2024-06-11 11:40,2024-06-11 19:10,SELL,2310.6,2312.1,2308.45,SL,-1.7,"Mega void 2.15 (3.1ATR, age 44) limit at deep edge 2310.60"
2024-06-12 23:45,2024-06-13 08:10,BUY,2315.74,2314.24,2322.46,SL,-1.7,"Mega void 6.72 (3.1ATR, age 51) limit at deep edge 2315.74"
2024-06-13 00:35,2024-06-13 08:10,BUY,2315.74,2314.24,2322.46,SL,-1.7,"Mega void 6.72 (3.6ATR, age 61) limit at deep edge 2315.74"
2024-06-13 03:05,2024-06-13 08:10,BUY,2315.74,2314.24,2322.46,SL,-1.7,"Mega void 6.72 (3.1ATR, age 91) limit at deep edge 2315.74"
2024-06-13 11:25,2024-06-13 19:35,SELL,2324.18,2325.68,2321.27,SL,-1.7,"Mega void 2.91 (3.0ATR, age 64) limit at deep edge 2324.18"
2024-06-13 19:35,2024-06-13 21:10,BUY,2307.55,2305.79,2318.9,SL,-1.96,"Mega void 11.35 (3.2ATR, age 1) limit at deep edge 2307.55"
2024-06-13 20:45,2024-06-13 21:10,BUY,2307.55,2305.7,2318.9,SL,-2.05,"Mega void 11.35 (3.1ATR, age 15) limit at deep edge 2307.55"
2024-06-14 01:15,2024-06-14 15:05,SELL,2319.82,2321.32,2315.67,SL,-1.7,"Mega void 4.15 (3.2ATR, age 54) limit at deep edge 2319.82"
2024-06-14 02:05,2024-06-14 15:05,SELL,2319.82,2321.32,2315.67,SL,-1.7,"Mega void 4.15 (4.2ATR, age 64) limit at deep edge 2319.82"
2024-06-14 02:55,2024-06-14 15:05,SELL,2319.82,2321.32,2315.67,SL,-1.7,"Mega void 4.15 (4.6ATR, age 74) limit at deep edge 2319.82"
2024-06-14 03:45,2024-06-14 08:30,SELL,2305.82,2307.32,2303.14,TP,2.48,"Mega void 2.68 (4.7ATR, age 60) limit at deep edge 2305.82"
2024-06-14 06:40,2024-06-14 08:30,SELL,2305.82,2307.32,2303.14,TP,2.48,"Mega void 2.68 (6.6ATR, age 70) limit at deep edge 2305.82"
2024-06-14 07:30,2024-06-14 08:30,SELL,2305.82,2307.32,2303.14,TP,2.48,"Mega void 2.68 (3.3ATR, age 80) limit at deep edge 2305.82"
2024-06-17 13:45,2024-06-17 20:10,SELL,2323.07,2324.57,2317.38,SL,-1.7,"Mega void 5.69 (3.3ATR, age 10) limit at deep edge 2323.07"
2024-06-17 14:35,2024-06-17 20:10,SELL,2323.42,2324.92,2318.41,SL,-1.7,"Mega void 5.01 (3.2ATR, age 19) limit at deep edge 2323.42"
2024-06-17 15:25,2024-06-17 20:10,SELL,2323.42,2324.92,2318.41,SL,-1.7,"Mega void 5.01 (3.0ATR, age 29) limit at deep edge 2323.42"
2024-06-17 16:15,2024-06-17 20:10,SELL,2323.42,2324.92,2318.41,SL,-1.7,"Mega void 5.01 (3.6ATR, age 39) limit at deep edge 2323.42"
2024-06-17 17:05,2024-06-17 20:10,SELL,2323.42,2324.92,2318.41,SL,-1.7,"Mega void 5.01 (4.5ATR, age 49) limit at deep edge 2323.42"
2024-06-17 17:55,2024-06-17 20:10,SELL,2323.42,2324.92,2318.41,SL,-1.7,"Mega void 5.01 (4.6ATR, age 59) limit at deep edge 2323.42"
2024-06-17 18:45,2024-06-17 20:10,SELL,2323.42,2324.92,2318.41,SL,-1.7,"Mega void 5.01 (3.4ATR, age 69) limit at deep edge 2323.42"
2024-06-17 19:35,2024-06-17 20:10,SELL,2323.07,2324.57,2317.38,SL,-1.7,"Mega void 5.69 (3.1ATR, age 80) limit at deep edge 2323.07"
2024-06-17 23:50,2024-06-18 06:55,SELL,2319.45,2320.95,2314.37,SL,-1.7,"Mega void 5.08 (3.0ATR, age 16) limit at deep edge 2319.45"
2024-06-18 00:40,2024-06-18 06:55,SELL,2319.45,2320.95,2314.37,SL,-1.7,"Mega void 5.08 (3.6ATR, age 26) limit at deep edge 2319.45"
2024-06-18 01:30,2024-06-18 06:55,SELL,2319.45,2320.95,2314.37,SL,-1.7,"Mega void 5.08 (4.6ATR, age 36) limit at deep edge 2319.45"
2024-06-21 00:45,2024-06-21 08:30,SELL,2363.31,2364.81,2359.24,TP,3.87,"Mega void 4.07 (3.4ATR, age 31) limit at deep edge 2363.31"
2024-06-21 01:35,2024-06-21 08:30,SELL,2363.31,2364.81,2359.24,TP,3.87,"Mega void 4.07 (3.4ATR, age 41) limit at deep edge 2363.31"
2024-06-21 02:25,2024-06-21 08:30,SELL,2363.31,2364.81,2359.24,TP,3.87,"Mega void 4.07 (4.0ATR, age 51) limit at deep edge 2363.31"
2024-06-21 03:15,2024-06-21 08:30,SELL,2363.31,2364.81,2359.24,TP,3.87,"Mega void 4.07 (5.5ATR, age 61) limit at deep edge 2363.31"
2024-06-21 06:10,2024-06-21 08:30,SELL,2363.31,2364.81,2359.24,TP,3.87,"Mega void 4.07 (7.6ATR, age 71) limit at deep edge 2363.31"
2024-06-21 07:00,2024-06-21 08:30,SELL,2363.31,2364.81,2359.24,TP,3.87,"Mega void 4.07 (5.6ATR, age 81) limit at deep edge 2363.31"
2024-06-25 06:10,2024-06-25 16:15,SELL,2333.65,2335.15,2330.92,TP,2.53,"Mega void 2.73 (3.5ATR, age 1) limit at deep edge 2333.65"
