variant,rung,avg_day,min_day,min_pf,max_streak,worst_day,floor_-999.91,floor_-1000
orig,S89,486.2507,453.6996,4.11915,3,-999.90232,PASS,PASS
orig,S90,486.2628,453.7127,4.11927,3,-999.90982,PASS,PASS
orig,S91,590.599,566.2649,5.08383,3,-999.8974,PASS,PASS
orig,S92,604.5594,582.7654,5.18014,3,-999.90954,PASS,PASS
orig,S93,607.9415,587.3495,5.21773,3,-999.90591,PASS,PASS
orig,S94,607.9452,587.3522,5.21775,3,-999.90901,PASS,PASS
orig,S95,619.5492,599.7833,5.3277,3,-999.90644,PASS,PASS
orig,S96,622.0345,602.8985,5.38154,3,-999.90826,PASS,PASS
orig,S97,629.2131,606.8866,5.38924,3,-999.9052,PASS,PASS
orig,S98,631.5408,610.6081,5.41353,3,-999.90785,PASS,PASS
orig,S99,632.9161,611.7877,5.42302,3,-999.90785,PASS,PASS
orig,S100,645.8813,622.3914,5.44798,3,-999.90785,PASS,PASS
orig,S101,652.849,629.1864,5.57517,3,-999.90785,PASS,PASS
orig,S102,652.9061,629.2306,5.57738,3,-999.90785,PASS,PASS
orig,S103,673.4029,647.5072,5.73695,3,-999.90785,PASS,PASS
orig,S104,678.9334,652.3068,5.83902,3,-999.90886,PASS,PASS
orig,S105,717.5473,694.7353,6.17316,3,-999.90886,PASS,PASS
orig,S106,759.22,730.3757,6.5166,3,-999.90886,PASS,PASS
orig,S107,770.4028,731.6327,6.65487,3,-999.90886,PASS,PASS
orig,S108,780.1641,733.6726,6.59213,3,-999.90926,PASS,PASS
orig,S109,781.5398,746.2963,6.6754,3,-999.90926,PASS,PASS
orig,S110,854.2187,824.2201,7.06698,3,-999.90926,PASS,PASS
orig,S111,891.6791,865.6829,7.25898,3,-999.90926,PASS,PASS
orig,S112,926.2952,898.804,7.57399,3,-999.90926,PASS,PASS
orig,S113,945.6507,916.0341,7.53003,3,-999.90983,PASS,PASS
orig,S114,964.338,922.3931,7.91343,3,-999.90926,PASS,PASS
orig,S115,980.0725,935.4516,8.01968,3,-999.90926,PASS,PASS
orig,S116,1005.7896,963.2122,8.14293,3,-999.90926,PASS,PASS
orig,S117,1016.27,980.6057,8.00871,3,-999.9093,PASS,PASS
orig,S118,1020.9369,986.5169,7.87677,3,-999.9093,PASS,PASS
orig,S119,1022.5765,1010.0427,7.63382,3,-999.9093,PASS,PASS
orig,S120,1044.0487,1026.1208,8.28525,3,-999.9093,PASS,PASS
orig,S121,1049.0123,1029.5931,8.40086,3,-999.9093,PASS,PASS
orig,S122,1053.4931,1041.8888,8.45319,3,-999.9093,PASS,PASS
orig,S123,1118.284,1062.364,8.39087,3,-999.90987,PASS,PASS
orig,S124,1200.4054,1150.2768,9.01276,3,-999.9093,PASS,PASS
orig,S125,1221.7279,1162.01,9.10623,3,-999.9093,PASS,PASS
orig,S126,1227.0836,1168.3346,9.12236,3,-999.9093,PASS,PASS
