signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-05-19T07:45:00+07:00,2026-05-19T07:50:00+07:00,BUY,4583.04,4582.32,4588.09,SL,-0.92,S153 BUY Skew Tail Resume 7R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-05-20T23:05:00+07:00,2026-05-20T23:15:00+07:00,BUY,4523.88,4521.75,4538.79,TP,14.71,S153 BUY Skew Tail Resume 7R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-05-20T23:20:00+07:00,2026-05-20T23:25:00+07:00,BUY,4535.72,4533.22,4553.22,SL,-2.7,S153 BUY Skew Tail Resume 7R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-05-22T15:40:00+07:00,2026-05-22T15:50:00+07:00,SELL,4520.94,4521.75,4515.26,SL,-1.01,S153 SELL Skew Tail Resume 7R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-05-22T17:00:00+07:00,2026-05-22T17:10:00+07:00,SELL,4524.88,4525.74,4518.86,TP,5.82,S153 SELL Skew Tail Resume 7R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-05-22T17:15:00+07:00,2026-05-22T17:25:00+07:00,SELL,4519.46,4520.39,4512.94,BE,-0.2,S153 SELL Skew Tail Resume 7R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-05-22T17:30:00+07:00,2026-05-22T17:35:00+07:00,SELL,4519.49,4520.35,4513.46,SL,-1.06,S153 SELL Skew Tail Resume 7R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-05-25T06:50:00+07:00,2026-05-25T07:05:00+07:00,BUY,4562.34,4560.84,4572.84,TP,10.3,S153 BUY Skew Tail Resume 7R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-05-27T19:35:00+07:00,2026-05-27T19:40:00+07:00,SELL,4441.81,4443.51,4429.91,SL,-1.9,S153 SELL Skew Tail Resume 7R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-01T22:00:00+07:00,2026-06-01T22:05:00+07:00,SELL,4454.5,4456.66,4439.38,SL,-2.36,S153 SELL Skew Tail Resume 7R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-05T21:00:00+07:00,2026-06-05T21:10:00+07:00,SELL,4418.52,4420.46,4404.94,BE,-0.2,S153 SELL Skew Tail Resume 7R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-08T16:30:00+07:00,2026-06-08T16:45:00+07:00,SELL,4292.13,4293.37,4283.45,SL,-1.44,S153 SELL Skew Tail Resume 7R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-08T18:35:00+07:00,2026-06-08T18:55:00+07:00,BUY,4299.29,4297.61,4311.06,BE,-0.2,S153 BUY Skew Tail Resume 7R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-06-10T16:05:00+07:00,2026-06-10T16:15:00+07:00,SELL,4171.33,4172.79,4161.11,BE,-0.2,S153 SELL Skew Tail Resume 7R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-10T16:35:00+07:00,2026-06-10T16:40:00+07:00,SELL,4175.84,4177.5,4164.22,SL,-1.86,S153 SELL Skew Tail Resume 7R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-10T17:15:00+07:00,2026-06-10T17:30:00+07:00,SELL,4174.97,4176.46,4164.54,SL,-1.69,S153 SELL Skew Tail Resume 7R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-12T01:45:00+07:00,2026-06-12T01:50:00+07:00,BUY,4153.55,4151.27,4169.51,SL,-2.48,S153 BUY Skew Tail Resume 7R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-06-12T09:05:00+07:00,2026-06-12T09:25:00+07:00,SELL,4193.44,4195.38,4179.85,TP,13.39,S153 SELL Skew Tail Resume 7R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-15T06:10:00+07:00,2026-06-15T06:25:00+07:00,BUY,4294.6,4292.82,4307.07,SL,-1.98,S153 BUY Skew Tail Resume 7R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-06-15T08:25:00+07:00,2026-06-15T08:30:00+07:00,BUY,4300.71,4299.94,4306.11,SL,-0.97,S153 BUY Skew Tail Resume 7R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-06-18T03:40:00+07:00,2026-06-18T03:45:00+07:00,SELL,4235.63,4240.11,4204.27,SL,-4.68,S153 SELL Skew Tail Resume 7R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-19T21:00:00+07:00,2026-06-19T21:20:00+07:00,BUY,4164.52,4163.21,4173.7,BE,-0.2,S153 BUY Skew Tail Resume 7R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-06-24T09:05:00+07:00,2026-06-24T09:10:00+07:00,SELL,4083.08,4084.65,4072.08,SL,-1.77,S153 SELL Skew Tail Resume 7R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-25T21:15:00+07:00,2026-06-25T21:30:00+07:00,BUY,4020.95,4018.71,4036.63,BE,-0.2,S153 BUY Skew Tail Resume 7R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
