signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-05-22T15:40:00+07:00,2026-05-22T15:50:00+07:00,SELL,4520.94,4521.75,4512.83,SL,-1.01,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-05-22T17:00:00+07:00,2026-05-22T17:15:00+07:00,SELL,4524.88,4525.74,4516.28,TP,8.4,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-05-22T17:30:00+07:00,2026-05-22T17:35:00+07:00,SELL,4519.49,4520.35,4510.88,SL,-1.06,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-05-27T19:35:00+07:00,2026-05-27T19:40:00+07:00,SELL,4441.81,4443.51,4424.81,SL,-1.9,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-01T22:00:00+07:00,2026-06-01T22:05:00+07:00,SELL,4454.5,4456.66,4432.9,SL,-2.36,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-05T21:00:00+07:00,2026-06-05T21:10:00+07:00,SELL,4418.52,4420.46,4399.12,BE,-0.2,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-08T16:30:00+07:00,2026-06-08T16:45:00+07:00,SELL,4292.13,4293.37,4279.73,SL,-1.44,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-10T16:05:00+07:00,2026-06-10T16:15:00+07:00,SELL,4171.33,4172.79,4156.73,BE,-0.2,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-10T16:35:00+07:00,2026-06-10T16:40:00+07:00,SELL,4175.84,4177.5,4159.24,SL,-1.86,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-10T17:15:00+07:00,2026-06-10T17:30:00+07:00,SELL,4174.97,4176.46,4160.07,SL,-1.69,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-12T09:05:00+07:00,2026-06-12T09:35:00+07:00,SELL,4193.44,4195.38,4174.03,TP,19.21,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-18T03:40:00+07:00,2026-06-18T03:45:00+07:00,SELL,4235.63,4240.11,4190.83,SL,-4.68,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-24T09:05:00+07:00,2026-06-24T09:10:00+07:00,SELL,4083.08,4084.65,4067.37,SL,-1.77,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-07-08T17:10:00+07:00,2026-07-08T17:15:00+07:00,SELL,4056.24,4058.55,4033.13,SL,-2.51,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-07-08T18:00:00+07:00,2026-07-08T18:15:00+07:00,SELL,4048.45,4049.84,4034.54,SL,-1.59,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-07-13T08:35:00+07:00,2026-07-13T08:40:00+07:00,SELL,4070.04,4071.18,4058.64,SL,-1.34,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-07-13T18:45:00+07:00,2026-07-13T18:50:00+07:00,SELL,4054.39,4055.2,4046.29,SL,-1.01,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-07-13T20:15:00+07:00,2026-07-13T20:20:00+07:00,SELL,4060.9,4061.85,4051.4,SL,-1.15,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-07-13T21:50:00+07:00,2026-07-13T21:55:00+07:00,SELL,4052.45,4053.47,4042.25,TP,10.0,S155 SELL Skew Tail Resume 10R,SELL-only contribution filter; Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
