signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-01-20T21:20:00+07:00,2026-01-20T21:25:00+07:00,SELL,4743.84,4747.14,4710.83,SL,-3.5,S176 SELL Robust Location Reclaim 10R,Median/MAD z=3.77; high-volume location anomaly closed a meanward reclaim
2026-01-21T08:55:00+07:00,2026-01-21T09:35:00+07:00,SELL,4838.64,4844.91,4775.94,BE,-0.2,S176 SELL Robust Location Reclaim 10R,Median/MAD z=7.17; high-volume location anomaly closed a meanward reclaim
2026-01-22T02:45:00+07:00,2026-01-22T02:50:00+07:00,BUY,4770.37,4761.3,4861.07,SL,-9.27,S176 BUY Robust Location Reclaim 10R,Median/MAD z=-4.06; high-volume location anomaly closed a meanward reclaim
2026-01-22T13:05:00+07:00,2026-01-22T13:20:00+07:00,SELL,4822.57,4825.29,4795.36,BE,-0.2,S176 SELL Robust Location Reclaim 10R,Median/MAD z=4.51; high-volume location anomaly closed a meanward reclaim
2026-01-22T21:55:00+07:00,2026-01-22T22:25:00+07:00,SELL,4839.97,4846.26,4777.07,SL,-6.49,S176 SELL Robust Location Reclaim 10R,Median/MAD z=3.20; high-volume location anomaly closed a meanward reclaim
2026-01-23T14:50:00+07:00,2026-01-23T15:00:00+07:00,BUY,4947.36,4942.9,4991.96,SL,-4.66,S176 BUY Robust Location Reclaim 10R,Median/MAD z=-3.20; high-volume location anomaly closed a meanward reclaim
2026-01-23T16:30:00+07:00,2026-01-26T06:10:00+07:00,BUY,4907.92,4899.15,4995.63,TP,87.51,S176 BUY Robust Location Reclaim 10R,Median/MAD z=-8.34; high-volume location anomaly closed a meanward reclaim
2026-01-26T06:20:00+07:00,2026-01-26T06:35:00+07:00,SELL,5027.11,5031.25,4985.7,SL,-4.34,S176 SELL Robust Location Reclaim 10R,Median/MAD z=13.27; high-volume location anomaly closed a meanward reclaim
2026-01-26T08:35:00+07:00,2026-01-26T08:55:00+07:00,SELL,5078.66,5086.17,5003.55,BE,-0.2,S176 SELL Robust Location Reclaim 10R,Median/MAD z=8.67; high-volume location anomaly closed a meanward reclaim
2026-01-26T21:05:00+07:00,2026-01-26T23:35:00+07:00,BUY,5067.51,5057.72,5165.41,BE,-0.2,S176 BUY Robust Location Reclaim 10R,Median/MAD z=-3.70; high-volume location anomaly closed a meanward reclaim
2026-01-27T22:00:00+07:00,2026-01-28T03:50:00+07:00,BUY,5058.31,5046.85,5172.91,TP,114.4,S176 BUY Robust Location Reclaim 10R,Median/MAD z=-3.97; high-volume location anomaly closed a meanward reclaim
2026-01-29T03:50:00+07:00,2026-01-29T04:05:00+07:00,SELL,5379.28,5392.44,5247.68,SL,-13.36,S176 SELL Robust Location Reclaim 10R,Median/MAD z=5.79; high-volume location anomaly closed a meanward reclaim
2026-02-03T13:45:00+07:00,2026-02-03T14:25:00+07:00,SELL,4884.0,4895.26,4771.39,SL,-11.46,S176 SELL Robust Location Reclaim 10R,Median/MAD z=3.37; high-volume location anomaly closed a meanward reclaim
2026-02-04T00:20:00+07:00,2026-02-04T04:10:00+07:00,SELL,4961.15,4971.02,4862.44,BE,-0.2,S176 SELL Robust Location Reclaim 10R,Median/MAD z=2.83; high-volume location anomaly closed a meanward reclaim
2026-02-06T20:25:00+07:00,2026-02-06T20:35:00+07:00,SELL,4916.7,4929.31,4790.59,SL,-12.81,S176 SELL Robust Location Reclaim 10R,Median/MAD z=2.79; high-volume location anomaly closed a meanward reclaim
2026-02-09T07:10:00+07:00,2026-02-09T08:00:00+07:00,SELL,5032.28,5046.19,4893.18,BE,-0.2,S176 SELL Robust Location Reclaim 10R,Median/MAD z=9.12; high-volume location anomaly closed a meanward reclaim
2026-02-09T17:45:00+07:00,2026-02-09T23:25:00+07:00,BUY,4991.16,4982.65,5076.27,TP,84.91,S176 BUY Robust Location Reclaim 10R,Median/MAD z=-3.07; high-volume location anomaly closed a meanward reclaim
2026-02-10T16:10:00+07:00,2026-02-10T17:30:00+07:00,SELL,5054.95,5063.8,4966.44,BE,-0.2,S176 SELL Robust Location Reclaim 10R,Median/MAD z=4.31; high-volume location anomaly closed a meanward reclaim
2026-02-11T17:25:00+07:00,2026-02-11T17:40:00+07:00,SELL,5072.22,5076.76,5026.82,SL,-4.74,S176 SELL Robust Location Reclaim 10R,Median/MAD z=4.25; high-volume location anomaly closed a meanward reclaim
2026-02-12T08:15:00+07:00,2026-02-12T08:50:00+07:00,BUY,5053.13,5044.5,5139.43,BE,-0.2,S176 BUY Robust Location Reclaim 10R,Median/MAD z=-3.12; high-volume location anomaly closed a meanward reclaim
2026-02-13T01:10:00+07:00,2026-02-13T01:15:00+07:00,BUY,4928.9,4920.18,5016.1,SL,-8.92,S176 BUY Robust Location Reclaim 10R,Median/MAD z=-5.79; high-volume location anomaly closed a meanward reclaim
2026-02-17T07:30:00+07:00,2026-02-17T07:40:00+07:00,BUY,4975.32,4970.66,5021.92,SL,-4.86,S176 BUY Robust Location Reclaim 10R,Median/MAD z=-4.24; high-volume location anomaly closed a meanward reclaim
2026-02-17T12:25:00+07:00,2026-02-17T12:30:00+07:00,BUY,4896.3,4887.91,4980.21,SL,-8.59,S176 BUY Robust Location Reclaim 10R,Median/MAD z=-6.69; high-volume location anomaly closed a meanward reclaim
2026-02-18T16:05:00+07:00,2026-02-18T16:30:00+07:00,BUY,4916.56,4912.7,4955.17,BE,-0.2,S176 BUY Robust Location Reclaim 10R,Median/MAD z=-2.80; high-volume location anomaly closed a meanward reclaim
2026-02-18T20:15:00+07:00,2026-02-18T20:25:00+07:00,SELL,4957.22,4959.64,4933.02,BE,-0.2,S176 SELL Robust Location Reclaim 10R,Median/MAD z=4.91; high-volume location anomaly closed a meanward reclaim
2026-02-18T21:05:00+07:00,2026-02-18T21:25:00+07:00,SELL,4956.44,4961.9,4901.84,SL,-5.66,S176 SELL Robust Location Reclaim 10R,Median/MAD z=4.81; high-volume location anomaly closed a meanward reclaim
2026-02-20T13:05:00+07:00,2026-02-20T13:10:00+07:00,SELL,5013.62,5017.96,4970.21,SL,-4.54,S176 SELL Robust Location Reclaim 10R,Median/MAD z=3.66; high-volume location anomaly closed a meanward reclaim
2026-02-20T20:55:00+07:00,2026-02-20T21:10:00+07:00,SELL,5045.91,5049.17,5013.3,BE,-0.2,S176 SELL Robust Location Reclaim 10R,Median/MAD z=2.82; high-volume location anomaly closed a meanward reclaim
2026-02-23T15:30:00+07:00,2026-02-23T21:35:00+07:00,BUY,5127.43,5121.88,5182.94,TP,55.31,S176 BUY Robust Location Reclaim 10R,Median/MAD z=-3.87; high-volume location anomaly closed a meanward reclaim
2026-02-23T22:30:00+07:00,2026-02-23T22:40:00+07:00,SELL,5195.36,5201.13,5137.65,BE,-0.2,S176 SELL Robust Location Reclaim 10R,Median/MAD z=7.30; high-volume location anomaly closed a meanward reclaim
