signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-05-19T13:50:00+07:00,2026-05-19T16:25:00+07:00,BUY,4537.39,4532.63,4570.72,BE,-0.2,S179 BUY Empirical Tail Reentry 7R,Close extended beyond empirical tail 4538.60; high-volume outlier reentered distribution
2026-05-21T10:35:00+07:00,2026-05-21T10:45:00+07:00,BUY,4539.38,4533.65,4579.5,SL,-5.93,S179 BUY Empirical Tail Reentry 7R,Close extended beyond empirical tail 4538.55; high-volume outlier reentered distribution
2026-05-21T18:40:00+07:00,2026-05-21T19:30:00+07:00,BUY,4511.58,4504.47,4561.35,BE,-0.2,S179 BUY Empirical Tail Reentry 7R,Close extended beyond empirical tail 4516.46; high-volume outlier reentered distribution
2026-05-21T21:00:00+07:00,2026-05-21T21:10:00+07:00,BUY,4505.83,4499.02,4553.5,BE,-0.2,S179 BUY Empirical Tail Reentry 7R,Close extended beyond empirical tail 4508.87; high-volume outlier reentered distribution
2026-05-22T21:50:00+07:00,2026-05-22T22:00:00+07:00,BUY,4513.99,4509.95,4542.27,SL,-4.24,S179 BUY Empirical Tail Reentry 7R,Close extended beyond empirical tail 4512.69; high-volume outlier reentered distribution
2026-05-26T08:55:00+07:00,2026-05-26T09:30:00+07:00,BUY,4546.24,4539.06,4596.5,SL,-7.38,S179 BUY Empirical Tail Reentry 7R,Close extended beyond empirical tail 4547.26; high-volume outlier reentered distribution
2026-05-26T10:35:00+07:00,2026-05-26T10:45:00+07:00,BUY,4536.41,4533.37,4557.69,SL,-3.24,S179 BUY Empirical Tail Reentry 7R,Close extended beyond empirical tail 4535.30; high-volume outlier reentered distribution
2026-05-27T10:20:00+07:00,2026-05-27T10:40:00+07:00,BUY,4502.12,4498.83,4525.15,BE,-0.2,S179 BUY Empirical Tail Reentry 7R,Close extended beyond empirical tail 4502.63; high-volume outlier reentered distribution
2026-05-27T14:05:00+07:00,2026-05-27T14:15:00+07:00,BUY,4496.48,4493.46,4517.62,SL,-3.22,S179 BUY Empirical Tail Reentry 7R,Close extended beyond empirical tail 4497.67; high-volume outlier reentered distribution
2026-05-27T21:30:00+07:00,2026-05-28T09:50:00+07:00,BUY,4414.44,4400.52,4511.88,BE,-0.2,S179 BUY Empirical Tail Reentry 7R,Close extended beyond empirical tail 4418.54; high-volume outlier reentered distribution
2026-05-29T10:05:00+07:00,2026-05-29T12:20:00+07:00,SELL,4508.2,4511.71,4483.62,BE,-0.2,S179 SELL Empirical Tail Reentry 7R,Close extended beyond empirical tail 4508.58; high-volume outlier reentered distribution
