signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-01-20T13:10:00+07:00,2026-01-20T13:20:00+07:00,SELL,4714.49,4717.59,4682.55,BE,-0.2,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=18.01 versus 6.58; wick sweep absorbed and reclaimed
2026-02-13T22:40:00+07:00,2026-02-13T23:20:00+07:00,SELL,5008.74,5021.75,4874.73,BE,-0.2,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=19.56 versus 4.85; wick sweep absorbed and reclaimed
2026-02-18T14:15:00+07:00,2026-02-18T19:55:00+07:00,SELL,4936.85,4942.68,4876.8,BE,-0.2,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=27.56 versus 4.08; wick sweep absorbed and reclaimed
2026-03-02T13:40:00+07:00,2026-03-02T13:45:00+07:00,SELL,5376.66,5383.63,5304.86,SL,-7.17,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=9.87 versus 5.39; wick sweep absorbed and reclaimed
2026-03-12T17:05:00+07:00,2026-03-12T19:15:00+07:00,SELL,5189.86,5192.06,5167.19,TP,22.47,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=23.38 versus 9.19; wick sweep absorbed and reclaimed
2026-03-24T13:30:00+07:00,2026-03-24T13:50:00+07:00,SELL,4387.62,4398.38,4276.79,BE,-0.2,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=9.52 versus 4.77; wick sweep absorbed and reclaimed
2026-03-24T14:55:00+07:00,2026-03-24T16:40:00+07:00,SELL,4420.35,4433.36,4286.34,BE,-0.2,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=11.29 versus 6.01; wick sweep absorbed and reclaimed
2026-03-25T20:35:00+07:00,2026-03-25T21:30:00+07:00,SELL,4564.3,4577.56,4427.72,BE,-0.2,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=20.49 versus 5.79; wick sweep absorbed and reclaimed
2026-03-26T07:20:00+07:00,2026-03-26T07:45:00+07:00,SELL,4528.62,4536.16,4450.95,SL,-7.74,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=21.16 versus 5.48; wick sweep absorbed and reclaimed
2026-03-31T16:10:00+07:00,2026-03-31T16:35:00+07:00,SELL,4566.62,4573.98,4490.81,SL,-7.56,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=8.18 versus 4.02; wick sweep absorbed and reclaimed
2026-04-09T23:40:00+07:00,2026-04-09T23:55:00+07:00,SELL,4793.18,4798.82,4735.08,BE,-0.2,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=21.73 versus 5.94; wick sweep absorbed and reclaimed
2026-04-23T20:10:00+07:00,2026-04-23T20:30:00+07:00,SELL,4731.67,4738.92,4656.99,SL,-7.45,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=10.15 versus 5.22; wick sweep absorbed and reclaimed
2026-05-07T13:55:00+07:00,2026-05-07T14:00:00+07:00,SELL,4702.91,4706.93,4661.5,SL,-4.22,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=11.94 versus 4.44; wick sweep absorbed and reclaimed
2026-05-20T08:35:00+07:00,2026-05-20T08:45:00+07:00,SELL,4502.69,4508.04,4447.58,SL,-5.55,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=6.45 versus 6.24; wick sweep absorbed and reclaimed
2026-05-28T21:05:00+07:00,2026-05-28T21:50:00+07:00,SELL,4432.54,4439.6,4359.82,BE,-0.2,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=18.22 versus 5.39; wick sweep absorbed and reclaimed
2026-06-01T23:40:00+07:00,2026-06-02T00:50:00+07:00,SELL,4474.05,4480.27,4409.98,BE,-0.2,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=19.33 versus 4.79; wick sweep absorbed and reclaimed
2026-06-09T20:50:00+07:00,2026-06-09T21:00:00+07:00,SELL,4340.52,4344.59,4298.59,BE,-0.2,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=9.52 versus 3.26; wick sweep absorbed and reclaimed
2026-06-12T23:30:00+07:00,2026-06-13T00:10:00+07:00,SELL,4223.51,4236.34,4091.36,BE,-0.2,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=5.67 versus 5.08; wick sweep absorbed and reclaimed
2026-06-24T09:35:00+07:00,2026-06-24T14:10:00+07:00,SELL,4096.12,4103.01,4025.15,BE,-0.2,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=12.96 versus 4.42; wick sweep absorbed and reclaimed
2026-06-29T20:15:00+07:00,2026-06-30T08:55:00+07:00,SELL,4046.62,4052.78,3983.17,TP,63.25,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=11.79 versus 5.62; wick sweep absorbed and reclaimed
2026-07-15T09:05:00+07:00,2026-07-15T16:10:00+07:00,SELL,4058.44,4062.41,4017.54,TP,40.7,S183 SELL Upper Range-Variance Sweep 10.3R,Bearish-only range-variance edge; Range/close dislocation=7.27 versus 5.85; wick sweep absorbed and reclaimed
