signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-05-18T21:35:00+07:00,2026-05-18T21:45:00+07:00,SELL,4574.74,4580.56,4476.38,BE,-0.2,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.69; structural sweep reclaimed
2026-05-19T09:25:00+07:00,2026-05-19T10:05:00+07:00,BUY,4557.99,4553.64,4631.51,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.78; structural sweep reclaimed
2026-05-20T21:40:00+07:00,2026-05-20T21:50:00+07:00,BUY,4486.74,4482.75,4554.18,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.51; structural sweep reclaimed
2026-06-01T09:10:00+07:00,2026-06-01T09:20:00+07:00,BUY,4530.35,4525.87,4606.07,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.56; structural sweep reclaimed
2026-06-01T14:25:00+07:00,2026-06-01T14:35:00+07:00,BUY,4510.05,4504.51,4603.68,SL,-5.74,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.54; structural sweep reclaimed
2026-06-04T19:10:00+07:00,2026-06-04T19:15:00+07:00,SELL,4476.16,4479.07,4426.98,SL,-3.11,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.70; structural sweep reclaimed
2026-06-04T21:45:00+07:00,2026-06-05T11:20:00+07:00,SELL,4511.39,4515.88,4435.5,TP,75.69,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.68; structural sweep reclaimed
2026-06-09T12:35:00+07:00,2026-06-09T12:55:00+07:00,BUY,4327.92,4323.96,4394.85,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.77; structural sweep reclaimed
2026-06-09T19:00:00+07:00,2026-06-09T19:10:00+07:00,SELL,4338.11,4341.15,4286.73,BE,-0.2,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.58; structural sweep reclaimed
2026-06-09T22:20:00+07:00,2026-06-09T22:35:00+07:00,BUY,4314.81,4305.32,4475.2,SL,-9.69,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.44; structural sweep reclaimed
2026-06-09T23:40:00+07:00,2026-06-10T00:00:00+07:00,BUY,4274.63,4262.16,4485.38,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.67; structural sweep reclaimed
2026-06-10T00:20:00+07:00,2026-06-10T00:35:00+07:00,BUY,4258.41,4252.34,4361.0,SL,-6.27,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.69; structural sweep reclaimed
2026-06-10T21:50:00+07:00,2026-06-11T04:00:00+07:00,SELL,4181.29,4187.29,4079.89,TP,101.2,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.71; structural sweep reclaimed
2026-06-16T00:25:00+07:00,2026-06-16T00:30:00+07:00,BUY,4341.82,4338.89,4391.34,SL,-3.13,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.57; structural sweep reclaimed
2026-06-23T14:10:00+07:00,2026-06-23T14:25:00+07:00,BUY,4118.01,4110.43,4246.12,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.70; structural sweep reclaimed
2026-06-23T20:15:00+07:00,2026-06-23T20:25:00+07:00,BUY,4115.22,4111.33,4180.97,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.60; structural sweep reclaimed
2026-06-23T21:20:00+07:00,2026-06-24T04:00:00+07:00,BUY,4111.06,4104.86,4215.85,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.71; structural sweep reclaimed
2026-06-29T17:00:00+07:00,2026-06-29T17:25:00+07:00,BUY,4047.95,4043.34,4125.86,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.73; structural sweep reclaimed
2026-06-30T22:25:00+07:00,2026-07-01T15:15:00+07:00,SELL,4058.32,4064.12,3960.3,TP,97.82,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.67; structural sweep reclaimed
2026-07-03T08:25:00+07:00,2026-07-03T08:40:00+07:00,SELL,4138.88,4141.37,4096.79,BE,-0.2,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.75; structural sweep reclaimed
2026-07-09T11:20:00+07:00,2026-07-09T12:40:00+07:00,BUY,4056.82,4053.89,4106.34,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.73; structural sweep reclaimed
2026-07-13T06:15:00+07:00,2026-07-13T06:40:00+07:00,BUY,4084.4,4080.03,4158.26,SL,-4.57,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.43; structural sweep reclaimed
2026-07-14T19:25:00+07:00,2026-07-14T19:30:00+07:00,SELL,4026.55,4028.65,3991.06,SL,-2.3,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.72; structural sweep reclaimed
2026-07-17T09:55:00+07:00,2026-07-17T10:10:00+07:00,BUY,3981.31,3978.76,4024.41,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.66; structural sweep reclaimed
