signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-01-20T22:30:00+07:00,2026-01-21T11:20:00+07:00,BUY,4729.09,4721.8,4852.3,TP,123.01,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.65; structural sweep reclaimed
2026-01-22T00:35:00+07:00,2026-01-22T02:25:00+07:00,BUY,4811.78,4801.75,4981.29,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.68; structural sweep reclaimed
2026-01-22T02:45:00+07:00,2026-01-22T02:50:00+07:00,BUY,4770.37,4761.3,4923.66,SL,-9.27,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.78; structural sweep reclaimed
2026-01-23T12:50:00+07:00,2026-01-23T15:20:00+07:00,SELL,4965.31,4967.4,4929.98,TP,35.13,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.75; structural sweep reclaimed
2026-01-26T06:20:00+07:00,2026-01-26T06:35:00+07:00,SELL,5027.11,5031.25,4957.14,SL,-4.34,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.63; structural sweep reclaimed
2026-01-27T20:05:00+07:00,2026-01-27T20:15:00+07:00,SELL,5085.71,5092.65,4968.42,BE,-0.2,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.77; structural sweep reclaimed
2026-01-27T23:00:00+07:00,2026-01-27T23:10:00+07:00,SELL,5088.43,5092.72,5015.92,BE,-0.2,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.76; structural sweep reclaimed
2026-01-27T23:20:00+07:00,2026-01-27T23:30:00+07:00,SELL,5098.39,5103.9,5005.27,BE,-0.2,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.73; structural sweep reclaimed
2026-01-28T20:05:00+07:00,2026-01-28T20:30:00+07:00,SELL,5284.59,5290.0,5193.16,BE,-0.2,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.70; structural sweep reclaimed
2026-02-04T01:35:00+07:00,2026-02-04T01:50:00+07:00,BUY,4899.8,4884.13,5164.63,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.67; structural sweep reclaimed
2026-02-06T22:00:00+07:00,2026-02-06T22:05:00+07:00,SELL,4947.5,4956.91,4788.47,SL,-9.61,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.72; structural sweep reclaimed
2026-02-06T22:10:00+07:00,2026-02-06T22:25:00+07:00,SELL,4954.01,4965.68,4756.78,BE,-0.2,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.72; structural sweep reclaimed
2026-02-12T00:45:00+07:00,2026-02-12T02:20:00+07:00,SELL,5092.91,5099.52,4981.2,BE,-0.2,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.78; structural sweep reclaimed
2026-02-12T10:30:00+07:00,2026-02-12T11:00:00+07:00,BUY,5062.24,5054.33,5195.92,SL,-8.11,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.67; structural sweep reclaimed
2026-02-13T15:10:00+07:00,2026-02-13T15:25:00+07:00,SELL,4984.14,4990.25,4880.88,BE,-0.2,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.72; structural sweep reclaimed
2026-02-13T18:25:00+07:00,2026-02-13T18:45:00+07:00,BUY,4940.09,4932.93,5061.1,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.62; structural sweep reclaimed
2026-02-14T02:10:00+07:00,2026-02-14T04:45:00+07:00,SELL,5041.6,5046.58,4957.43,BE,-0.2,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.76; structural sweep reclaimed
2026-02-17T07:30:00+07:00,2026-02-17T07:40:00+07:00,BUY,4975.32,4970.66,5054.08,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.69; structural sweep reclaimed
2026-02-18T00:15:00+07:00,2026-02-18T00:40:00+07:00,BUY,4859.78,4849.6,5031.83,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.75; structural sweep reclaimed
2026-02-20T13:05:00+07:00,2026-02-20T13:10:00+07:00,SELL,5013.62,5017.96,4940.27,SL,-4.54,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.73; structural sweep reclaimed
2026-03-03T21:25:00+07:00,2026-03-03T21:30:00+07:00,BUY,5136.39,5123.73,5350.35,SL,-12.86,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.73; structural sweep reclaimed
2026-03-05T13:00:00+07:00,2026-03-05T13:05:00+07:00,BUY,5150.34,5144.93,5241.77,SL,-5.61,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.74; structural sweep reclaimed
2026-03-05T22:10:00+07:00,2026-03-05T23:10:00+07:00,BUY,5076.04,5059.31,5358.78,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.76; structural sweep reclaimed
2026-03-06T03:20:00+07:00,2026-03-06T06:00:00+07:00,SELL,5085.24,5095.27,4915.73,BE,-0.2,S196 SELL Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.66; structural sweep reclaimed
2026-03-10T17:05:00+07:00,2026-03-10T17:15:00+07:00,BUY,5179.41,5175.86,5239.41,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.77; structural sweep reclaimed
2026-03-11T19:40:00+07:00,2026-03-11T19:45:00+07:00,BUY,5178.57,5172.64,5278.79,SL,-6.13,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.78; structural sweep reclaimed
2026-03-13T20:35:00+07:00,2026-03-13T21:00:00+07:00,BUY,5102.75,5096.24,5212.77,BE,-0.2,S196 BUY Variance-Ratio Sweep 16.9R,Anti-persistent variance ratio=0.71; structural sweep reclaimed
