signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-05-18T08:45:00+07:00,2026-05-19T21:30:00+07:00,BUY,4488.43,4479.58,4638.0,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.940 collapsed; structural sweep reclaimed
2026-05-25T19:20:00+07:00,2026-05-25T19:35:00+07:00,SELL,4573.47,4575.39,4541.02,BE,-0.2,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.862 collapsed; structural sweep reclaimed
2026-05-27T07:45:00+07:00,2026-05-27T08:05:00+07:00,SELL,4523.99,4528.01,4456.05,BE,-0.2,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.939 collapsed; structural sweep reclaimed
2026-05-27T13:45:00+07:00,2026-05-27T14:05:00+07:00,BUY,4495.15,4491.39,4558.7,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.924 collapsed; structural sweep reclaimed
2026-05-27T19:35:00+07:00,2026-05-27T19:55:00+07:00,BUY,4438.35,4431.72,4550.4,SL,-6.83,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.927 collapsed; structural sweep reclaimed
2026-05-27T20:00:00+07:00,2026-05-27T21:00:00+07:00,BUY,4433.02,4424.36,4579.38,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.929 collapsed; structural sweep reclaimed
2026-05-27T21:20:00+07:00,2026-05-27T21:25:00+07:00,BUY,4411.49,4404.88,4523.2,SL,-6.81,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.925 collapsed; structural sweep reclaimed
2026-05-27T21:30:00+07:00,2026-05-28T09:50:00+07:00,BUY,4414.44,4400.52,4649.69,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.930 collapsed; structural sweep reclaimed
2026-05-28T10:05:00+07:00,2026-05-28T10:10:00+07:00,BUY,4405.72,4402.33,4463.02,SL,-3.59,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.944 collapsed; structural sweep reclaimed
2026-05-28T11:40:00+07:00,2026-05-28T11:50:00+07:00,BUY,4374.98,4370.46,4451.37,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.942 collapsed; structural sweep reclaimed
2026-06-08T15:25:00+07:00,2026-06-08T19:10:00+07:00,SELL,4311.43,4317.51,4208.67,BE,-0.2,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.941 collapsed; structural sweep reclaimed
2026-06-19T10:20:00+07:00,2026-06-19T10:45:00+07:00,BUY,4177.68,4174.75,4227.2,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.942 collapsed; structural sweep reclaimed
2026-06-23T08:15:00+07:00,2026-06-23T08:25:00+07:00,BUY,4180.73,4178.19,4223.66,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.914 collapsed; structural sweep reclaimed
2026-06-23T09:50:00+07:00,2026-06-23T10:10:00+07:00,BUY,4154.1,4149.44,4232.86,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.917 collapsed; structural sweep reclaimed
2026-06-23T14:10:00+07:00,2026-06-23T14:25:00+07:00,BUY,4118.01,4110.43,4246.12,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.934 collapsed; structural sweep reclaimed
2026-06-24T14:15:00+07:00,2026-06-24T21:00:00+07:00,SELL,4091.3,4098.12,3976.04,TP,115.06,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.910 collapsed; structural sweep reclaimed
2026-06-24T21:15:00+07:00,2026-06-24T21:25:00+07:00,BUY,3971.09,3964.12,4088.89,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.931 collapsed; structural sweep reclaimed
2026-06-24T22:00:00+07:00,2026-06-24T22:30:00+07:00,SELL,4031.39,4043.18,3832.13,BE,-0.2,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.938 collapsed; structural sweep reclaimed
2026-07-01T09:55:00+07:00,2026-07-01T10:05:00+07:00,BUY,3977.26,3973.46,4041.49,SL,-4.0,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.928 collapsed; structural sweep reclaimed
2026-07-06T07:30:00+07:00,2026-07-06T07:40:00+07:00,SELL,4197.51,4202.18,4118.58,BE,-0.2,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.939 collapsed; structural sweep reclaimed
2026-07-06T17:35:00+07:00,2026-07-06T20:35:00+07:00,BUY,4139.84,4136.27,4200.18,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.921 collapsed; structural sweep reclaimed
2026-07-07T22:15:00+07:00,2026-07-07T22:35:00+07:00,BUY,4155.59,4150.34,4244.32,SL,-5.45,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.926 collapsed; structural sweep reclaimed
2026-07-13T06:15:00+07:00,2026-07-13T06:40:00+07:00,BUY,4084.4,4080.03,4158.26,SL,-4.57,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.922 collapsed; structural sweep reclaimed
2026-07-15T08:30:00+07:00,2026-07-15T08:55:00+07:00,SELL,4056.95,4058.9,4023.99,BE,-0.2,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.924 collapsed; structural sweep reclaimed
2026-07-15T15:40:00+07:00,2026-07-15T16:10:00+07:00,BUY,4021.26,4019.37,4053.21,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.921 collapsed; structural sweep reclaimed
2026-07-15T20:05:00+07:00,2026-07-15T20:30:00+07:00,SELL,4039.14,4042.86,3976.27,SL,-3.92,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.924 collapsed; structural sweep reclaimed
2026-07-17T09:55:00+07:00,2026-07-17T10:10:00+07:00,BUY,3981.31,3978.76,4024.41,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.940 collapsed; structural sweep reclaimed
2026-07-17T16:20:00+07:00,2026-07-17T16:25:00+07:00,BUY,3991.66,3989.17,4033.75,SL,-2.69,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.907 collapsed; structural sweep reclaimed
